Régions;Année;Consommation
Béni Mellal - Khénifra;2015;876
Béni Mellal - Khénifra;2016;794
Béni Mellal - Khénifra;2017;691
Béni Mellal - Khénifra;2018;460
Béni Mellal - Khénifra;2019;605
Béni Mellal - Khénifra;2020;552
Béni Mellal - Khénifra;2021;621
Béni Mellal - Khénifra;2022;491
Béni Mellal - Khénifra;2023;479
Casablanca - Settat;2015;3101
Casablanca - Settat;2016;3166
Casablanca - Settat;2017;3032
Casablanca - Settat;2018;2100
Casablanca - Settat;2019;3163
Casablanca - Settat;2020;2775
Casablanca - Settat;2021;3237
Casablanca - Settat;2022;3132
Casablanca - Settat;2023;2884
Drâa - Tafilalet;2015;420
Drâa - Tafilalet;2016;457
Drâa - Tafilalet;2017;420
Drâa - Tafilalet;2018;360
Drâa - Tafilalet;2019;432
Drâa - Tafilalet;2020;472
Drâa - Tafilalet;2021;415
Drâa - Tafilalet;2022;444
Drâa - Tafilalet;2023;364
Fès - Meknès + Oriental ;2015;2618
Fès - Meknès + Oriental ;2016;2598
Fès - Meknès + Oriental ;2017;2472
Fès - Meknès + Oriental ;2018;1646
Fès - Meknès + Oriental ;2019;2302
Fès - Meknès + Oriental ;2020;2169
Fès - Meknès + Oriental ;2021;2432
Fès - Meknès + Oriental ;2022;2182
Fès - Meknès + Oriental ;2023;2264
Marrakech-Safi;2015;1859
Marrakech-Safi;2016;1815
Marrakech-Safi;2017;1745
Marrakech-Safi;2018;1399
Marrakech-Safi;2019;1941
Marrakech-Safi;2020;1509
Marrakech-Safi;2021;1749
Marrakech-Safi;2022;1466
Marrakech-Safi;2023;1562
Rabat-Salé-Kénitra;2015;1767
Rabat-Salé-Kénitra;2016;1768
Rabat-Salé-Kénitra;2017;1840
Rabat-Salé-Kénitra;2018;1240
Rabat-Salé-Kénitra;2019;1677
Rabat-Salé-Kénitra;2020;1519
Rabat-Salé-Kénitra;2021;1914
Rabat-Salé-Kénitra;2022;1738
Rabat-Salé-Kénitra;2023;1751
Souss-Massa + Guelmim - Oued Noun + Laayoune - S.Elhamra + Dakhla -Oued Ed-Dahab;2015;1702
Souss-Massa + Guelmim - Oued Noun + Laayoune - S.Elhamra + Dakhla -Oued Ed-Dahab;2016;1730
Souss-Massa + Guelmim - Oued Noun + Laayoune - S.Elhamra + Dakhla -Oued Ed-Dahab;2017;1818
Souss-Massa + Guelmim - Oued Noun + Laayoune - S.Elhamra + Dakhla -Oued Ed-Dahab;2018;1349
Souss-Massa + Guelmim - Oued Noun + Laayoune - S.Elhamra + Dakhla -Oued Ed-Dahab;2019;1823
Souss-Massa + Guelmim - Oued Noun + Laayoune - S.Elhamra + Dakhla -Oued Ed-Dahab;2020;1685
Souss-Massa + Guelmim - Oued Noun + Laayoune - S.Elhamra + Dakhla -Oued Ed-Dahab;2021;1892
Souss-Massa + Guelmim - Oued Noun + Laayoune - S.Elhamra + Dakhla -Oued Ed-Dahab;2022;1481
Souss-Massa + Guelmim - Oued Noun + Laayoune - S.Elhamra + Dakhla -Oued Ed-Dahab;2023;1623
Tanger-Tétouan - Al Houceima;2015;1908
Tanger-Tétouan - Al Houceima;2016;1822
Tanger-Tétouan - Al Houceima;2017;1774
Tanger-Tétouan - Al Houceima;2018;1245
Tanger-Tétouan - Al Houceima;2019;1681
Tanger-Tétouan - Al Houceima;2020;1583
Tanger-Tétouan - Al Houceima;2021;1716
Tanger-Tétouan - Al Houceima;2022;1555
Tanger-Tétouan - Al Houceima;2023;1584
Total National (en milliers de tonnes);2015;14251
Total National (en milliers de tonnes);2016;14151
Total National (en milliers de tonnes);2017;13791
Total National (en milliers de tonnes);2018;9799
Total National (en milliers de tonnes);2019;13624
Total National (en milliers de tonnes);2020;12264
Total National (en milliers de tonnes);2021;13975
Total National (en milliers de tonnes);2022;12487
Total National (en milliers de tonnes);2023;12511
