Agglomération;Type d'habitat;Envergure;Année;Montants moyens des loyers (MAD);Indices des montants moyens des loyers
Azilal;Appartement standing;APS;2001;Non disponible;Non disponible
Azilal;Appartement standing;APS;2002;Non disponible;Non disponible
Azilal;Appartement standing;APS;2003;Non disponible;Non disponible
Azilal;Appartement standing;APS;2004;Non disponible;Non disponible
Azilal;Appartement standing;APS;2005;Non disponible;Non disponible
Azilal;Appartement standing;APS;2006;Non disponible;Non disponible
Azilal;Appartement standing;APS;2007;Non disponible;Non disponible
Azilal;Appartement standing;APS;2008;Non disponible;Non disponible
Azilal;Appartement standing;APS;2009;Non disponible;Non disponible
Azilal;Appartement standing;APS;2010;Non disponible;Non disponible
Azilal;Appartement standing;APS;2011;Non disponible;Non disponible
Azilal;Appartement standing;APS;2012;Non disponible;Non disponible
Azilal;Appartement standing;APS;2013;Non disponible;Non disponible
Azilal;Appartement standing;APS;2014;Non disponible;Non disponible
Azilal;Appartement standing;APS;2015;Non disponible;Non disponible
Azilal;Appartement standing;APS;2016;Non disponible;Non disponible
Azilal;Appartement standing;APS;2017;Non disponible;Non disponible
Azilal;Appartement standing;APS;2018;Non disponible;Non disponible
Azilal;Appartement standing;APS;2019;Non disponible;Non disponible
Azilal;Appartement standing;GT;2001;Non disponible;Non disponible
Azilal;Appartement standing;GT;2002;Non disponible;Non disponible
Azilal;Appartement standing;GT;2003;Non disponible;Non disponible
Azilal;Appartement standing;GT;2004;Non disponible;Non disponible
Azilal;Appartement standing;GT;2005;Non disponible;Non disponible
Azilal;Appartement standing;GT;2006;Non disponible;Non disponible
Azilal;Appartement standing;GT;2007;Non disponible;Non disponible
Azilal;Appartement standing;GT;2008;Non disponible;Non disponible
Azilal;Appartement standing;GT;2009;Non disponible;Non disponible
Azilal;Appartement standing;GT;2010;Non disponible;Non disponible
Azilal;Appartement standing;GT;2011;Non disponible;Non disponible
Azilal;Appartement standing;GT;2012;Non disponible;Non disponible
Azilal;Appartement standing;GT;2013;Non disponible;Non disponible
Azilal;Appartement standing;GT;2014;Non disponible;Non disponible
Azilal;Appartement standing;GT;2015;Non disponible;Non disponible
Azilal;Appartement standing;GT;2016;Non disponible;Non disponible
Azilal;Appartement standing;GT;2017;Non disponible;Non disponible
Azilal;Appartement standing;GT;2018;Non disponible;Non disponible
Azilal;Appartement standing;GT;2019;Non disponible;Non disponible
Azilal;Appartement standing;MT;2001;Non disponible;Non disponible
Azilal;Appartement standing;MT;2002;Non disponible;Non disponible
Azilal;Appartement standing;MT;2003;Non disponible;Non disponible
Azilal;Appartement standing;MT;2004;Non disponible;Non disponible
Azilal;Appartement standing;MT;2005;Non disponible;Non disponible
Azilal;Appartement standing;MT;2006;Non disponible;Non disponible
Azilal;Appartement standing;MT;2007;Non disponible;Non disponible
Azilal;Appartement standing;MT;2008;Non disponible;Non disponible
Azilal;Appartement standing;MT;2009;Non disponible;Non disponible
Azilal;Appartement standing;MT;2010;Non disponible;Non disponible
Azilal;Appartement standing;MT;2011;Non disponible;Non disponible
Azilal;Appartement standing;MT;2012;Non disponible;Non disponible
Azilal;Appartement standing;MT;2013;Non disponible;Non disponible
Azilal;Appartement standing;MT;2014;Non disponible;Non disponible
Azilal;Appartement standing;MT;2015;Non disponible;Non disponible
Azilal;Appartement standing;MT;2016;Non disponible;Non disponible
Azilal;Appartement standing;MT;2017;Non disponible;Non disponible
Azilal;Appartement standing;MT;2018;Non disponible;Non disponible
Azilal;Appartement standing;MT;2019;Non disponible;Non disponible
Azilal;Appartement standing;PT;2001;Non disponible;Non disponible
Azilal;Appartement standing;PT;2002;Non disponible;Non disponible
Azilal;Appartement standing;PT;2003;Non disponible;Non disponible
Azilal;Appartement standing;PT;2004;Non disponible;Non disponible
Azilal;Appartement standing;PT;2005;Non disponible;Non disponible
Azilal;Appartement standing;PT;2006;Non disponible;Non disponible
Azilal;Appartement standing;PT;2007;Non disponible;Non disponible
Azilal;Appartement standing;PT;2008;Non disponible;Non disponible
Azilal;Appartement standing;PT;2009;Non disponible;Non disponible
Azilal;Appartement standing;PT;2010;Non disponible;Non disponible
Azilal;Appartement standing;PT;2011;Non disponible;Non disponible
Azilal;Appartement standing;PT;2012;Non disponible;Non disponible
Azilal;Appartement standing;PT;2013;Non disponible;Non disponible
Azilal;Appartement standing;PT;2014;Non disponible;Non disponible
Azilal;Appartement standing;PT;2015;Non disponible;Non disponible
Azilal;Appartement standing;PT;2016;Non disponible;Non disponible
Azilal;Appartement standing;PT;2017;Non disponible;Non disponible
Azilal;Appartement standing;PT;2018;Non disponible;Non disponible
Azilal;Appartement standing;PT;2019;Non disponible;Non disponible
Azilal;Appartement économique;APE;2001;839;100
Azilal;Appartement économique;APE;2002;852;102
Azilal;Appartement économique;APE;2003;874;104
Azilal;Appartement économique;APE;2004;893;107
Azilal;Appartement économique;APE;2005;900;108
Azilal;Appartement économique;APE;2006;901;108
Azilal;Appartement économique;APE;2007;927;112
Azilal;Appartement économique;APE;2008;947;114
Azilal;Appartement économique;APE;2009;978;118
Azilal;Appartement économique;APE;2010;988;119
Azilal;Appartement économique;APE;2011;996;120
Azilal;Appartement économique;APE;2012;1006;121
Azilal;Appartement économique;APE;2013;1017;122
Azilal;Appartement économique;APE;2014;1028;124
Azilal;Appartement économique;APE;2015;1017;126
