Agglomération;Type d'habitat;Envergure;Année;Montants moyens des loyers (MAD);Indices des montants moyens des loyers
Errachidia;Appartement standing;APS;2001;1348;100
Errachidia;Appartement standing;APS;2002;1374;102
Errachidia;Appartement standing;APS;2003;1388;103
Errachidia;Appartement standing;APS;2004;1401;104
Errachidia;Appartement standing;APS;2005;1414;105
Errachidia;Appartement standing;APS;2006;1428;106
Errachidia;Appartement standing;APS;2007;1441;107
Errachidia;Appartement standing;APS;2008;1454;108
Errachidia;Appartement standing;APS;2009;1468;109
Errachidia;Appartement standing;APS;2010;1482;110
Errachidia;Appartement standing;APS;2011;1495;111
Errachidia;Appartement standing;APS;2012;1509;112
Errachidia;Appartement standing;APS;2013;1550;115
Errachidia;Appartement standing;APS;2014;1594;118
Errachidia;Appartement standing;APS;2015;1586;121
Errachidia;Appartement standing;APS;2016;1631;124
Errachidia;Appartement standing;APS;2017;1672;128
Errachidia;Appartement standing;APS;2018;1732;132
Errachidia;Appartement standing;APS;2019;1785;136
Errachidia;Appartement standing;APS;2020;1736;133
Errachidia;Appartement standing;APS;2021;1814;139
Errachidia;Appartement standing;APS;2022;1865;142
Errachidia;Appartement standing;GT;2001;1590;100
Errachidia;Appartement standing;GT;2002;1604;101
Errachidia;Appartement standing;GT;2003;1628;102
Errachidia;Appartement standing;GT;2004;1653;104
Errachidia;Appartement standing;GT;2005;1677;105
Errachidia;Appartement standing;GT;2006;1702;107
Errachidia;Appartement standing;GT;2007;1726;109
Errachidia;Appartement standing;GT;2008;1751;110
Errachidia;Appartement standing;GT;2009;1775;112
Errachidia;Appartement standing;GT;2010;1800;113
Errachidia;Appartement standing;GT;2011;1825;115
Errachidia;Appartement standing;GT;2012;1850;116
Errachidia;Appartement standing;GT;2013;1885;119
Errachidia;Appartement standing;GT;2014;1921;121
Errachidia;Appartement standing;GT;2015;1958;123
Errachidia;Appartement standing;GT;2016;1995;125
Errachidia;Appartement standing;GT;2017;2056;129
Errachidia;Appartement standing;GT;2018;2121;133
Errachidia;Appartement standing;GT;2019;2161;136
Errachidia;Appartement standing;GT;2020;2130;134
Errachidia;Appartement standing;GT;2021;2210;139
Errachidia;Appartement standing;GT;2022;2253;142
Errachidia;Appartement standing;MT;2001;1328;100
Errachidia;Appartement standing;MT;2002;1359;102
Errachidia;Appartement standing;MT;2003;1371;103
Errachidia;Appartement standing;MT;2004;1382;104
Errachidia;Appartement standing;MT;2005;1394;105
Errachidia;Appartement standing;MT;2006;1405;106
Errachidia;Appartement standing;MT;2007;1417;107
Errachidia;Appartement standing;MT;2008;1429;108
Errachidia;Appartement standing;MT;2009;1441;108
Errachidia;Appartement standing;MT;2010;1453;109
Errachidia;Appartement standing;MT;2011;1464;110
Errachidia;Appartement standing;MT;2012;1476;111
Errachidia;Appartement standing;MT;2013;1521;115
Errachidia;Appartement standing;MT;2014;1567;118
Errachidia;Appartement standing;MT;2015;1615;122
Errachidia;Appartement standing;MT;2016;1663;125
Errachidia;Appartement standing;MT;2017;1691;127
Errachidia;Appartement standing;MT;2018;1752;132
Errachidia;Appartement standing;MT;2019;1815;137
Errachidia;Appartement standing;MT;2020;1765;133
Errachidia;Appartement standing;MT;2021;1848;139
Errachidia;Appartement standing;MT;2022;1903;143
Errachidia;Appartement standing;PT;2001;1039;100
Errachidia;Appartement standing;PT;2002;1055;101
Errachidia;Appartement standing;PT;2003;1060;102
Errachidia;Appartement standing;PT;2004;1065;103
Errachidia;Appartement standing;PT;2005;1071;103
Errachidia;Appartement standing;PT;2006;1076;104
Errachidia;Appartement standing;PT;2007;1082;104
Errachidia;Appartement standing;PT;2008;1087;105
Errachidia;Appartement standing;PT;2009;1092;105
Errachidia;Appartement standing;PT;2010;1098;106
Errachidia;Appartement standing;PT;2011;1103;106
Errachidia;Appartement standing;PT;2012;1109;107
Errachidia;Appartement standing;PT;2013;1135;109
Errachidia;Appartement standing;PT;2014;1177;113
Errachidia;Appartement standing;PT;2015;1219;117
Errachidia;Appartement standing;PT;2016;1250;120
Errachidia;Appartement standing;PT;2017;1340;129
Errachidia;Appartement standing;PT;2018;1392;134
Errachidia;Appartement standing;PT;2019;1410;136
Errachidia;Appartement standing;PT;2020;1355;130
Errachidia;Appartement standing;PT;2021;1405;135
Errachidia;Appartement standing;PT;2022;1437;138
Errachidia;Appartement économique;APE;2001;895;100
Errachidia;Appartement économique;APE;2002;909;102
Errachidia;Appartement économique;APE;2003;914;102
Errachidia;Appartement économique;APE;2004;919;103
Errachidia;Appartement économique;APE;2005;924;103
Errachidia;Appartement économique;APE;2006;929;104
Errachidia;Appartement économique;APE;2007;934;105
Errachidia;Appartement économique;APE;2008;939;105
Errachidia;Appartement économique;APE;2009;944;106
Errachidia;Appartement économique;APE;2010;950;106
Errachidia;Appartement économique;APE;2011;955;107
Errachidia;Appartement économique;APE;2012;960;108
Errachidia;Appartement économique;APE;2013;989;111
Errachidia;Appartement économique;APE;2014;1019;115
Errachidia;Appartement économique;APE;2015;978;122
Errachidia;Appartement économique;APE;2016;1014;127
Errachidia;Appartement économique;APE;2017;1088;136
Errachidia;Appartement économique;APE;2018;1156;144
Errachidia;Appartement économique;APE;2019;1225;153
Errachidia;Appartement économique;APE;2020;1183;147
Errachidia;Appartement économique;APE;2021;1219;152
Errachidia;Appartement économique;APE;2022;1247;155
Errachidia;Appartement économique;GT;2001;1200;100
Errachidia;Appartement économique;GT;2002;1209;101
Errachidia;Appartement économique;GT;2003;1215;101
Errachidia;Appartement économique;GT;2004;1222;102
Errachidia;Appartement économique;GT;2005;1229;102
Errachidia;Appartement économique;GT;2006;1236;103
Errachidia;Appartement économique;GT;2007;1243;104
Errachidia;Appartement économique;GT;2008;1250;104
Errachidia;Appartement économique;GT;2009;1257;105
Errachidia;Appartement économique;GT;2010;1264;105
Errachidia;Appartement économique;GT;2011;1271;106
Errachidia;Appartement économique;GT;2012;1278;107
Errachidia;Appartement économique;GT;2013;1291;108
Errachidia;Appartement économique;GT;2014;1304;109
Errachidia;Appartement économique;GT;2015;1317;110
Errachidia;Appartement économique;GT;2016;1330;111
Errachidia;Appartement économique;GT;2017;1424;119
Errachidia;Appartement économique;GT;2018;1518;127
Errachidia;Appartement économique;GT;2019;1625;135
Errachidia;Appartement économique;GT;2020;1584;132
Errachidia;Appartement économique;GT;2021;1622;135
Errachidia;Appartement économique;GT;2022;1646;137
Errachidia;Appartement économique;MT;2001;791;100
Errachidia;Appartement économique;MT;2002;809;102
Errachidia;Appartement économique;MT;2003;812;103
Errachidia;Appartement économique;MT;2004;816;103
Errachidia;Appartement économique;MT;2005;819;104
Errachidia;Appartement économique;MT;2006;823;104
Errachidia;Appartement économique;MT;2007;826;105
Errachidia;Appartement économique;MT;2008;830;105
Errachidia;Appartement économique;MT;2009;833;105
Errachidia;Appartement économique;MT;2010;837;106
Errachidia;Appartement économique;MT;2011;840;106
Errachidia;Appartement économique;MT;2012;844;107
Errachidia;Appartement économique;MT;2013;881;111
Errachidia;Appartement économique;MT;2014;919;116
Errachidia;Appartement économique;MT;2015;958;121
Errachidia;Appartement économique;MT;2016;1000;126
Errachidia;Appartement économique;MT;2017;1075;136
Errachidia;Appartement économique;MT;2018;1145;145
Errachidia;Appartement économique;MT;2019;1215;154
Errachidia;Appartement économique;MT;2020;1173;148
Errachidia;Appartement économique;MT;2021;1216;154
Errachidia;Appartement économique;MT;2022;1242;157
Errachidia;Appartement économique;PT;2001;620;100
Errachidia;Appartement économique;PT;2002;632;102
Errachidia;Appartement économique;PT;2003;639;103
Errachidia;Appartement économique;PT;2004;646;104
Errachidia;Appartement économique;PT;2005;652;105
Errachidia;Appartement économique;PT;2006;659;106
Errachidia;Appartement économique;PT;2007;666;107
Errachidia;Appartement économique;PT;2008;672;108
Errachidia;Appartement économique;PT;2009;679;110
Errachidia;Appartement économique;PT;2010;686;111
Errachidia;Appartement économique;PT;2011;693;112
Errachidia;Appartement économique;PT;2012;700;113
Errachidia;Appartement économique;PT;2013;735;119
Errachidia;Appartement économique;PT;2014;771;124
Errachidia;Appartement économique;PT;2015;810;131
Errachidia;Appartement économique;PT;2016;850;137
Errachidia;Appartement économique;PT;2017;908;146
Errachidia;Appartement économique;PT;2018;958;154
Errachidia;Appartement économique;PT;2019;1000;161
Errachidia;Appartement économique;PT;2020;956;154
Errachidia;Appartement économique;PT;2021;977;158
Errachidia;Appartement économique;PT;2022;1011;163
Errachidia;Maison sur lot économique;GT;2001;1122;100
Errachidia;Maison sur lot économique;GT;2002;1137;101
Errachidia;Maison sur lot économique;GT;2003;1146;102
Errachidia;Maison sur lot économique;GT;2004;1154;103
Errachidia;Maison sur lot économique;GT;2005;1162;104
Errachidia;Maison sur lot économique;GT;2006;1171;104
Errachidia;Maison sur lot économique;GT;2007;1179;105
Errachidia;Maison sur lot économique;GT;2008;1188;106
Errachidia;Maison sur lot économique;GT;2009;1196;107
Errachidia;Maison sur lot économique;GT;2010;1205;107
Errachidia;Maison sur lot économique;GT;2011;1214;108
Errachidia;Maison sur lot économique;GT;2012;1223;109
Errachidia;Maison sur lot économique;GT;2013;1239;110
Errachidia;Maison sur lot économique;GT;2014;1256;112
Errachidia;Maison sur lot économique;GT;2015;1297;116
Errachidia;Maison sur lot économique;GT;2016;1331;119
Errachidia;Maison sur lot économique;GT;2017;1387;124
Errachidia;Maison sur lot économique;GT;2018;1436;128
Errachidia;Maison sur lot économique;GT;2019;1474;131
Errachidia;Maison sur lot économique;GT;2020;1434;128
Errachidia;Maison sur lot économique;GT;2021;1477;132
Errachidia;Maison sur lot économique;GT;2022;1496;133
Errachidia;Maison sur lot économique;MLE;2001;943;100
Errachidia;Maison sur lot économique;MLE;2002;960;102
Errachidia;Maison sur lot économique;MLE;2003;966;102
Errachidia;Maison sur lot économique;MLE;2004;972;103
Errachidia;Maison sur lot économique;MLE;2005;978;104
Errachidia;Maison sur lot économique;MLE;2006;984;104
Errachidia;Maison sur lot économique;MLE;2007;990;105
Errachidia;Maison sur lot économique;MLE;2008;997;106
Errachidia;Maison sur lot économique;MLE;2009;1003;106
Errachidia;Maison sur lot économique;MLE;2010;1009;107
Errachidia;Maison sur lot économique;MLE;2011;1015;108
