Agglomération;Type d'habitat;Envergure;Année;Montants moyens des loyers (MAD);Indices des montants moyens des loyers
Aoussred;Appartement standing;APS;2001;Non disponible;Non disponible
Aoussred;Appartement standing;APS;2002;Non disponible;Non disponible
Aoussred;Appartement standing;APS;2003;Non disponible;Non disponible
Aoussred;Appartement standing;APS;2004;Non disponible;Non disponible
Aoussred;Appartement standing;APS;2005;Non disponible;Non disponible
Aoussred;Appartement standing;APS;2006;Non disponible;Non disponible
Aoussred;Appartement standing;APS;2007;Non disponible;Non disponible
Aoussred;Appartement standing;APS;2008;Non disponible;Non disponible
Aoussred;Appartement standing;APS;2009;Non disponible;Non disponible
Aoussred;Appartement standing;APS;2010;Non disponible;Non disponible
Aoussred;Appartement standing;APS;2011;Non disponible;Non disponible
Aoussred;Appartement standing;APS;2012;Non disponible;Non disponible
Aoussred;Appartement standing;APS;2013;Non disponible;Non disponible
Aoussred;Appartement standing;APS;2014;Non disponible;Non disponible
Aoussred;Appartement standing;APS;2015;Non disponible;Non disponible
Aoussred;Appartement standing;APS;2016;Non disponible;Non disponible
Aoussred;Appartement standing;APS;2017;Non disponible;Non disponible
Aoussred;Appartement standing;APS;2018;Non disponible;Non disponible
Aoussred;Appartement standing;APS;2019;Non disponible;Non disponible
Aoussred;Appartement standing;GT;2001;Non disponible;Non disponible
Aoussred;Appartement standing;GT;2002;Non disponible;Non disponible
Aoussred;Appartement standing;GT;2003;Non disponible;Non disponible
Aoussred;Appartement standing;GT;2004;Non disponible;Non disponible
Aoussred;Appartement standing;GT;2005;Non disponible;Non disponible
Aoussred;Appartement standing;GT;2006;Non disponible;Non disponible
Aoussred;Appartement standing;GT;2007;Non disponible;Non disponible
Aoussred;Appartement standing;GT;2008;Non disponible;Non disponible
Aoussred;Appartement standing;GT;2009;Non disponible;Non disponible
Aoussred;Appartement standing;GT;2010;Non disponible;Non disponible
Aoussred;Appartement standing;GT;2011;Non disponible;Non disponible
Aoussred;Appartement standing;GT;2012;Non disponible;Non disponible
Aoussred;Appartement standing;GT;2013;Non disponible;Non disponible
Aoussred;Appartement standing;GT;2014;Non disponible;Non disponible
Aoussred;Appartement standing;GT;2015;Non disponible;Non disponible
Aoussred;Appartement standing;GT;2016;Non disponible;Non disponible
Aoussred;Appartement standing;GT;2017;Non disponible;Non disponible
Aoussred;Appartement standing;GT;2018;Non disponible;Non disponible
Aoussred;Appartement standing;GT;2019;Non disponible;Non disponible
Aoussred;Appartement standing;MT;2001;Non disponible;Non disponible
Aoussred;Appartement standing;MT;2002;Non disponible;Non disponible
Aoussred;Appartement standing;MT;2003;Non disponible;Non disponible
Aoussred;Appartement standing;MT;2004;Non disponible;Non disponible
Aoussred;Appartement standing;MT;2005;Non disponible;Non disponible
Aoussred;Appartement standing;MT;2006;Non disponible;Non disponible
Aoussred;Appartement standing;MT;2007;Non disponible;Non disponible
Aoussred;Appartement standing;MT;2008;Non disponible;Non disponible
Aoussred;Appartement standing;MT;2009;Non disponible;Non disponible
Aoussred;Appartement standing;MT;2010;Non disponible;Non disponible
Aoussred;Appartement standing;MT;2011;Non disponible;Non disponible
Aoussred;Appartement standing;MT;2012;Non disponible;Non disponible
Aoussred;Appartement standing;MT;2013;Non disponible;Non disponible
Aoussred;Appartement standing;MT;2014;Non disponible;Non disponible
Aoussred;Appartement standing;MT;2015;Non disponible;Non disponible
Aoussred;Appartement standing;MT;2016;Non disponible;Non disponible
Aoussred;Appartement standing;MT;2017;Non disponible;Non disponible
Aoussred;Appartement standing;MT;2018;Non disponible;Non disponible
Aoussred;Appartement standing;MT;2019;Non disponible;Non disponible
Aoussred;Appartement standing;PT;2001;Non disponible;Non disponible
Aoussred;Appartement standing;PT;2002;Non disponible;Non disponible
Aoussred;Appartement standing;PT;2003;Non disponible;Non disponible
Aoussred;Appartement standing;PT;2004;Non disponible;Non disponible
Aoussred;Appartement standing;PT;2005;Non disponible;Non disponible
Aoussred;Appartement standing;PT;2006;Non disponible;Non disponible
Aoussred;Appartement standing;PT;2007;Non disponible;Non disponible
Aoussred;Appartement standing;PT;2008;Non disponible;Non disponible
Aoussred;Appartement standing;PT;2009;Non disponible;Non disponible
Aoussred;Appartement standing;PT;2010;Non disponible;Non disponible
Aoussred;Appartement standing;PT;2011;Non disponible;Non disponible
Aoussred;Appartement standing;PT;2012;Non disponible;Non disponible
Aoussred;Appartement standing;PT;2013;Non disponible;Non disponible
Aoussred;Appartement standing;PT;2014;Non disponible;Non disponible
Aoussred;Appartement standing;PT;2015;Non disponible;Non disponible
Aoussred;Appartement standing;PT;2016;Non disponible;Non disponible
Aoussred;Appartement standing;PT;2017;Non disponible;Non disponible
Aoussred;Appartement standing;PT;2018;Non disponible;Non disponible
Aoussred;Appartement standing;PT;2019;Non disponible;Non disponible
Aoussred;Appartement économique;APE;2001;757;100
Aoussred;Appartement économique;APE;2002;756;100
Aoussred;Appartement économique;APE;2003;732;98
Aoussred;Appartement économique;APE;2004;749;99
Aoussred;Appartement économique;APE;2005;758;100
Aoussred;Appartement économique;APE;2006;807;107
Aoussred;Appartement économique;APE;2007;861;114
Aoussred;Appartement économique;APE;2008;888;118
Aoussred;Appartement économique;APE;2009;925;123
Aoussred;Appartement économique;APE;2010;944;126
Aoussred;Appartement économique;APE;2011;964;128
Aoussred;Appartement économique;APE;2012;984;131
Aoussred;Appartement économique;APE;2013;1004;134
Aoussred;Appartement économique;APE;2014;1017;135
Aoussred;Appartement économique;APE;2015;999;127
Aoussred;Appartement économique;APE;2016;1021;130
Aoussred;Appartement économique;APE;2017;1068;137
Aoussred;Appartement économique;APE;2018;1109;143
Aoussred;Appartement économique;APE;2019;1192;155
Aoussred;Appartement économique;APE;2020;1015;128
Aoussred;Appartement économique;APE;2021;1356;169
Aoussred;Appartement économique;APE;2022;1707;230
Aoussred;Appartement économique;GT;2001;1093;100
Aoussred;Appartement économique;GT;2002;1087;99
Aoussred;Appartement économique;GT;2003;1111;102
Aoussred;Appartement économique;GT;2004;1192;109
Aoussred;Appartement économique;GT;2005;1236;113
Aoussred;Appartement économique;GT;2006;1262;115
Aoussred;Appartement économique;GT;2007;1307;120
Aoussred;Appartement économique;GT;2008;1328;122
Aoussred;Appartement économique;GT;2009;1358;124
Aoussred;Appartement économique;GT;2010;1392;127
Aoussred;Appartement économique;GT;2011;1426;131
Aoussred;Appartement économique;GT;2012;1460;134
Aoussred;Appartement économique;GT;2013;1493;137
Aoussred;Appartement économique;GT;2014;1538;141
Aoussred;Appartement économique;GT;2015;1421;130
Aoussred;Appartement économique;GT;2016;1453;133
Aoussred;Appartement économique;GT;2017;1390;127
Aoussred;Appartement économique;GT;2018;1425;130
Aoussred;Appartement économique;GT;2019;1478;135
Aoussred;Appartement économique;GT;2020;1128;103
Aoussred;Appartement économique;GT;2021;1582;145
Aoussred;Appartement économique;GT;2022;1675;153
Aoussred;Appartement économique;MT;2001;818;100
Aoussred;Appartement économique;MT;2002;792;97
Aoussred;Appartement économique;MT;2003;747;91
Aoussred;Appartement économique;MT;2004;788;96
Aoussred;Appartement économique;MT;2005;793;97
Aoussred;Appartement économique;MT;2006;846;103
Aoussred;Appartement économique;MT;2007;902;110
Aoussred;Appartement économique;MT;2008;925;113
Aoussred;Appartement économique;MT;2009;953;117
Aoussred;Appartement économique;MT;2010;974;119
Aoussred;Appartement économique;MT;2011;996;122
Aoussred;Appartement économique;MT;2012;1017;124
Aoussred;Appartement économique;MT;2013;1039;127
Aoussred;Appartement économique;MT;2014;1049;128
Aoussred;Appartement économique;MT;2015;987;121
Aoussred;Appartement économique;MT;2016;1009;123
Aoussred;Appartement économique;MT;2017;1060;130
Aoussred;Appartement économique;MT;2018;1080;132
Aoussred;Appartement économique;MT;2019;1150;141
Aoussred;Appartement économique;MT;2020;930;114
Aoussred;Appartement économique;MT;2021;1367;167
Aoussred;Appartement économique;MT;2022;2137;261
Aoussred;Appartement économique;PT;2001;618;100
Aoussred;Appartement économique;PT;2002;661;107
Aoussred;Appartement économique;PT;2003;669;108
Aoussred;Appartement économique;PT;2004;636;103
Aoussred;Appartement économique;PT;2005;650;105
Aoussred;Appartement économique;PT;2006;696;113
Aoussred;Appartement économique;PT;2007;746;121
Aoussred;Appartement économique;PT;2008;781;126
Aoussred;Appartement économique;PT;2009;833;135
Aoussred;Appartement économique;PT;2010;848;137
Aoussred;Appartement économique;PT;2011;864;140
Aoussred;Appartement économique;PT;2012;880;142
Aoussred;Appartement économique;PT;2013;896;145
Aoussred;Appartement économique;PT;2014;912;148
Aoussred;Appartement économique;PT;2015;845;137
Aoussred;Appartement économique;PT;2016;864;140
Aoussred;Appartement économique;PT;2017;950;154
Aoussred;Appartement économique;PT;2018;1025;166
Aoussred;Appartement économique;PT;2019;1143;185
Aoussred;Appartement économique;PT;2020;987;160
Aoussred;Appartement économique;PT;2021;1120;181
Aoussred;Appartement économique;PT;2022;1309;212
Aoussred;Maison sur lot économique;GT;2001;1654;100
Aoussred;Maison sur lot économique;GT;2002;1675;101
Aoussred;Maison sur lot économique;GT;2003;1610;97
Aoussred;Maison sur lot économique;GT;2004;1508;91
Aoussred;Maison sur lot économique;GT;2005;1527;92
Aoussred;Maison sur lot économique;GT;2006;1572;95
Aoussred;Maison sur lot économique;GT;2007;1695;102
