Agglomération;Type d'habitat;Envergure;Année;Montants moyens des loyers (MAD);Indices des montants moyens des loyers
Berkane;Appartement standing;APS;2001;1556;100
Berkane;Appartement standing;APS;2002;1596;103
Berkane;Appartement standing;APS;2003;1658;107
Berkane;Appartement standing;APS;2004;1687;108
Berkane;Appartement standing;APS;2005;1699;109
Berkane;Appartement standing;APS;2006;1703;109
Berkane;Appartement standing;APS;2007;1745;112
Berkane;Appartement standing;APS;2008;1777;114
Berkane;Appartement standing;APS;2009;1820;117
Berkane;Appartement standing;APS;2010;1889;121
Berkane;Appartement standing;APS;2011;1926;124
Berkane;Appartement standing;APS;2012;1964;126
Berkane;Appartement standing;APS;2013;1986;128
Berkane;Appartement standing;APS;2014;2001;129
Berkane;Appartement standing;APS;2015;2070;133
Berkane;Appartement standing;APS;2016;2126;137
Berkane;Appartement standing;APS;2017;2215;143
Berkane;Appartement standing;APS;2018;2245;145
Berkane;Appartement standing;APS;2019;2287;147
Berkane;Appartement standing;APS;2020;2274;147
Berkane;Appartement standing;APS;2021;2325;150
Berkane;Appartement standing;APS;2022;2394;154
Berkane;Appartement standing;GT;2001;2061;100
Berkane;Appartement standing;GT;2002;2120;103
Berkane;Appartement standing;GT;2003;2148;104
Berkane;Appartement standing;GT;2004;2233;108
Berkane;Appartement standing;GT;2005;2233;108
Berkane;Appartement standing;GT;2006;2241;109
Berkane;Appartement standing;GT;2007;2270;110
Berkane;Appartement standing;GT;2008;2348;114
Berkane;Appartement standing;GT;2009;2427;118
Berkane;Appartement standing;GT;2010;2520;122
Berkane;Appartement standing;GT;2011;2569;125
Berkane;Appartement standing;GT;2012;2605;126
Berkane;Appartement standing;GT;2013;2621;127
Berkane;Appartement standing;GT;2014;2631;128
Berkane;Appartement standing;GT;2015;2720;132
Berkane;Appartement standing;GT;2016;2752;134
Berkane;Appartement standing;GT;2017;2850;138
Berkane;Appartement standing;GT;2018;2888;140
Berkane;Appartement standing;GT;2019;2967;144
Berkane;Appartement standing;GT;2020;2958;144
Berkane;Appartement standing;GT;2021;2996;145
Berkane;Appartement standing;GT;2022;3050;148
Berkane;Appartement standing;MT;2001;1569;100
Berkane;Appartement standing;MT;2002;1614;103
Berkane;Appartement standing;MT;2003;1691;108
Berkane;Appartement standing;MT;2004;1720;110
Berkane;Appartement standing;MT;2005;1725;110
Berkane;Appartement standing;MT;2006;1725;110
Berkane;Appartement standing;MT;2007;1770;113
Berkane;Appartement standing;MT;2008;1797;114
Berkane;Appartement standing;MT;2009;1823;116
Berkane;Appartement standing;MT;2010;1892;121
Berkane;Appartement standing;MT;2011;1937;123
Berkane;Appartement standing;MT;2012;1976;126
Berkane;Appartement standing;MT;2013;1997;127
Berkane;Appartement standing;MT;2014;2010;128
Berkane;Appartement standing;MT;2015;2081;133
Berkane;Appartement standing;MT;2016;2152;137
Berkane;Appartement standing;MT;2017;2250;143
Berkane;Appartement standing;MT;2018;2278;145
Berkane;Appartement standing;MT;2019;2310;147
Berkane;Appartement standing;MT;2020;2297;146
Berkane;Appartement standing;MT;2021;2350;150
Berkane;Appartement standing;MT;2022;2423;154
Berkane;Appartement standing;PT;2001;1293;100
Berkane;Appartement standing;PT;2002;1311;101
Berkane;Appartement standing;PT;2003;1337;103
Berkane;Appartement standing;PT;2004;1338;103
Berkane;Appartement standing;PT;2005;1379;107
Berkane;Appartement standing;PT;2006;1394;108
Berkane;Appartement standing;PT;2007;1436;111
Berkane;Appartement standing;PT;2008;1468;113
Berkane;Appartement standing;PT;2009;1547;120
Berkane;Appartement standing;PT;2010;1607;124
Berkane;Appartement standing;PT;2011;1611;125
Berkane;Appartement standing;PT;2012;1650;128
Berkane;Appartement standing;PT;2013;1676;130
Berkane;Appartement standing;PT;2014;1704;132
Berkane;Appartement standing;PT;2015;1759;136
Berkane;Appartement standing;PT;2016;1783;138
Berkane;Appartement standing;PT;2017;1848;143
Berkane;Appartement standing;PT;2018;1880;145
Berkane;Appartement standing;PT;2019;1930;149
Berkane;Appartement standing;PT;2020;1917;148
Berkane;Appartement standing;PT;2021;1967;152
Berkane;Appartement standing;PT;2022;2033;157
Berkane;Appartement économique;APE;2001;1097;100
Berkane;Appartement économique;APE;2002;1148;105
Berkane;Appartement économique;APE;2003;1181;107
Berkane;Appartement économique;APE;2004;1208;110
Berkane;Appartement économique;APE;2005;1253;114
Berkane;Appartement économique;APE;2006;1269;116
Berkane;Appartement économique;APE;2007;1306;119
Berkane;Appartement économique;APE;2008;1350;123
Berkane;Appartement économique;APE;2009;1407;129
Berkane;Appartement économique;APE;2010;1457;133
Berkane;Appartement économique;APE;2011;1479;135
Berkane;Appartement économique;APE;2012;1505;138
Berkane;Appartement économique;APE;2013;1525;140
Berkane;Appartement économique;APE;2014;1542;141
Berkane;Appartement économique;APE;2015;1581;146
Berkane;Appartement économique;APE;2016;1602;148
Berkane;Appartement économique;APE;2017;1680;155
Berkane;Appartement économique;APE;2018;1703;158
Berkane;Appartement économique;APE;2019;1707;158
Berkane;Appartement économique;APE;2020;1683;156
Berkane;Appartement économique;APE;2021;1709;158
Berkane;Appartement économique;APE;2022;1760;163
Berkane;Appartement économique;GT;2001;1402;100
Berkane;Appartement économique;GT;2002;1451;104
Berkane;Appartement économique;GT;2003;1492;106
Berkane;Appartement économique;GT;2004;1487;106
Berkane;Appartement économique;GT;2005;1552;111
Berkane;Appartement économique;GT;2006;1556;111
Berkane;Appartement économique;GT;2007;1579;113
Berkane;Appartement économique;GT;2008;1641;117
Berkane;Appartement économique;GT;2009;1695;121
Berkane;Appartement économique;GT;2010;1754;125
Berkane;Appartement économique;GT;2011;1773;127
Berkane;Appartement économique;GT;2012;1801;129
Berkane;Appartement économique;GT;2013;1824;130
Berkane;Appartement économique;GT;2014;1859;133
Berkane;Appartement économique;GT;2015;1956;140
Berkane;Appartement économique;GT;2016;1969;140
Berkane;Appartement économique;GT;2017;2053;146
Berkane;Appartement économique;GT;2018;2086;149
Berkane;Appartement économique;GT;2019;2088;149
Berkane;Appartement économique;GT;2020;2061;147
Berkane;Appartement économique;GT;2021;2080;148
Berkane;Appartement économique;GT;2022;2116;151
Berkane;Appartement économique;MT;2001;1044;100
Berkane;Appartement économique;MT;2002;1105;106
Berkane;Appartement économique;MT;2003;1145;110
Berkane;Appartement économique;MT;2004;1196;115
Berkane;Appartement économique;MT;2005;1233;118
Berkane;Appartement économique;MT;2006;1257;120
Berkane;Appartement économique;MT;2007;1303;125
Berkane;Appartement économique;MT;2008;1340;128
Berkane;Appartement économique;MT;2009;1397;134
Berkane;Appartement économique;MT;2010;1441;138
Berkane;Appartement économique;MT;2011;1471;141
