Agglomération;Type d'habitat;Envergure;Année;Montants moyens des loyers (MAD);Indices des montants moyens des loyers
Khémisset;Appartement standing;APS;2001;1683;100
Khémisset;Appartement standing;APS;2002;1742;103
Khémisset;Appartement standing;APS;2003;1787;106
Khémisset;Appartement standing;APS;2004;1856;110
Khémisset;Appartement standing;APS;2005;1941;115
Khémisset;Appartement standing;APS;2006;1973;117
Khémisset;Appartement standing;APS;2007;2006;119
Khémisset;Appartement standing;APS;2008;2062;123
Khémisset;Appartement standing;APS;2009;2102;125
Khémisset;Appartement standing;APS;2010;2140;127
Khémisset;Appartement standing;APS;2011;2190;130
Khémisset;Appartement standing;APS;2012;2307;137
Khémisset;Appartement standing;APS;2013;2373;142
Khémisset;Appartement standing;APS;2014;2439;146
Khémisset;Appartement standing;APS;2015;2486;152
Khémisset;Appartement standing;APS;2016;2502;153
Khémisset;Appartement standing;APS;2017;2512;154
Khémisset;Appartement standing;APS;2018;2550;156
Khémisset;Appartement standing;APS;2019;2586;159
Khémisset;Appartement standing;APS;2020;2485;152
Khémisset;Appartement standing;APS;2021;2529;155
Khémisset;Appartement standing;APS;2022;2629;161
Khémisset;Appartement standing;GT;2001;2526;100
Khémisset;Appartement standing;GT;2002;2630;104
Khémisset;Appartement standing;GT;2003;2704;107
Khémisset;Appartement standing;GT;2004;2820;112
Khémisset;Appartement standing;GT;2005;2958;117
Khémisset;Appartement standing;GT;2006;3019;120
Khémisset;Appartement standing;GT;2007;3105;123
Khémisset;Appartement standing;GT;2008;3150;125
Khémisset;Appartement standing;GT;2009;3212;127
Khémisset;Appartement standing;GT;2010;3271;129
Khémisset;Appartement standing;GT;2011;3350;133
Khémisset;Appartement standing;GT;2012;3525;140
Khémisset;Appartement standing;GT;2013;3618;143
Khémisset;Appartement standing;GT;2014;3710;147
Khémisset;Appartement standing;GT;2015;3830;152
Khémisset;Appartement standing;GT;2016;3815;151
Khémisset;Appartement standing;GT;2017;3825;151
Khémisset;Appartement standing;GT;2018;3910;155
Khémisset;Appartement standing;GT;2019;4030;160
Khémisset;Appartement standing;GT;2020;3515;139
Khémisset;Appartement standing;GT;2021;3575;142
Khémisset;Appartement standing;GT;2022;3644;144
Khémisset;Appartement standing;MT;2001;1725;100
Khémisset;Appartement standing;MT;2002;1786;104
Khémisset;Appartement standing;MT;2003;1832;106
Khémisset;Appartement standing;MT;2004;1904;110
Khémisset;Appartement standing;MT;2005;1990;115
Khémisset;Appartement standing;MT;2006;2024;117
Khémisset;Appartement standing;MT;2007;2045;119
Khémisset;Appartement standing;MT;2008;2101;122
Khémisset;Appartement standing;MT;2009;2140;124
Khémisset;Appartement standing;MT;2010;2174;126
Khémisset;Appartement standing;MT;2011;2225;129
Khémisset;Appartement standing;MT;2012;2338;135
Khémisset;Appartement standing;MT;2013;2398;139
Khémisset;Appartement standing;MT;2014;2458;143
Khémisset;Appartement standing;MT;2015;2537;147
Khémisset;Appartement standing;MT;2016;2550;148
Khémisset;Appartement standing;MT;2017;2555;148
Khémisset;Appartement standing;MT;2018;2590;150
Khémisset;Appartement standing;MT;2019;2610;151
Khémisset;Appartement standing;MT;2020;2559;148
Khémisset;Appartement standing;MT;2021;2599;151
Khémisset;Appartement standing;MT;2022;2694;156
Khémisset;Appartement standing;PT;2001;1234;100
Khémisset;Appartement standing;PT;2002;1271;103
Khémisset;Appartement standing;PT;2003;1301;105
Khémisset;Appartement standing;PT;2004;1348;109
Khémisset;Appartement standing;PT;2005;1405;114
Khémisset;Appartement standing;PT;2006;1424;115
Khémisset;Appartement standing;PT;2007;1504;122
Khémisset;Appartement standing;PT;2008;1561;127
Khémisset;Appartement standing;PT;2009;1603;130
Khémisset;Appartement standing;PT;2010;1653;134
Khémisset;Appartement standing;PT;2011;1690;137
Khémisset;Appartement standing;PT;2012;1812;147
Khémisset;Appartement standing;PT;2013;1902;154
Khémisset;Appartement standing;PT;2014;1990;161
Khémisset;Appartement standing;PT;2015;2091;170
Khémisset;Appartement standing;PT;2016;2125;172
Khémisset;Appartement standing;PT;2017;2152;174
Khémisset;Appartement standing;PT;2018;2190;178
Khémisset;Appartement standing;PT;2019;2270;184
Khémisset;Appartement standing;PT;2020;2061;167
Khémisset;Appartement standing;PT;2021;2118;172
Khémisset;Appartement standing;PT;2022;2239;182
Khémisset;Appartement économique;APE;2001;737;100
Khémisset;Appartement économique;APE;2002;777;106
Khémisset;Appartement économique;APE;2003;804;109
Khémisset;Appartement économique;APE;2004;854;116
Khémisset;Appartement économique;APE;2005;900;123
Khémisset;Appartement économique;APE;2006;964;131
Khémisset;Appartement économique;APE;2007;1002;137
Khémisset;Appartement économique;APE;2008;1048;144
Khémisset;Appartement économique;APE;2009;1103;151
Khémisset;Appartement économique;APE;2010;1144;157
Khémisset;Appartement économique;APE;2011;1174;161
Khémisset;Appartement économique;APE;2012;1261;173
Khémisset;Appartement économique;APE;2013;1330;182
Khémisset;Appartement économique;APE;2014;1398;192
Khémisset;Appartement économique;APE;2015;1474;203
Khémisset;Appartement économique;APE;2016;1501;208
Khémisset;Appartement économique;APE;2017;1495;207
Khémisset;Appartement économique;APE;2018;1578;219
Khémisset;Appartement économique;APE;2019;1605;223
Khémisset;Appartement économique;APE;2020;1532;212
Khémisset;Appartement économique;APE;2021;1565;216
Khémisset;Appartement économique;APE;2022;1637;226
Khémisset;Appartement économique;GT;2001;965;100
Khémisset;Appartement économique;GT;2002;1006;104
Khémisset;Appartement économique;GT;2003;1038;108
Khémisset;Appartement économique;GT;2004;1075;111
Khémisset;Appartement économique;GT;2005;1112;115
Khémisset;Appartement économique;GT;2006;1149;119
Khémisset;Appartement économique;GT;2007;1187;123
Khémisset;Appartement économique;GT;2008;1226;127
Khémisset;Appartement économique;GT;2009;1265;131
Khémisset;Appartement économique;GT;2010;1304;135
Khémisset;Appartement économique;GT;2011;1365;141
Khémisset;Appartement économique;GT;2012;1480;153
Khémisset;Appartement économique;GT;2013;1626;168
Khémisset;Appartement économique;GT;2014;1772;184
Khémisset;Appartement économique;GT;2015;1908;198
Khémisset;Appartement économique;GT;2016;1915;198
