Agglomération;Type d'habitat;Envergure;Année;Montants moyens des loyers (MAD);Indices des montants moyens des loyers
Al Hoceima;Appartement standing;APS;2001;1997;100
Al Hoceima;Appartement standing;APS;2002;1908;96
Al Hoceima;Appartement standing;APS;2003;1951;98
Al Hoceima;Appartement standing;APS;2004;1978;99
Al Hoceima;Appartement standing;APS;2005;1945;97
Al Hoceima;Appartement standing;APS;2006;1962;98
Al Hoceima;Appartement standing;APS;2007;2001;100
Al Hoceima;Appartement standing;APS;2008;2038;102
Al Hoceima;Appartement standing;APS;2009;2095;105
Al Hoceima;Appartement standing;APS;2010;2269;114
Al Hoceima;Appartement standing;APS;2011;2418;121
Al Hoceima;Appartement standing;APS;2012;2485;124
Al Hoceima;Appartement standing;APS;2013;2566;128
Al Hoceima;Appartement standing;APS;2014;2647;132
Al Hoceima;Appartement standing;APS;2015;2665;134
Al Hoceima;Appartement standing;APS;2016;2806;141
Al Hoceima;Appartement standing;APS;2017;2872;144
Al Hoceima;Appartement standing;APS;2018;2891;145
Al Hoceima;Appartement standing;APS;2019;2928;147
Al Hoceima;Appartement standing;APS;2020;2889;145
Al Hoceima;Appartement standing;APS;2021;2992;150
Al Hoceima;Appartement standing;APS;2022;3111;156
Al Hoceima;Appartement standing;GT;2001;2667;100
Al Hoceima;Appartement standing;GT;2002;2800;105
Al Hoceima;Appartement standing;GT;2003;2869;108
Al Hoceima;Appartement standing;GT;2004;2932;110
Al Hoceima;Appartement standing;GT;2005;2985;112
Al Hoceima;Appartement standing;GT;2006;3030;114
Al Hoceima;Appartement standing;GT;2007;3114;117
Al Hoceima;Appartement standing;GT;2008;3198;120
Al Hoceima;Appartement standing;GT;2009;3262;122
Al Hoceima;Appartement standing;GT;2010;3430;129
Al Hoceima;Appartement standing;GT;2011;3499;131
Al Hoceima;Appartement standing;GT;2012;3531;132
Al Hoceima;Appartement standing;GT;2013;3626;136
Al Hoceima;Appartement standing;GT;2014;3729;140
Al Hoceima;Appartement standing;GT;2015;3794;142
Al Hoceima;Appartement standing;GT;2016;3887;146
Al Hoceima;Appartement standing;GT;2017;3903;146
Al Hoceima;Appartement standing;GT;2018;3917;147
Al Hoceima;Appartement standing;GT;2019;3904;146
Al Hoceima;Appartement standing;GT;2020;3905;146
Al Hoceima;Appartement standing;GT;2021;4044;152
Al Hoceima;Appartement standing;GT;2022;4153;156
Al Hoceima;Appartement standing;MT;2001;2078;100
Al Hoceima;Appartement standing;MT;2002;1975;95
Al Hoceima;Appartement standing;MT;2003;2035;98
Al Hoceima;Appartement standing;MT;2004;2064;99
Al Hoceima;Appartement standing;MT;2005;2017;97
Al Hoceima;Appartement standing;MT;2006;2033;98
Al Hoceima;Appartement standing;MT;2007;2070;100
Al Hoceima;Appartement standing;MT;2008;2096;101
Al Hoceima;Appartement standing;MT;2009;2155;104
Al Hoceima;Appartement standing;MT;2010;2356;113
Al Hoceima;Appartement standing;MT;2011;2544;122
Al Hoceima;Appartement standing;MT;2012;2636;127
Al Hoceima;Appartement standing;MT;2013;2723;131
Al Hoceima;Appartement standing;MT;2014;2810;135
Al Hoceima;Appartement standing;MT;2015;2864;138
Al Hoceima;Appartement standing;MT;2016;3024;146
Al Hoceima;Appartement standing;MT;2017;3089;149
Al Hoceima;Appartement standing;MT;2018;3108;150
Al Hoceima;Appartement standing;MT;2019;3146;151
Al Hoceima;Appartement standing;MT;2020;3118;150
Al Hoceima;Appartement standing;MT;2021;3223;155
Al Hoceima;Appartement standing;MT;2022;3352;161
Al Hoceima;Appartement standing;PT;2001;1667;100
Al Hoceima;Appartement standing;PT;2002;1620;97
Al Hoceima;Appartement standing;PT;2003;1600;96
Al Hoceima;Appartement standing;PT;2004;1615;97
Al Hoceima;Appartement standing;PT;2005;1630;98
Al Hoceima;Appartement standing;PT;2006;1650;99
Al Hoceima;Appartement standing;PT;2007;1694;102
Al Hoceima;Appartement standing;PT;2008;1766;106
Al Hoceima;Appartement standing;PT;2009;1816;109
Al Hoceima;Appartement standing;PT;2010;1897;114
Al Hoceima;Appartement standing;PT;2011;1907;114
Al Hoceima;Appartement standing;PT;2012;1885;113
Al Hoceima;Appartement standing;PT;2013;1941;116
Al Hoceima;Appartement standing;PT;2014;2000;120
Al Hoceima;Appartement standing;PT;2015;2059;124
Al Hoceima;Appartement standing;PT;2016;2162;130
Al Hoceima;Appartement standing;PT;2017;2236;134
Al Hoceima;Appartement standing;PT;2018;2254;135
Al Hoceima;Appartement standing;PT;2019;2296;138
Al Hoceima;Appartement standing;PT;2020;2225;133
Al Hoceima;Appartement standing;PT;2021;2319;139
Al Hoceima;Appartement standing;PT;2022;2418;145
Al Hoceima;Appartement économique;APE;2001;1589;100
Al Hoceima;Appartement économique;APE;2002;1637;103
Al Hoceima;Appartement économique;APE;2003;1721;108
Al Hoceima;Appartement économique;APE;2004;1785;112
Al Hoceima;Appartement économique;APE;2005;1838;116
Al Hoceima;Appartement économique;APE;2006;1867;118
Al Hoceima;Appartement économique;APE;2007;1901;120
Al Hoceima;Appartement économique;APE;2008;1932;122
Al Hoceima;Appartement économique;APE;2009;1993;126
Al Hoceima;Appartement économique;APE;2010;2099;132
Al Hoceima;Appartement économique;APE;2011;2213;140
Al Hoceima;Appartement économique;APE;2012;2298;146
Al Hoceima;Appartement économique;APE;2013;2369;151
Al Hoceima;Appartement économique;APE;2014;2438;155
Al Hoceima;Appartement économique;APE;2015;2401;162
Al Hoceima;Appartement économique;APE;2016;2443;165
Al Hoceima;Appartement économique;APE;2017;2432;164
Al Hoceima;Appartement économique;APE;2018;2442;165
Al Hoceima;Appartement économique;APE;2019;2416;163
Al Hoceima;Appartement économique;APE;2020;2440;165
Al Hoceima;Appartement économique;APE;2021;2551;172
Al Hoceima;Appartement économique;APE;2022;2646;179
Al Hoceima;Appartement économique;GT;2001;2000;100
Al Hoceima;Appartement économique;GT;2002;2100;105
Al Hoceima;Appartement économique;GT;2003;2272;114
Al Hoceima;Appartement économique;GT;2004;2313;116
Al Hoceima;Appartement économique;GT;2005;2365;118
Al Hoceima;Appartement économique;GT;2006;2404;120
Al Hoceima;Appartement économique;GT;2007;2468;123
Al Hoceima;Appartement économique;GT;2008;2544;127
Al Hoceima;Appartement économique;GT;2009;2620;131
Al Hoceima;Appartement économique;GT;2010;2716;136
Al Hoceima;Appartement économique;GT;2011;2773;139
Al Hoceima;Appartement économique;GT;2012;2839;142
Al Hoceima;Appartement économique;GT;2013;2925;146
Al Hoceima;Appartement économique;GT;2014;2983;149
Al Hoceima;Appartement économique;GT;2015;3057;153
Al Hoceima;Appartement économique;GT;2016;3059;153
Al Hoceima;Appartement économique;GT;2017;3025;151
Al Hoceima;Appartement économique;GT;2018;3033;152
Al Hoceima;Appartement économique;GT;2019;2991;150
Al Hoceima;Appartement économique;GT;2020;3004;150
Al Hoceima;Appartement économique;GT;2021;3154;158
Al Hoceima;Appartement économique;GT;2022;3252;163
Al Hoceima;Appartement économique;MT;2001;1441;100
Al Hoceima;Appartement économique;MT;2002;1450;101
Al Hoceima;Appartement économique;MT;2003;1477;102
Al Hoceima;Appartement économique;MT;2004;1554;108
Al Hoceima;Appartement économique;MT;2005;1602;111
Al Hoceima;Appartement économique;MT;2006;1611;112
Al Hoceima;Appartement économique;MT;2007;1630;113
Al Hoceima;Appartement économique;MT;2008;1637;114
Al Hoceima;Appartement économique;MT;2009;1696;118
Al Hoceima;Appartement économique;MT;2010;1812;126
Al Hoceima;Appartement économique;MT;2011;1966;136
Al Hoceima;Appartement économique;MT;2012;2069;144
Al Hoceima;Appartement économique;MT;2013;2132;148
Al Hoceima;Appartement économique;MT;2014;2216;154
Al Hoceima;Appartement économique;MT;2015;2287;159
Al Hoceima;Appartement économique;MT;2016;2354;163
Al Hoceima;Appartement économique;MT;2017;2348;163
Al Hoceima;Appartement économique;MT;2018;2360;164
Al Hoceima;Appartement économique;MT;2019;2336;162
Al Hoceima;Appartement économique;MT;2020;2378;165
Al Hoceima;Appartement économique;MT;2021;2493;173
Al Hoceima;Appartement économique;MT;2022;2588;180
Al Hoceima;Appartement économique;PT;2001;917;100
Al Hoceima;Appartement économique;PT;2002;995;109
Al Hoceima;Appartement économique;PT;2003;1088;119
Al Hoceima;Appartement économique;PT;2004;1155;126
Al Hoceima;Appartement économique;PT;2005;1245;136
