Agglomération;Type d'habitat;Envergure;Année;Montants moyens des honoraires des agents immobiliers;Indices des montants moyens des honoraires des agents immobiliers
Errachidia;Appartement standing;APS;2001;657;100
Errachidia;Appartement standing;APS;2002;668;102
Errachidia;Appartement standing;APS;2003;672;102
Errachidia;Appartement standing;APS;2004;677;103
Errachidia;Appartement standing;APS;2005;682;104
Errachidia;Appartement standing;APS;2006;686;104
Errachidia;Appartement standing;APS;2007;691;105
Errachidia;Appartement standing;APS;2008;695;106
Errachidia;Appartement standing;APS;2009;700;106
Errachidia;Appartement standing;APS;2010;705;107
Errachidia;Appartement standing;APS;2011;709;108
Errachidia;Appartement standing;APS;2012;714;109
Errachidia;Appartement standing;APS;2013;731;111
Errachidia;Appartement standing;APS;2014;750;114
Errachidia;Appartement standing;APS;2015;752;117
Errachidia;Appartement standing;APS;2016;770;119
Errachidia;Appartement standing;APS;2017;789;123
Errachidia;Appartement standing;APS;2018;818;127
Errachidia;Appartement standing;APS;2019;865;134
Errachidia;Appartement standing;APS;2020;841;130
Errachidia;Appartement standing;APS;2021;887;137
Errachidia;Appartement standing;APS;2022;929;144
Errachidia;Appartement standing;GT;2001;738;100
Errachidia;Appartement standing;GT;2002;743;101
Errachidia;Appartement standing;GT;2003;752;102
Errachidia;Appartement standing;GT;2004;761;103
Errachidia;Appartement standing;GT;2005;771;104
Errachidia;Appartement standing;GT;2006;780;106
Errachidia;Appartement standing;GT;2007;789;107
Errachidia;Appartement standing;GT;2008;798;108
Errachidia;Appartement standing;GT;2009;807;109
Errachidia;Appartement standing;GT;2010;817;111
Errachidia;Appartement standing;GT;2011;826;112
Errachidia;Appartement standing;GT;2012;835;113
Errachidia;Appartement standing;GT;2013;849;115
Errachidia;Appartement standing;GT;2014;863;117
Errachidia;Appartement standing;GT;2015;877;119
Errachidia;Appartement standing;GT;2016;889;120
Errachidia;Appartement standing;GT;2017;917;124
Errachidia;Appartement standing;GT;2018;946;128
Errachidia;Appartement standing;GT;2019;1011;137
Errachidia;Appartement standing;GT;2020;997;135
Errachidia;Appartement standing;GT;2021;1081;146
Errachidia;Appartement standing;GT;2022;1140;154
Errachidia;Appartement standing;MT;2001;649;100
Errachidia;Appartement standing;MT;2002;662;102
Errachidia;Appartement standing;MT;2003;666;103
Errachidia;Appartement standing;MT;2004;670;103
Errachidia;Appartement standing;MT;2005;674;104
Errachidia;Appartement standing;MT;2006;678;104
Errachidia;Appartement standing;MT;2007;682;105
Errachidia;Appartement standing;MT;2008;685;106
Errachidia;Appartement standing;MT;2009;689;106
Errachidia;Appartement standing;MT;2010;693;107
Errachidia;Appartement standing;MT;2011;697;107
Errachidia;Appartement standing;MT;2012;701;108
Errachidia;Appartement standing;MT;2013;720;111
Errachidia;Appartement standing;MT;2014;740;114
Errachidia;Appartement standing;MT;2015;760;117
Errachidia;Appartement standing;MT;2016;780;120
Errachidia;Appartement standing;MT;2017;793;122
Errachidia;Appartement standing;MT;2018;821;127
Errachidia;Appartement standing;MT;2019;876;135
Errachidia;Appartement standing;MT;2020;852;131
Errachidia;Appartement standing;MT;2021;892;137
Errachidia;Appartement standing;MT;2022;935;144
Errachidia;Appartement standing;PT;2001;561;100
