Agglomération;Type d'habitat;Envergure;Année;Montants moyens des honoraires des agents immobiliers;Indices des montants moyens des honoraires des agents immobiliers
Aoussred;Appartement standing;APS;2001;0;0
Aoussred;Appartement standing;APS;2002;0;0
Aoussred;Appartement standing;APS;2003;0;0
Aoussred;Appartement standing;APS;2004;0;0
Aoussred;Appartement standing;APS;2005;0;0
Aoussred;Appartement standing;APS;2006;0;0
Aoussred;Appartement standing;APS;2007;0;0
Aoussred;Appartement standing;APS;2008;0;0
Aoussred;Appartement standing;APS;2009;0;0
Aoussred;Appartement standing;APS;2010;0;0
Aoussred;Appartement standing;APS;2011;0;0
Aoussred;Appartement standing;APS;2012;0;0
Aoussred;Appartement standing;APS;2013;0;0
Aoussred;Appartement standing;APS;2014;0;0
Aoussred;Appartement standing;APS;2015;0;0
Aoussred;Appartement standing;APS;2016;0;0
Aoussred;Appartement standing;APS;2017;0;0
Aoussred;Appartement standing;APS;2018;0;0
Aoussred;Appartement standing;APS;2019;0;0
Aoussred;Appartement standing;APS;2020;0;0
Aoussred;Appartement standing;APS;2021;0;0
Aoussred;Appartement standing;APS;2022;0;0
Aoussred;Appartement standing;GT;2001;0;0
Aoussred;Appartement standing;GT;2002;0;0
Aoussred;Appartement standing;GT;2003;0;0
Aoussred;Appartement standing;GT;2004;0;0
Aoussred;Appartement standing;GT;2005;0;0
Aoussred;Appartement standing;GT;2006;0;0
Aoussred;Appartement standing;GT;2007;0;0
Aoussred;Appartement standing;GT;2008;0;0
Aoussred;Appartement standing;GT;2009;0;0
Aoussred;Appartement standing;GT;2010;0;0
Aoussred;Appartement standing;GT;2011;0;0
Aoussred;Appartement standing;GT;2012;0;0
Aoussred;Appartement standing;GT;2013;0;0
Aoussred;Appartement standing;GT;2014;0;0
Aoussred;Appartement standing;GT;2015;0;0
Aoussred;Appartement standing;GT;2016;0;0
Aoussred;Appartement standing;GT;2017;0;0
Aoussred;Appartement standing;GT;2018;0;0
Aoussred;Appartement standing;GT;2019;0;0
Aoussred;Appartement standing;GT;2020;0;0
Aoussred;Appartement standing;GT;2021;0;0
Aoussred;Appartement standing;GT;2022;0;0
Aoussred;Appartement standing;MT;2001;0;0
Aoussred;Appartement standing;MT;2002;0;0
Aoussred;Appartement standing;MT;2003;0;0
Aoussred;Appartement standing;MT;2004;0;0
Aoussred;Appartement standing;MT;2005;0;0
Aoussred;Appartement standing;MT;2006;0;0
Aoussred;Appartement standing;MT;2007;0;0
Aoussred;Appartement standing;MT;2008;0;0
Aoussred;Appartement standing;MT;2009;0;0
Aoussred;Appartement standing;MT;2010;0;0
Aoussred;Appartement standing;MT;2011;0;0
Aoussred;Appartement standing;MT;2012;0;0
Aoussred;Appartement standing;MT;2013;0;0
Aoussred;Appartement standing;MT;2014;0;0
Aoussred;Appartement standing;MT;2015;0;0
Aoussred;Appartement standing;MT;2016;0;0
Aoussred;Appartement standing;MT;2017;0;0
Aoussred;Appartement standing;MT;2018;0;0
Aoussred;Appartement standing;MT;2019;0;0
Aoussred;Appartement standing;MT;2020;0;0
Aoussred;Appartement standing;MT;2021;0;0
Aoussred;Appartement standing;MT;2022;0;0
Aoussred;Appartement standing;PT;2001;0;0
Aoussred;Appartement standing;PT;2002;0;0
Aoussred;Appartement standing;PT;2003;0;0
Aoussred;Appartement standing;PT;2004;0;0
Aoussred;Appartement standing;PT;2005;0;0
Aoussred;Appartement standing;PT;2006;0;0
Aoussred;Appartement standing;PT;2007;0;0
Aoussred;Appartement standing;PT;2008;0;0
Aoussred;Appartement standing;PT;2009;0;0
Aoussred;Appartement standing;PT;2010;0;0
Aoussred;Appartement standing;PT;2011;0;0
Aoussred;Appartement standing;PT;2012;0;0
Aoussred;Appartement standing;PT;2013;0;0
Aoussred;Appartement standing;PT;2014;0;0
Aoussred;Appartement standing;PT;2015;0;0
Aoussred;Appartement standing;PT;2016;0;0
Aoussred;Appartement standing;PT;2017;0;0
Aoussred;Appartement standing;PT;2018;0;0
Aoussred;Appartement standing;PT;2019;0;0
Aoussred;Appartement standing;PT;2020;0;0
Aoussred;Appartement standing;PT;2021;0;0
Aoussred;Appartement standing;PT;2022;0;0
Aoussred;Appartement économique;APE;2001;261;100
Aoussred;Appartement économique;APE;2002;262;102
Aoussred;Appartement économique;APE;2003;264;103
Aoussred;Appartement économique;APE;2004;278;108
Aoussred;Appartement économique;APE;2005;292;113
Aoussred;Appartement économique;APE;2006;322;125
Aoussred;Appartement économique;APE;2007;355;139
Aoussred;Appartement économique;APE;2008;379;149
Aoussred;Appartement économique;APE;2009;408;161
Aoussred;Appartement économique;APE;2010;429;169
Aoussred;Appartement économique;APE;2011;452;178
Aoussred;Appartement économique;APE;2012;475;188
Aoussred;Appartement économique;APE;2013;485;191
Aoussred;Appartement économique;APE;2014;494;193
Aoussred;Appartement économique;APE;2015;496;182
Aoussred;Appartement économique;APE;2016;505;185
