Agglomération;Type d'habitat;Envergure;Année;Montants moyens des honoraires des agents immobiliers;Indices des montants moyens des honoraires des agents immobiliers
Assa;Appartement standing;APS;2001;0;0
Assa;Appartement standing;APS;2002;0;0
Assa;Appartement standing;APS;2003;0;0
Assa;Appartement standing;APS;2004;0;0
Assa;Appartement standing;APS;2005;0;0
Assa;Appartement standing;APS;2006;0;0
Assa;Appartement standing;APS;2007;0;0
Assa;Appartement standing;APS;2008;0;0
Assa;Appartement standing;APS;2009;0;0
Assa;Appartement standing;APS;2010;0;0
Assa;Appartement standing;APS;2011;0;0
Assa;Appartement standing;APS;2012;0;0
Assa;Appartement standing;APS;2013;0;0
Assa;Appartement standing;APS;2014;0;0
Assa;Appartement standing;APS;2015;0;0
Assa;Appartement standing;APS;2016;0;0
Assa;Appartement standing;APS;2017;0;0
Assa;Appartement standing;APS;2018;0;0
Assa;Appartement standing;APS;2019;0;0
Assa;Appartement standing;APS;2020;0;0
Assa;Appartement standing;APS;2021;0;0
Assa;Appartement standing;APS;2022;0;0
Assa;Appartement standing;GT;2001;0;0
Assa;Appartement standing;GT;2002;0;0
Assa;Appartement standing;GT;2003;0;0
Assa;Appartement standing;GT;2004;0;0
Assa;Appartement standing;GT;2005;0;0
Assa;Appartement standing;GT;2006;0;0
Assa;Appartement standing;GT;2007;0;0
Assa;Appartement standing;GT;2008;0;0
Assa;Appartement standing;GT;2009;0;0
Assa;Appartement standing;GT;2010;0;0
Assa;Appartement standing;GT;2011;0;0
Assa;Appartement standing;GT;2012;0;0
Assa;Appartement standing;GT;2013;0;0
Assa;Appartement standing;GT;2014;0;0
Assa;Appartement standing;GT;2015;0;0
Assa;Appartement standing;GT;2016;0;0
Assa;Appartement standing;GT;2017;0;0
Assa;Appartement standing;GT;2018;0;0
Assa;Appartement standing;GT;2019;0;0
Assa;Appartement standing;GT;2020;0;0
Assa;Appartement standing;GT;2021;0;0
Assa;Appartement standing;GT;2022;0;0
Assa;Appartement standing;MT;2001;0;0
Assa;Appartement standing;MT;2002;0;0
Assa;Appartement standing;MT;2003;0;0
Assa;Appartement standing;MT;2004;0;0
Assa;Appartement standing;MT;2005;0;0
Assa;Appartement standing;MT;2006;0;0
Assa;Appartement standing;MT;2007;0;0
Assa;Appartement standing;MT;2008;0;0
Assa;Appartement standing;MT;2009;0;0
Assa;Appartement standing;MT;2010;0;0
Assa;Appartement standing;MT;2011;0;0
Assa;Appartement standing;MT;2012;0;0
Assa;Appartement standing;MT;2013;0;0
Assa;Appartement standing;MT;2014;0;0
Assa;Appartement standing;MT;2015;0;0
Assa;Appartement standing;MT;2016;0;0
Assa;Appartement standing;MT;2017;0;0
Assa;Appartement standing;MT;2018;0;0
Assa;Appartement standing;MT;2019;0;0
Assa;Appartement standing;MT;2020;0;0
Assa;Appartement standing;MT;2021;0;0
Assa;Appartement standing;MT;2022;0;0
Assa;Appartement standing;PT;2001;0;0
Assa;Appartement standing;PT;2002;0;0
Assa;Appartement standing;PT;2003;0;0
Assa;Appartement standing;PT;2004;0;0
Assa;Appartement standing;PT;2005;0;0
Assa;Appartement standing;PT;2006;0;0
Assa;Appartement standing;PT;2007;0;0
Assa;Appartement standing;PT;2008;0;0
Assa;Appartement standing;PT;2009;0;0
Assa;Appartement standing;PT;2010;0;0
Assa;Appartement standing;PT;2011;0;0
Assa;Appartement standing;PT;2012;0;0
Assa;Appartement standing;PT;2013;0;0
Assa;Appartement standing;PT;2014;0;0
Assa;Appartement standing;PT;2015;0;0
Assa;Appartement standing;PT;2016;0;0
Assa;Appartement standing;PT;2017;0;0
Assa;Appartement standing;PT;2018;0;0
Assa;Appartement standing;PT;2019;0;0
Assa;Appartement standing;PT;2020;0;0
Assa;Appartement standing;PT;2021;0;0
Assa;Appartement standing;PT;2022;0;0
Assa;Appartement économique;APE;2001;216;100
Assa;Appartement économique;APE;2002;216;100
Assa;Appartement économique;APE;2003;218;101
Assa;Appartement économique;APE;2004;222;103
Assa;Appartement économique;APE;2005;227;106
Assa;Appartement économique;APE;2006;230;107
Assa;Appartement économique;APE;2007;229;107
Assa;Appartement économique;APE;2008;233;109
Assa;Appartement économique;APE;2009;239;111
Assa;Appartement économique;APE;2010;245;114
Assa;Appartement économique;APE;2011;248;116
Assa;Appartement économique;APE;2012;252;118
Assa;Appartement économique;APE;2013;256;119
Assa;Appartement économique;APE;2014;260;122
Assa;Appartement économique;APE;2015;273;124
Assa;Appartement économique;APE;2016;283;129
Assa;Appartement économique;APE;2017;293;134
Assa;Appartement économique;APE;2018;303;139
Assa;Appartement économique;APE;2019;314;143
Assa;Appartement économique;APE;2020;301;137
Assa;Appartement économique;APE;2021;306;140
Assa;Appartement économique;APE;2022;314;144
Assa;Appartement économique;GT;2001;350;100
Assa;Appartement économique;GT;2002;346;99
Assa;Appartement économique;GT;2003;342;98
Assa;Appartement économique;GT;2004;344;98
