Agglomération;Type d'habitat;Envergure;Année;Montants moyens des honoraires des agents immobiliers;Indices des montants moyens des honoraires des agents immobiliers
Boujdour;Appartement standing;APS;2001;347;100
Boujdour;Appartement standing;APS;2002;371;107
Boujdour;Appartement standing;APS;2003;396;114
Boujdour;Appartement standing;APS;2004;421;121
Boujdour;Appartement standing;APS;2005;445;128
Boujdour;Appartement standing;APS;2006;466;134
Boujdour;Appartement standing;APS;2007;485;140
Boujdour;Appartement standing;APS;2008;502;145
Boujdour;Appartement standing;APS;2009;522;151
Boujdour;Appartement standing;APS;2010;540;156
Boujdour;Appartement standing;APS;2011;558;161
Boujdour;Appartement standing;APS;2012;572;165
Boujdour;Appartement standing;APS;2013;584;169
Boujdour;Appartement standing;APS;2014;598;173
Boujdour;Appartement standing;APS;2015;596;171
Boujdour;Appartement standing;APS;2016;600;173
Boujdour;Appartement standing;APS;2017;603;174
Boujdour;Appartement standing;APS;2018;604;174
Boujdour;Appartement standing;APS;2019;620;179
Boujdour;Appartement standing;APS;2020;644;185
Boujdour;Appartement standing;APS;2021;695;200
Boujdour;Appartement standing;APS;2022;769;222
Boujdour;Appartement standing;GT;2001;403;100
Boujdour;Appartement standing;GT;2002;429;107
Boujdour;Appartement standing;GT;2003;461;115
Boujdour;Appartement standing;GT;2004;480;119
Boujdour;Appartement standing;GT;2005;502;125
Boujdour;Appartement standing;GT;2006;512;127
Boujdour;Appartement standing;GT;2007;522;130
Boujdour;Appartement standing;GT;2008;532;132
Boujdour;Appartement standing;GT;2009;529;131
Boujdour;Appartement standing;GT;2010;544;135
Boujdour;Appartement standing;GT;2011;548;136
Boujdour;Appartement standing;GT;2012;562;140
Boujdour;Appartement standing;GT;2013;564;140
Boujdour;Appartement standing;GT;2014;561;139
Boujdour;Appartement standing;GT;2015;550;137
Boujdour;Appartement standing;GT;2016;538;134
Boujdour;Appartement standing;GT;2017;539;134
Boujdour;Appartement standing;GT;2018;556;138
Boujdour;Appartement standing;GT;2019;534;133
Boujdour;Appartement standing;GT;2020;616;153
Boujdour;Appartement standing;GT;2021;650;161
Boujdour;Appartement standing;GT;2022;700;174
Boujdour;Appartement standing;MT;2001;336;100
Boujdour;Appartement standing;MT;2002;365;109
Boujdour;Appartement standing;MT;2003;385;115
Boujdour;Appartement standing;MT;2004;405;121
Boujdour;Appartement standing;MT;2005;425;127
Boujdour;Appartement standing;MT;2006;445;133
Boujdour;Appartement standing;MT;2007;464;138
Boujdour;Appartement standing;MT;2008;483;144
Boujdour;Appartement standing;MT;2009;502;150
Boujdour;Appartement standing;MT;2010;520;155
Boujdour;Appartement standing;MT;2011;538;160
Boujdour;Appartement standing;MT;2012;563;168
Boujdour;Appartement standing;MT;2013;572;170
Boujdour;Appartement standing;MT;2014;594;177
Boujdour;Appartement standing;MT;2015;596;177
Boujdour;Appartement standing;MT;2016;601;179
Boujdour;Appartement standing;MT;2017;606;180
Boujdour;Appartement standing;MT;2018;604;180
Boujdour;Appartement standing;MT;2019;624;186
Boujdour;Appartement standing;MT;2020;648;193
Boujdour;Appartement standing;MT;2021;717;213
Boujdour;Appartement standing;MT;2022;803;239
Boujdour;Appartement standing;PT;2001;361;100
Boujdour;Appartement standing;PT;2002;374;104
Boujdour;Appartement standing;PT;2003;410;114
Boujdour;Appartement standing;PT;2004;444;123
Boujdour;Appartement standing;PT;2005;476;132
Boujdour;Appartement standing;PT;2006;502;139
Boujdour;Appartement standing;PT;2007;519;144
