Agglomération;Type d'habitat;Envergure;Année;Montants moyens des honoraires des agents immobiliers;Indices des montants moyens des honoraires des agents immobiliers
Khémisset;Appartement standing;APS;2001;681;100
Khémisset;Appartement standing;APS;2002;691;101
Khémisset;Appartement standing;APS;2003;770;113
Khémisset;Appartement standing;APS;2004;863;127
Khémisset;Appartement standing;APS;2005;952;140
Khémisset;Appartement standing;APS;2006;1067;157
Khémisset;Appartement standing;APS;2007;1104;162
Khémisset;Appartement standing;APS;2008;1153;170
Khémisset;Appartement standing;APS;2009;1215;179
Khémisset;Appartement standing;APS;2010;1316;193
Khémisset;Appartement standing;APS;2011;1368;201
Khémisset;Appartement standing;APS;2012;1440;212
Khémisset;Appartement standing;APS;2013;1496;220
Khémisset;Appartement standing;APS;2014;1549;228
Khémisset;Appartement standing;APS;2015;1579;234
Khémisset;Appartement standing;APS;2016;1600;237
Khémisset;Appartement standing;APS;2017;1616;240
Khémisset;Appartement standing;APS;2018;1651;245
Khémisset;Appartement standing;APS;2019;1683;249
Khémisset;Appartement standing;APS;2020;1577;234
Khémisset;Appartement standing;APS;2021;1643;244
Khémisset;Appartement standing;APS;2022;1713;254
Khémisset;Appartement standing;GT;2001;1036;100
Khémisset;Appartement standing;GT;2002;1078;104
Khémisset;Appartement standing;GT;2003;1109;107
Khémisset;Appartement standing;GT;2004;1212;117
Khémisset;Appartement standing;GT;2005;1272;123
Khémisset;Appartement standing;GT;2006;1298;125
Khémisset;Appartement standing;GT;2007;1397;135
Khémisset;Appartement standing;GT;2008;1418;137
Khémisset;Appartement standing;GT;2009;1540;149
Khémisset;Appartement standing;GT;2010;1546;149
Khémisset;Appartement standing;GT;2011;1600;154
Khémisset;Appartement standing;GT;2012;1675;162
Khémisset;Appartement standing;GT;2013;1728;167
Khémisset;Appartement standing;GT;2014;1776;172
Khémisset;Appartement standing;GT;2015;1838;177
Khémisset;Appartement standing;GT;2016;1836;177
Khémisset;Appartement standing;GT;2017;1845;178
Khémisset;Appartement standing;GT;2018;1891;183
Khémisset;Appartement standing;GT;2019;1953;189
Khémisset;Appartement standing;GT;2020;1869;180
Khémisset;Appartement standing;GT;2021;1896;183
Khémisset;Appartement standing;GT;2022;1956;189
Khémisset;Appartement standing;MT;2001;675;100
Khémisset;Appartement standing;MT;2002;679;101
Khémisset;Appartement standing;MT;2003;770;114
Khémisset;Appartement standing;MT;2004;876;130
Khémisset;Appartement standing;MT;2005;975;144
Khémisset;Appartement standing;MT;2006;1113;165
Khémisset;Appartement standing;MT;2007;1145;170
Khémisset;Appartement standing;MT;2008;1197;177
Khémisset;Appartement standing;MT;2009;1263;187
Khémisset;Appartement standing;MT;2010;1380;204
Khémisset;Appartement standing;MT;2011;1438;213
Khémisset;Appartement standing;MT;2012;1512;224
Khémisset;Appartement standing;MT;2013;1571;233
Khémisset;Appartement standing;MT;2014;1626;241
Khémisset;Appartement standing;MT;2015;1693;251
Khémisset;Appartement standing;MT;2016;1718;254
Khémisset;Appartement standing;MT;2017;1737;257
Khémisset;Appartement standing;MT;2018;1777;263
Khémisset;Appartement standing;MT;2019;1807;268
Khémisset;Appartement standing;MT;2020;1688;250
Khémisset;Appartement standing;MT;2021;1760;261
Khémisset;Appartement standing;MT;2022;1831;271
Khémisset;Appartement standing;PT;2001;617;100
Khémisset;Appartement standing;PT;2002;648;105
Khémisset;Appartement standing;PT;2003;676;110
Khémisset;Appartement standing;PT;2004;701;114
Khémisset;Appartement standing;PT;2005;744;121
Khémisset;Appartement standing;PT;2006;762;124
Khémisset;Appartement standing;PT;2007;812;132
Khémisset;Appartement standing;PT;2008;851;138
Khémisset;Appartement standing;PT;2009;881;143
Khémisset;Appartement standing;PT;2010;922;150
Khémisset;Appartement standing;PT;2011;947;154
Khémisset;Appartement standing;PT;2012;1000;162
Khémisset;Appartement standing;PT;2013;1047;170
Khémisset;Appartement standing;PT;2014;1090;177
