Agglomération;Type d'habitat;Envergure;Année;Montants moyens des honoraires des agents immobiliers;Indices des montants moyens des honoraires des agents immobiliers
Agadir;Appartement standing;APS;2001;1737;100
Agadir;Appartement standing;APS;2002;1782;102
Agadir;Appartement standing;APS;2003;1939;111
Agadir;Appartement standing;APS;2004;2090;120
Agadir;Appartement standing;APS;2005;2175;126
Agadir;Appartement standing;APS;2006;2166;125
Agadir;Appartement standing;APS;2007;2095;121
Agadir;Appartement standing;APS;2008;2168;125
Agadir;Appartement standing;APS;2009;2160;125
Agadir;Appartement standing;APS;2010;2188;127
Agadir;Appartement standing;APS;2011;2195;128
Agadir;Appartement standing;APS;2012;2224;130
Agadir;Appartement standing;APS;2013;2280;135
Agadir;Appartement standing;APS;2014;2340;138
Agadir;Appartement standing;APS;2015;2374;144
Agadir;Appartement standing;APS;2016;2396;147
Agadir;Appartement standing;APS;2017;2382;147
Agadir;Appartement standing;APS;2018;2411;149
Agadir;Appartement standing;APS;2019;2392;148
Agadir;Appartement standing;GT;2001;2529;100
Agadir;Appartement standing;GT;2002;2781;110
Agadir;Appartement standing;GT;2003;3015;119
Agadir;Appartement standing;GT;2004;3229;128
Agadir;Appartement standing;GT;2005;3078;122
Agadir;Appartement standing;GT;2006;3143;124
Agadir;Appartement standing;GT;2007;3164;125
Agadir;Appartement standing;GT;2008;3213;127
Agadir;Appartement standing;GT;2009;3189;126
Agadir;Appartement standing;GT;2010;3103;123
Agadir;Appartement standing;GT;2011;2949;117
Agadir;Appartement standing;GT;2012;2770;110
Agadir;Appartement standing;GT;2013;2565;101
Agadir;Appartement standing;GT;2014;2597;103
Agadir;Appartement standing;GT;2015;2636;104
Agadir;Appartement standing;GT;2016;2294;91
Agadir;Appartement standing;GT;2017;2097;83
Agadir;Appartement standing;GT;2018;2062;82
Agadir;Appartement standing;GT;2019;1799;71
Agadir;Appartement standing;MT;2001;1666;100
Agadir;Appartement standing;MT;2002;1663;100
Agadir;Appartement standing;MT;2003;1820;109
Agadir;Appartement standing;MT;2004;1968;118
Agadir;Appartement standing;MT;2005;2095;126
Agadir;Appartement standing;MT;2006;2060;124
Agadir;Appartement standing;MT;2007;1965;118
Agadir;Appartement standing;MT;2008;2052;123
Agadir;Appartement standing;MT;2009;2022;121
Agadir;Appartement standing;MT;2010;2077;125
Agadir;Appartement standing;MT;2011;2124;128
Agadir;Appartement standing;MT;2012;2193;132
Agadir;Appartement standing;MT;2013;2308;139
Agadir;Appartement standing;MT;2014;2372;142
Agadir;Appartement standing;MT;2015;2462;148
Agadir;Appartement standing;MT;2016;2578;155
Agadir;Appartement standing;MT;2017;2617;157
Agadir;Appartement standing;MT;2018;2666;160
Agadir;Appartement standing;MT;2019;2722;163
Agadir;Appartement standing;PT;2001;1138;100
Agadir;Appartement standing;PT;2002;1206;106
Agadir;Appartement standing;PT;2003;1266;111
Agadir;Appartement standing;PT;2004;1356;119
Agadir;Appartement standing;PT;2005;1489;131
Agadir;Appartement standing;PT;2006;1541;135
Agadir;Appartement standing;PT;2007;1496;131
Agadir;Appartement standing;PT;2008;1514;133
Agadir;Appartement standing;PT;2009;1658;146
Agadir;Appartement standing;PT;2010;1675;147
Agadir;Appartement standing;PT;2011;1645;145
Agadir;Appartement standing;PT;2012;1705;150
Agadir;Appartement standing;PT;2013;1740;153
Agadir;Appartement standing;PT;2014;1816;159
Agadir;Appartement standing;PT;2015;1898;167
Agadir;Appartement standing;PT;2016;1969;173
Agadir;Appartement standing;PT;2017;1969;173
Agadir;Appartement standing;PT;2018;1996;175
Agadir;Appartement standing;PT;2019;1974;173
Agadir;Appartement économique;APE;2001;1033;100
Agadir;Appartement économique;APE;2002;1127;109
Agadir;Appartement économique;APE;2003;1149;111
Agadir;Appartement économique;APE;2004;1170;113
Agadir;Appartement économique;APE;2005;1167;113
Agadir;Appartement économique;APE;2006;1198;116
Agadir;Appartement économique;APE;2007;1227;118
Agadir;Appartement économique;APE;2008;1256;121
Agadir;Appartement économique;APE;2009;1306;126
Agadir;Appartement économique;APE;2010;1347;130
Agadir;Appartement économique;APE;2011;1507;145
Agadir;Appartement économique;APE;2012;1517;146
Agadir;Appartement économique;APE;2013;1597;154
Agadir;Appartement économique;APE;2014;1677;161
Agadir;Appartement économique;APE;2015;1649;160
Agadir;Appartement économique;APE;2016;1679;163
Agadir;Appartement économique;APE;2017;1735;168
Agadir;Appartement économique;APE;2018;1790;173
Agadir;Appartement économique;APE;2019;1833;177
Agadir;Appartement économique;GT;2001;1074;100
Agadir;Appartement économique;GT;2002;1197;111
Agadir;Appartement économique;GT;2003;1263;118
Agadir;Appartement économique;GT;2004;1326;123
Agadir;Appartement économique;GT;2005;1358;126
Agadir;Appartement économique;GT;2006;1362;127
Agadir;Appartement économique;GT;2007;1393;130
Agadir;Appartement économique;GT;2008;1443;134
Agadir;Appartement économique;GT;2009;1564;146
Agadir;Appartement économique;GT;2010;1621;151
Agadir;Appartement économique;GT;2011;1775;165
Agadir;Appartement économique;GT;2012;1849;172
Agadir;Appartement économique;GT;2013;1982;185
Agadir;Appartement économique;GT;2014;2092;195
Agadir;Appartement économique;GT;2015;2171;202
Agadir;Appartement économique;GT;2016;2267;211
Agadir;Appartement économique;GT;2017;2361;220
Agadir;Appartement économique;GT;2018;2451;228
Agadir;Appartement économique;GT;2019;2607;243
Agadir;Appartement économique;MT;2001;1030;100
Agadir;Appartement économique;MT;2002;1134;110
Agadir;Appartement économique;MT;2003;1129;110
Agadir;Appartement économique;MT;2004;1140;111
Agadir;Appartement économique;MT;2005;1131;110
Agadir;Appartement économique;MT;2006;1170;114
Agadir;Appartement économique;MT;2007;1193;116
Agadir;Appartement économique;MT;2008;1218;118
Agadir;Appartement économique;MT;2009;1243;121
Agadir;Appartement économique;MT;2010;1283;124
Agadir;Appartement économique;MT;2011;1473;143
Agadir;Appartement économique;MT;2012;1438;140
Agadir;Appartement économique;MT;2013;1516;147
Agadir;Appartement économique;MT;2014;1609;156
Agadir;Appartement économique;MT;2015;1669;162
Agadir;Appartement économique;MT;2016;1715;166
Agadir;Appartement économique;MT;2017;1789;174
Agadir;Appartement économique;MT;2018;1851;180
Agadir;Appartement économique;MT;2019;1885;183
Agadir;Appartement économique;PT;2001;964;100
Agadir;Appartement économique;PT;2002;962;100
Agadir;Appartement économique;PT;2003;994;103
Agadir;Appartement économique;PT;2004;976;101
Agadir;Appartement économique;PT;2005;920;95
Agadir;Appartement économique;PT;2006;980;102
Agadir;Appartement économique;PT;2007;1024;106
Agadir;Appartement économique;PT;2008;1031;107
Agadir;Appartement économique;PT;2009;1033;107
Agadir;Appartement économique;PT;2010;1045;108
Agadir;Appartement économique;PT;2011;1109;115
Agadir;Appartement économique;PT;2012;1150;119
Agadir;Appartement économique;PT;2013;1139;118
Agadir;Appartement économique;PT;2014;1112;115
Agadir;Appartement économique;PT;2015;1111;115
Agadir;Appartement économique;PT;2016;1048;109
Agadir;Appartement économique;PT;2017;1035;107
Agadir;Appartement économique;PT;2018;1043;108
Agadir;Appartement économique;PT;2019;995;103
Agadir;Maison sur lot économique;GT;2001;957;100
Agadir;Maison sur lot économique;GT;2002;984;103
Agadir;Maison sur lot économique;GT;2003;934;98
Agadir;Maison sur lot économique;GT;2004;891;93
Agadir;Maison sur lot économique;GT;2005;927;97
Agadir;Maison sur lot économique;GT;2006;987;103
Agadir;Maison sur lot économique;GT;2007;1040;109
Agadir;Maison sur lot économique;GT;2008;1118;117
Agadir;Maison sur lot économique;GT;2009;1245;130
Agadir;Maison sur lot économique;GT;2010;1341;140
Agadir;Maison sur lot économique;GT;2011;1358;142
Agadir;Maison sur lot économique;GT;2012;1478;154
Agadir;Maison sur lot économique;GT;2013;1519;159
Agadir;Maison sur lot économique;GT;2014;1567;164
Agadir;Maison sur lot économique;GT;2015;1632;171
Agadir;Maison sur lot économique;GT;2016;1676;175
Agadir;Maison sur lot économique;GT;2017;1726;180
Agadir;Maison sur lot économique;GT;2018;1777;186
Agadir;Maison sur lot économique;GT;2019;1852;194
Agadir;Maison sur lot économique;MLE;2001;758;100
Agadir;Maison sur lot économique;MLE;2002;781;103
Agadir;Maison sur lot économique;MLE;2003;771;102
Agadir;Maison sur lot économique;MLE;2004;771;102
Agadir;Maison sur lot économique;MLE;2005;767;101
Agadir;Maison sur lot économique;MLE;2006;809;107
Agadir;Maison sur lot économique;MLE;2007;851;112
Agadir;Maison sur lot économique;MLE;2008;910;120
Agadir;Maison sur lot économique;MLE;2009;993;131
Agadir;Maison sur lot économique;MLE;2010;1064;140
Agadir;Maison sur lot économique;MLE;2011;1083;143
Agadir;Maison sur lot économique;MLE;2012;1178;155
Agadir;Maison sur lot économique;MLE;2013;1243;164
Agadir;Maison sur lot économique;MLE;2014;1292;171
Agadir;Maison sur lot économique;MLE;2015;1277;173
Agadir;Maison sur lot économique;MLE;2016;1306;177
Agadir;Maison sur lot économique;MLE;2017;1339;181
Agadir;Maison sur lot économique;MLE;2018;1378;186
Agadir;Maison sur lot économique;MLE;2019;1408;189
Agadir;Maison sur lot économique;MT;2001;699;100
Agadir;Maison sur lot économique;MT;2002;725;104
Agadir;Maison sur lot économique;MT;2003;741;106
Agadir;Maison sur lot économique;MT;2004;761;109
Agadir;Maison sur lot économique;MT;2005;742;106
Agadir;Maison sur lot économique;MT;2006;790;113
Agadir;Maison sur lot économique;MT;2007;823;118
Agadir;Maison sur lot économique;MT;2008;867;124
Agadir;Maison sur lot économique;MT;2009;940;134
Agadir;Maison sur lot économique;MT;2010;1004;144
Agadir;Maison sur lot économique;MT;2011;1016;145
Agadir;Maison sur lot économique;MT;2012;1102;158
Agadir;Maison sur lot économique;MT;2013;1195;171
Agadir;Maison sur lot économique;MT;2014;1257;180
Agadir;Maison sur lot économique;MT;2015;1308;187
Agadir;Maison sur lot économique;MT;2016;1354;194
Agadir;Maison sur lot économique;MT;2017;1397;200
Agadir;Maison sur lot économique;MT;2018;1440;206
Agadir;Maison sur lot économique;MT;2019;1473;211
Agadir;Maison sur lot économique;PT;2001;586;100
Agadir;Maison sur lot économique;PT;2002;592;101
Agadir;Maison sur lot économique;PT;2003;560;96
Agadir;Maison sur lot économique;PT;2004;568;97
Agadir;Maison sur lot économique;PT;2005;542;93
Agadir;Maison sur lot économique;PT;2006;527;90
Agadir;Maison sur lot économique;PT;2007;585;100
Agadir;Maison sur lot économique;PT;2008;659;112
Agadir;Maison sur lot économique;PT;2009;694;118
Agadir;Maison sur lot économique;PT;2010;740;126
Agadir;Maison sur lot économique;PT;2011;793;135
Agadir;Maison sur lot économique;PT;2012;866;148
Agadir;Maison sur lot économique;PT;2013;875;149
Agadir;Maison sur lot économique;PT;2014;877;150
Agadir;Maison sur lot économique;PT;2015;885;151
Agadir;Maison sur lot économique;PT;2016;869;148
Agadir;Maison sur lot économique;PT;2017;868;148
Agadir;Maison sur lot économique;PT;2018;889;152
Agadir;Maison sur lot économique;PT;2019;871;149
Agadir;Total ville;MLE;2001;1139;100
Agadir;Total ville;MLE;2002;1210;106
Agadir;Total ville;MLE;2003;1221;107
Agadir;Total ville;MLE;2004;1250;109
Agadir;Total ville;MLE;2005;1276;109
Agadir;Total ville;MLE;2006;1327;113
Agadir;Total ville;MLE;2007;1385;118
Agadir;Total ville;MLE;2008;1443;123
Agadir;Total ville;MLE;2009;1485;129
Agadir;Total ville;MLE;2010;1545;135
Agadir;Total ville;MLE;2011;1603;143
Agadir;Total ville;MLE;2012;1664;149
Agadir;Total ville;MLE;2013;1732;157
Agadir;Total ville;MLE;2014;1782;163
Agadir;Total ville;MLE;2015;1689;166
Agadir;Total ville;MLE;2016;1714;169
Agadir;Total ville;MLE;2017;1745;173
Agadir;Total ville;MLE;2018;1790;178
Agadir;Total ville;MLE;2019;1807;180
Agadir;Villa;GT;2001;4984;100
Agadir;Villa;GT;2002;5304;106
Agadir;Villa;GT;2003;5150;103
Agadir;Villa;GT;2004;5123;103
Agadir;Villa;GT;2005;5578;112
Agadir;Villa;GT;2006;5813;117
Agadir;Villa;GT;2007;6386;128
Agadir;Villa;GT;2008;6467;130
Agadir;Villa;GT;2009;6163;124
Agadir;Villa;GT;2010;6233;125
Agadir;Villa;GT;2011;5871;118
Agadir;Villa;GT;2012;6334;127
Agadir;Villa;GT;2013;6318;127
Agadir;Villa;GT;2014;6071;122
Agadir;Villa;GT;2015;6041;121
Agadir;Villa;GT;2016;5903;118
Agadir;Villa;GT;2017;5763;116
Agadir;Villa;GT;2018;5842;117
Agadir;Villa;GT;2019;5560;112
Agadir;Villa;MT;2001;3099;100
Agadir;Villa;MT;2002;3253;105
Agadir;Villa;MT;2003;3254;105
Agadir;Villa;MT;2004;3582;116
Agadir;Villa;MT;2005;3916;126
Agadir;Villa;MT;2006;4317;139
Agadir;Villa;MT;2007;4646;150
Agadir;Villa;MT;2008;5073;164
Agadir;Villa;MT;2009;4848;156
Agadir;Villa;MT;2010;5033;162
Agadir;Villa;MT;2011;4627;149
Agadir;Villa;MT;2012;4631;149
Agadir;Villa;MT;2013;4615;149
Agadir;Villa;MT;2014;4501;145
Agadir;Villa;MT;2015;4516;146
Agadir;Villa;MT;2016;4468;144
Agadir;Villa;MT;2017;4373;141
Agadir;Villa;MT;2018;4433;143
Agadir;Villa;MT;2019;4205;136
Agadir;Villa;PT;2001;1954;100
Agadir;Villa;PT;2002;2176;111
Agadir;Villa;PT;2003;2423;124
Agadir;Villa;PT;2004;2617;134
Agadir;Villa;PT;2005;2773;142
Agadir;Villa;PT;2006;2729;140
Agadir;Villa;PT;2007;2930;150
Agadir;Villa;PT;2008;2915;149
Agadir;Villa;PT;2009;2918;149
Agadir;Villa;PT;2010;3046;156
Agadir;Villa;PT;2011;3240;166
Agadir;Villa;PT;2012;3250;166
Agadir;Villa;PT;2013;3452;177
Agadir;Villa;PT;2014;3554;182
Agadir;Villa;PT;2015;3730;191
Agadir;Villa;PT;2016;3874;198
Agadir;Villa;PT;2017;3984;204
Agadir;Villa;PT;2018;4073;208
Agadir;Villa;PT;2019;4160;213
Agadir;Villa;VIL;2001;3628;100
Agadir;Villa;VIL;2002;3860;107
Agadir;Villa;VIL;2003;3844;108
Agadir;Villa;VIL;2004;4010;114
Agadir;Villa;VIL;2005;4360;124
Agadir;Villa;VIL;2006;4616;131
Agadir;Villa;VIL;2007;5017;141
Agadir;Villa;VIL;2008;5231;148
Agadir;Villa;VIL;2009;5016;142
Agadir;Villa;VIL;2010;5146;147
Agadir;Villa;VIL;2011;4864;140
Agadir;Villa;VIL;2012;5048;144
Agadir;Villa;VIL;2013;5071;145
Agadir;Villa;VIL;2014;4943;143
Agadir;Villa;VIL;2015;4635;152
Agadir;Villa;VIL;2016;4617;153
Agadir;Villa;VIL;2017;4565;152
Agadir;Villa;VIL;2018;4636;154
Agadir;Villa;VIL;2019;4477;150
Biougra;Appartement standing;APS;2001;848;100
Biougra;Appartement standing;APS;2002;862;102
Biougra;Appartement standing;APS;2003;903;106
Biougra;Appartement standing;APS;2004;946;111
Biougra;Appartement standing;APS;2005;991;117
Biougra;Appartement standing;APS;2006;1045;123
Biougra;Appartement standing;APS;2007;1077;127
Biougra;Appartement standing;APS;2008;1124;133
Biougra;Appartement standing;APS;2009;1154;137
Biougra;Appartement standing;APS;2010;1189;141
Biougra;Appartement standing;APS;2011;1213;143
Biougra;Appartement standing;APS;2012;1248;147
Biougra;Appartement standing;APS;2013;1288;151
Biougra;Appartement standing;APS;2014;1326;156
Biougra;Appartement standing;APS;2015;1289;157
Biougra;Appartement standing;APS;2016;1344;164
Biougra;Appartement standing;APS;2017;1368;167
Biougra;Appartement standing;APS;2018;1385;169
Biougra;Appartement standing;APS;2019;1390;169
Biougra;Appartement standing;GT;2001;1313;100
Biougra;Appartement standing;GT;2002;1339;102
Biougra;Appartement standing;GT;2003;1420;108
Biougra;Appartement standing;GT;2004;1509;115
Biougra;Appartement standing;GT;2005;1534;117
Biougra;Appartement standing;GT;2006;1602;122
Biougra;Appartement standing;GT;2007;1647;125
Biougra;Appartement standing;GT;2008;1671;127
Biougra;Appartement standing;GT;2009;1730;132
Biougra;Appartement standing;GT;2010;1797;137
Biougra;Appartement standing;GT;2011;1852;141
Biougra;Appartement standing;GT;2012;1927;147
Biougra;Appartement standing;GT;2013;2010;153
Biougra;Appartement standing;GT;2014;2071;158
Biougra;Appartement standing;GT;2015;2113;161
Biougra;Appartement standing;GT;2016;2191;167
Biougra;Appartement standing;GT;2017;2231;170
Biougra;Appartement standing;GT;2018;2258;172
Biougra;Appartement standing;GT;2019;2277;173
Biougra;Appartement standing;MT;2001;780;100
Biougra;Appartement standing;MT;2002;793;102
Biougra;Appartement standing;MT;2003;824;106
Biougra;Appartement standing;MT;2004;858;110
Biougra;Appartement standing;MT;2005;911;117
Biougra;Appartement standing;MT;2006;965;124
Biougra;Appartement standing;MT;2007;995;127
Biougra;Appartement standing;MT;2008;1059;136
Biougra;Appartement standing;MT;2009;1087;139
Biougra;Appartement standing;MT;2010;1114;143
Biougra;Appartement standing;MT;2011;1155;148
Biougra;Appartement standing;MT;2012;1174;150
Biougra;Appartement standing;MT;2013;1215;156
Biougra;Appartement standing;MT;2014;1255;161
Biougra;Appartement standing;MT;2015;1277;164
Biougra;Appartement standing;MT;2016;1341;172
Biougra;Appartement standing;MT;2017;1374;176
Biougra;Appartement standing;MT;2018;1388;178
Biougra;Appartement standing;MT;2019;1404;180
Biougra;Appartement standing;PT;2001;632;100
Biougra;Appartement standing;PT;2002;641;101
Biougra;Appartement standing;PT;2003;673;106
Biougra;Appartement standing;PT;2004;701;111
Biougra;Appartement standing;PT;2005;743;118
Biougra;Appartement standing;PT;2006;785;124
Biougra;Appartement standing;PT;2007;813;129
Biougra;Appartement standing;PT;2008;828;131
Biougra;Appartement standing;PT;2009;841;133
Biougra;Appartement standing;PT;2010;868;137
Biougra;Appartement standing;PT;2011;816;129
Biougra;Appartement standing;PT;2012;861;136
Biougra;Appartement standing;PT;2013;860;136
Biougra;Appartement standing;PT;2014;872;138
Biougra;Appartement standing;PT;2015;905;143
Biougra;Appartement standing;PT;2016;930;147
Biougra;Appartement standing;PT;2017;931;147
Biougra;Appartement standing;PT;2018;947;150
Biougra;Appartement standing;PT;2019;923;146
Biougra;Appartement économique;APE;2001;497;100
Biougra;Appartement économique;APE;2002;508;102
Biougra;Appartement économique;APE;2003;534;107
Biougra;Appartement économique;APE;2004;558;112
Biougra;Appartement économique;APE;2005;594;120
Biougra;Appartement économique;APE;2006;622;126
Biougra;Appartement économique;APE;2007;640;130
Biougra;Appartement économique;APE;2008;670;136
Biougra;Appartement économique;APE;2009;703;142
Biougra;Appartement économique;APE;2010;761;153
Biougra;Appartement économique;APE;2011;829;166
Biougra;Appartement économique;APE;2012;838;167
Biougra;Appartement économique;APE;2013;892;177
Biougra;Appartement économique;APE;2014;945;186
Biougra;Appartement économique;APE;2015;910;187
Biougra;Appartement économique;APE;2016;945;193
Biougra;Appartement économique;APE;2017;984;200
Biougra;Appartement économique;APE;2018;1027;208
Biougra;Appartement économique;APE;2019;1064;214
Biougra;Appartement économique;GT;2001;593;100
Biougra;Appartement économique;GT;2002;610;103
Biougra;Appartement économique;GT;2003;642;108
Biougra;Appartement économique;GT;2004;660;111
Biougra;Appartement économique;GT;2005;703;118
Biougra;Appartement économique;GT;2006;735;124
Biougra;Appartement économique;GT;2007;758;128
Biougra;Appartement économique;GT;2008;806;136
Biougra;Appartement économique;GT;2009;861;145
Biougra;Appartement économique;GT;2010;969;163
Biougra;Appartement économique;GT;2011;1066;180
Biougra;Appartement économique;GT;2012;1071;181
Biougra;Appartement économique;GT;2013;1168;197
Biougra;Appartement économique;GT;2014;1262;213
Biougra;Appartement économique;GT;2015;1335;225
Biougra;Appartement économique;GT;2016;1407;237
Biougra;Appartement économique;GT;2017;1470;248
Biougra;Appartement économique;GT;2018;1544;260
Biougra;Appartement économique;GT;2019;1646;277
Biougra;Appartement économique;MT;2001;504;100
Biougra;Appartement économique;MT;2002;513;102
Biougra;Appartement économique;MT;2003;535;106
Biougra;Appartement économique;MT;2004;570;113
Biougra;Appartement économique;MT;2005;591;117
Biougra;Appartement économique;MT;2006;611;121
Biougra;Appartement économique;MT;2007;622;123
Biougra;Appartement économique;MT;2008;633;126
Biougra;Appartement économique;MT;2009;647;128
Biougra;Appartement économique;MT;2010;668;132
Biougra;Appartement économique;MT;2011;764;151
Biougra;Appartement économique;MT;2012;787;156
Biougra;Appartement économique;MT;2013;832;165
Biougra;Appartement économique;MT;2014;897;178
Biougra;Appartement économique;MT;2015;948;188
Biougra;Appartement économique;MT;2016;1006;200
Biougra;Appartement économique;MT;2017;1065;211
Biougra;Appartement économique;MT;2018;1121;222
Biougra;Appartement économique;MT;2019;1171;232
Biougra;Appartement économique;PT;2001;345;100
Biougra;Appartement économique;PT;2002;354;102
Biougra;Appartement économique;PT;2003;373;108
Biougra;Appartement économique;PT;2004;393;114
Biougra;Appartement économique;PT;2005;437;127
Biougra;Appartement économique;PT;2006;468;136
Biougra;Appartement économique;PT;2007;491;142
Biougra;Appartement économique;PT;2008;517;150
Biougra;Appartement économique;PT;2009;539;156
Biougra;Appartement économique;PT;2010;568;165
Biougra;Appartement économique;PT;2011;560;162
Biougra;Appartement économique;PT;2012;560;162
Biougra;Appartement économique;PT;2013;560;162
Biougra;Appartement économique;PT;2014;536;155
Biougra;Appartement économique;PT;2015;552;160
Biougra;Appartement économique;PT;2016;522;151
Biougra;Appartement économique;PT;2017;513;148
Biougra;Appartement économique;PT;2018;514;149
Biougra;Appartement économique;PT;2019;484;140
Biougra;Maison sur lot économique;GT;2001;330;100
Biougra;Maison sur lot économique;GT;2002;359;109
Biougra;Maison sur lot économique;GT;2003;400;121
Biougra;Maison sur lot économique;GT;2004;444;135
Biougra;Maison sur lot économique;GT;2005;493;149
Biougra;Maison sur lot économique;GT;2006;546;166
Biougra;Maison sur lot économique;GT;2007;588;178
Biougra;Maison sur lot économique;GT;2008;628;191
Biougra;Maison sur lot économique;GT;2009;692;210
Biougra;Maison sur lot économique;GT;2010;761;231
Biougra;Maison sur lot économique;GT;2011;774;235
Biougra;Maison sur lot économique;GT;2012;842;255
Biougra;Maison sur lot économique;GT;2013;890;270
Biougra;Maison sur lot économique;GT;2014;925;280
