Agglomération;Type d'habitat;Envergure;Année;Montants moyens des honoraires des agents immobiliers;Indices des montants moyens des honoraires des agents immobiliers
Al Hoceima;Appartement standing;APS;2001;792;100
Al Hoceima;Appartement standing;APS;2002;781;98
Al Hoceima;Appartement standing;APS;2003;798;101
Al Hoceima;Appartement standing;APS;2004;809;102
Al Hoceima;Appartement standing;APS;2005;784;99
Al Hoceima;Appartement standing;APS;2006;791;100
Al Hoceima;Appartement standing;APS;2007;829;105
Al Hoceima;Appartement standing;APS;2008;909;115
Al Hoceima;Appartement standing;APS;2009;896;113
Al Hoceima;Appartement standing;APS;2010;1014;128
Al Hoceima;Appartement standing;APS;2011;1106;139
Al Hoceima;Appartement standing;APS;2012;1141;144
Al Hoceima;Appartement standing;APS;2013;1191;150
Al Hoceima;Appartement standing;APS;2014;1257;158
Al Hoceima;Appartement standing;APS;2015;1274;160
Al Hoceima;Appartement standing;APS;2016;1368;172
Al Hoceima;Appartement standing;APS;2017;1373;173
Al Hoceima;Appartement standing;APS;2018;1420;178
Al Hoceima;Appartement standing;APS;2019;1442;181
Al Hoceima;Appartement standing;APS;2020;1407;177
Al Hoceima;Appartement standing;APS;2021;1412;177
Al Hoceima;Appartement standing;APS;2022;1442;181
Al Hoceima;Appartement standing;GT;2001;1067;100
Al Hoceima;Appartement standing;GT;2002;1120;105
Al Hoceima;Appartement standing;GT;2003;1176;110
Al Hoceima;Appartement standing;GT;2004;1202;113
Al Hoceima;Appartement standing;GT;2005;1254;117
Al Hoceima;Appartement standing;GT;2006;1273;119
Al Hoceima;Appartement standing;GT;2007;1308;123
Al Hoceima;Appartement standing;GT;2008;1380;129
Al Hoceima;Appartement standing;GT;2009;1322;124
Al Hoceima;Appartement standing;GT;2010;1441;135
Al Hoceima;Appartement standing;GT;2011;1453;136
Al Hoceima;Appartement standing;GT;2012;1438;135
Al Hoceima;Appartement standing;GT;2013;1465;137
Al Hoceima;Appartement standing;GT;2014;1567;147
Al Hoceima;Appartement standing;GT;2015;1554;146
Al Hoceima;Appartement standing;GT;2016;1600;150
Al Hoceima;Appartement standing;GT;2017;1587;149
Al Hoceima;Appartement standing;GT;2018;1595;149
Al Hoceima;Appartement standing;GT;2019;1571;147
Al Hoceima;Appartement standing;GT;2020;1592;149
Al Hoceima;Appartement standing;GT;2021;1637;153
Al Hoceima;Appartement standing;GT;2022;1694;159
Al Hoceima;Appartement standing;MT;2001;800;100
Al Hoceima;Appartement standing;MT;2002;790;99
Al Hoceima;Appartement standing;MT;2003;814;102
Al Hoceima;Appartement standing;MT;2004;826;103
Al Hoceima;Appartement standing;MT;2005;787;98
Al Hoceima;Appartement standing;MT;2006;793;99
Al Hoceima;Appartement standing;MT;2007;832;104
Al Hoceima;Appartement standing;MT;2008;916;115
Al Hoceima;Appartement standing;MT;2009;912;114
Al Hoceima;Appartement standing;MT;2010;1036;130
Al Hoceima;Appartement standing;MT;2011;1155;144
Al Hoceima;Appartement standing;MT;2012;1207;151
Al Hoceima;Appartement standing;MT;2013;1262;158
Al Hoceima;Appartement standing;MT;2014;1335;167
Al Hoceima;Appartement standing;MT;2015;1382;173
Al Hoceima;Appartement standing;MT;2016;1491;186
Al Hoceima;Appartement standing;MT;2017;1498;187
Al Hoceima;Appartement standing;MT;2018;1556;195
Al Hoceima;Appartement standing;MT;2019;1583;198
Al Hoceima;Appartement standing;MT;2020;1540;192
Al Hoceima;Appartement standing;MT;2021;1535;192
Al Hoceima;Appartement standing;MT;2022;1562;195
Al Hoceima;Appartement standing;PT;2001;750;100
Al Hoceima;Appartement standing;PT;2002;729;97
Al Hoceima;Appartement standing;PT;2003;720;96
Al Hoceima;Appartement standing;PT;2004;727;97
Al Hoceima;Appartement standing;PT;2005;750;100
Al Hoceima;Appartement standing;PT;2006;759;101
Al Hoceima;Appartement standing;PT;2007;792;106
Al Hoceima;Appartement standing;PT;2008;856;114
Al Hoceima;Appartement standing;PT;2009;816;109
Al Hoceima;Appartement standing;PT;2010;911;121
Al Hoceima;Appartement standing;PT;2011;908;121
Al Hoceima;Appartement standing;PT;2012;889;119
Al Hoceima;Appartement standing;PT;2013;921;123
Al Hoceima;Appartement standing;PT;2014;960;128
Al Hoceima;Appartement standing;PT;2015;986;131
Al Hoceima;Appartement standing;PT;2016;1050;140
Al Hoceima;Appartement standing;PT;2017;1052;140
Al Hoceima;Appartement standing;PT;2018;1077;144
Al Hoceima;Appartement standing;PT;2019;1089;145
Al Hoceima;Appartement standing;PT;2020;1070;143
Al Hoceima;Appartement standing;PT;2021;1094;146
Al Hoceima;Appartement standing;PT;2022;1126;150
Al Hoceima;Appartement économique;APE;2001;543;100
Al Hoceima;Appartement économique;APE;2002;558;104
Al Hoceima;Appartement économique;APE;2003;605;114
Al Hoceima;Appartement économique;APE;2004;634;121
Al Hoceima;Appartement économique;APE;2005;665;130
Al Hoceima;Appartement économique;APE;2006;666;133
Al Hoceima;Appartement économique;APE;2007;688;139
Al Hoceima;Appartement économique;APE;2008;696;141
Al Hoceima;Appartement économique;APE;2009;759;154
Al Hoceima;Appartement économique;APE;2010;838;171
Al Hoceima;Appartement économique;APE;2011;873;182
Al Hoceima;Appartement économique;APE;2012;926;194
Al Hoceima;Appartement économique;APE;2013;992;208
Al Hoceima;Appartement économique;APE;2014;1012;211
Al Hoceima;Appartement économique;APE;2015;1080;246
Al Hoceima;Appartement économique;APE;2016;1125;257
Al Hoceima;Appartement économique;APE;2017;1094;249
Al Hoceima;Appartement économique;APE;2018;1137;260
Al Hoceima;Appartement économique;APE;2019;1142;262
Al Hoceima;Appartement économique;APE;2020;1154;266
Al Hoceima;Appartement économique;APE;2021;1152;264
Al Hoceima;Appartement économique;APE;2022;1167;268
Al Hoceima;Appartement économique;GT;2001;800;100
Al Hoceima;Appartement économique;GT;2002;800;100
Al Hoceima;Appartement économique;GT;2003;840;105
Al Hoceima;Appartement économique;GT;2004;856;107
Al Hoceima;Appartement économique;GT;2005;828;104
Al Hoceima;Appartement économique;GT;2006;769;96
Al Hoceima;Appartement économique;GT;2007;750;94
Al Hoceima;Appartement économique;GT;2008;756;95
Al Hoceima;Appartement économique;GT;2009;796;99
Al Hoceima;Appartement économique;GT;2010;868;109
Al Hoceima;Appartement économique;GT;2011;830;104
Al Hoceima;Appartement économique;GT;2012;851;106
Al Hoceima;Appartement économique;GT;2013;893;112
Al Hoceima;Appartement économique;GT;2014;952;119
Al Hoceima;Appartement économique;GT;2015;972;121
Al Hoceima;Appartement économique;GT;2016;983;123
Al Hoceima;Appartement économique;GT;2017;973;122
Al Hoceima;Appartement économique;GT;2018;981;123
Al Hoceima;Appartement économique;GT;2019;970;121
Al Hoceima;Appartement économique;GT;2020;963;120
Al Hoceima;Appartement économique;GT;2021;999;125
Al Hoceima;Appartement économique;GT;2022;1014;127
Al Hoceima;Appartement économique;MT;2001;432;100
Al Hoceima;Appartement économique;MT;2002;455;105
Al Hoceima;Appartement économique;MT;2003;507;117
Al Hoceima;Appartement économique;MT;2004;544;126
Al Hoceima;Appartement économique;MT;2005;611;141
Al Hoceima;Appartement économique;MT;2006;644;149
Al Hoceima;Appartement économique;MT;2007;692;160
Al Hoceima;Appartement économique;MT;2008;699;162
Al Hoceima;Appartement économique;MT;2009;786;182
Al Hoceima;Appartement économique;MT;2010;870;201
Al Hoceima;Appartement économique;MT;2011;951;220
Al Hoceima;Appartement économique;MT;2012;1027;237
Al Hoceima;Appartement économique;MT;2013;1111;257
Al Hoceima;Appartement économique;MT;2014;1108;256
Al Hoceima;Appartement économique;MT;2015;1225;283
Al Hoceima;Appartement économique;MT;2016;1291;298
Al Hoceima;Appartement économique;MT;2017;1243;287
Al Hoceima;Appartement économique;MT;2018;1305;302
Al Hoceima;Appartement économique;MT;2019;1315;304
Al Hoceima;Appartement économique;MT;2020;1334;308
Al Hoceima;Appartement économique;MT;2021;1313;304
Al Hoceima;Appartement économique;MT;2022;1329;307
Al Hoceima;Appartement économique;PT;2001;229;100
Al Hoceima;Appartement économique;PT;2002;259;113
Al Hoceima;Appartement économique;PT;2003;294;128
Al Hoceima;Appartement économique;PT;2004;332;145
Al Hoceima;Appartement économique;PT;2005;374;163
Al Hoceima;Appartement économique;PT;2006;406;177
Al Hoceima;Appartement économique;PT;2007;434;190
Al Hoceima;Appartement économique;PT;2008;444;194
Al Hoceima;Appartement économique;PT;2009;460;201
Al Hoceima;Appartement économique;PT;2010;530;231
Al Hoceima;Appartement économique;PT;2011;574;251
Al Hoceima;Appartement économique;PT;2012;604;264
Al Hoceima;Appartement économique;PT;2013;652;285
Al Hoceima;Appartement économique;PT;2014;663;289
Al Hoceima;Appartement économique;PT;2015;712;311
Al Hoceima;Appartement économique;PT;2016;735;321
Al Hoceima;Appartement économique;PT;2017;730;319
Al Hoceima;Appartement économique;PT;2018;760;332
Al Hoceima;Appartement économique;PT;2019;772;337
Al Hoceima;Appartement économique;PT;2020;791;345
Al Hoceima;Appartement économique;PT;2021;797;348
Al Hoceima;Appartement économique;PT;2022;809;353
Al Hoceima;Maison sur lot économique;GT;2001;1000;100
Al Hoceima;Maison sur lot économique;GT;2002;1075;108
Al Hoceima;Maison sur lot économique;GT;2003;1230;123
Al Hoceima;Maison sur lot économique;GT;2004;1280;128
Al Hoceima;Maison sur lot économique;GT;2005;1421;142
Al Hoceima;Maison sur lot économique;GT;2006;1439;144
Al Hoceima;Maison sur lot économique;GT;2007;1578;158
Al Hoceima;Maison sur lot économique;GT;2008;1641;164
Al Hoceima;Maison sur lot économique;GT;2009;1739;174
Al Hoceima;Maison sur lot économique;GT;2010;1813;181
Al Hoceima;Maison sur lot économique;GT;2011;1844;184
Al Hoceima;Maison sur lot économique;GT;2012;1903;190
Al Hoceima;Maison sur lot économique;GT;2013;1967;197
Al Hoceima;Maison sur lot économique;GT;2014;2015;201
Al Hoceima;Maison sur lot économique;GT;2015;2059;206
Al Hoceima;Maison sur lot économique;GT;2016;2085;208
Al Hoceima;Maison sur lot économique;GT;2017;2056;206
Al Hoceima;Maison sur lot économique;GT;2018;2077;208
Al Hoceima;Maison sur lot économique;GT;2019;2054;205
Al Hoceima;Maison sur lot économique;GT;2020;1962;196
