Régions;Catégories;Année;typologie;nombre d’unités
10- Casablanca-Settat;Opérations à faible valeur immobilière;403;Lots;725
10- Casablanca-Settat;Opérations à faible valeur immobilière;403;Logements;0
10- Casablanca-Settat;Opérations à faible valeur immobilière;403;Unites de restructuration;1128
10- Casablanca-Settat;Opérations économiques et sociales ;2500;Lots;26082
10- Casablanca-Settat;Opérations économiques et sociales ;2500;Logements;3040
10- Casablanca-Settat;Opérations économiques et sociales ;2500;Unites de restructuration;31622
10- Casablanca-Settat;App, en Immeubles (moyen et haut standing….);498;Lots;4600
10- Casablanca-Settat;App, en Immeubles (moyen et haut standing….);498;Logements;0
10- Casablanca-Settat;App, en Immeubles (moyen et haut standing….);498;Unites de restructuration;5098
10- Casablanca-Settat;Villas;691;Lots;204
10- Casablanca-Settat;Villas;691;Logements;0
10- Casablanca-Settat;Villas;691;Unites de restructuration;895
10- Casablanca-Settat;Total;4092;Lots;31611
10- Casablanca-Settat;Total;4092;Logements;0
10- Casablanca-Settat;Total;4092;Unites de restructuration;35703
