Régions;Catégories;Année;typologie;nombre d’unités
11- Rabat-Salé-Kénitra;Opérations à faible valeur immobilière;1650;Lots;882
11- Rabat-Salé-Kénitra;Opérations à faible valeur immobilière;1650;Logements;0
11- Rabat-Salé-Kénitra;Opérations à faible valeur immobilière;1650;Unites de restructuration;2532
11- Rabat-Salé-Kénitra;Opérations économiques et sociales  ;1739;Lots;16064
11- Rabat-Salé-Kénitra;Opérations économiques et sociales  ;1739;Logements;8780
11- Rabat-Salé-Kénitra;Opérations économiques et sociales  ;1739;Unites de restructuration;26583
11- Rabat-Salé-Kénitra;App, en Immeubles (moyen et haut standing….);1100;Lots;2183
11- Rabat-Salé-Kénitra;App, en Immeubles (moyen et haut standing….);1100;Logements;0
11- Rabat-Salé-Kénitra;App, en Immeubles (moyen et haut standing….);1100;Unites de restructuration;3283
11- Rabat-Salé-Kénitra;Villas;284;Lots;111
11- Rabat-Salé-Kénitra;Villas;284;Logements;0
11- Rabat-Salé-Kénitra;Villas;284;Unites de restructuration;395
11- Rabat-Salé-Kénitra;Total;4773;Lots;19240
11- Rabat-Salé-Kénitra;Total;4773;Logements;0
11- Rabat-Salé-Kénitra;Total;4773;Unites de restructuration;24013
