Régions;Catégories;Année;typologie;nombre d’unités
12- Marrakech-Safi;Opérations à faible valeur immobilière;134;Lots;0
12- Marrakech-Safi;Opérations à faible valeur immobilière;134;Logements;0
12- Marrakech-Safi;Opérations à faible valeur immobilière;134;Unites de restructuration;134
12- Marrakech-Safi;Opérations économiques et sociales  ;1159;Lots;9700
12- Marrakech-Safi;Opérations économiques et sociales  ;1159;Logements;12301
12- Marrakech-Safi;Opérations économiques et sociales  ;1159;Unites de restructuration;23160
12- Marrakech-Safi;App, en Immeubles (moyen et haut standing….);553;Lots;1573
12- Marrakech-Safi;App, en Immeubles (moyen et haut standing….);553;Logements;0
12- Marrakech-Safi;App, en Immeubles (moyen et haut standing….);553;Unites de restructuration;2126
12- Marrakech-Safi;Villas;112;Lots;0
12- Marrakech-Safi;Villas;112;Logements;0
12- Marrakech-Safi;Villas;112;Unites de restructuration;112
12- Marrakech-Safi;Total;1958;Lots;11273
12- Marrakech-Safi;Total;1958;Logements;0
12- Marrakech-Safi;Total;1958;Unites de restructuration;13231
