Régions;Catégories;Année;typologie;nombre d’unités
1- Tanger-Tétouan-Al Hoceïma;Opérations à faible valeur immobilière;493;Lots;52
1- Tanger-Tétouan-Al Hoceïma;Opérations à faible valeur immobilière;493;Logements;0
1- Tanger-Tétouan-Al Hoceïma;Opérations à faible valeur immobilière;493;Unites de restructuration;545
1- Tanger-Tétouan-Al Hoceïma;Opérations économiques et sociales  ;0;Lots;6925
1- Tanger-Tétouan-Al Hoceïma;Opérations économiques et sociales  ;0;Logements;7950
1- Tanger-Tétouan-Al Hoceïma;Opérations économiques et sociales  ;0;Unites de restructuration;14875
1- Tanger-Tétouan-Al Hoceïma;App, en Immeubles (moyen et haut standing….);231;Lots;2109
1- Tanger-Tétouan-Al Hoceïma;App, en Immeubles (moyen et haut standing….);231;Logements;0
1- Tanger-Tétouan-Al Hoceïma;App, en Immeubles (moyen et haut standing….);231;Unites de restructuration;2340
1- Tanger-Tétouan-Al Hoceïma;Villas;0;Lots;92
1- Tanger-Tétouan-Al Hoceïma;Villas;0;Logements;0
1- Tanger-Tétouan-Al Hoceïma;Villas;0;Unites de restructuration;92
1- Tanger-Tétouan-Al Hoceïma;Total;724;Lots;9178
1- Tanger-Tétouan-Al Hoceïma;Total;724;Logements;0
1- Tanger-Tétouan-Al Hoceïma;Total;724;Unites de restructuration;9902
