Régions;Catégories;Année;typologie;nombre d’unités
2- Dakhla-Oued Ed Dahab;Opérations à faible valeur immobilière;0;Lots;0
2- Dakhla-Oued Ed Dahab;Opérations à faible valeur immobilière;0;Logements;0
2- Dakhla-Oued Ed Dahab;Opérations à faible valeur immobilière;0;Unites de restructuration;0
2- Dakhla-Oued Ed Dahab;Opérations économiques et sociales  ;0;Lots;315
2- Dakhla-Oued Ed Dahab;Opérations économiques et sociales  ;0;Logements;0
2- Dakhla-Oued Ed Dahab;Opérations économiques et sociales  ;0;Unites de restructuration;315
2- Dakhla-Oued Ed Dahab;App, en Immeubles (moyen et haut standing….);56;Lots;42
2- Dakhla-Oued Ed Dahab;App, en Immeubles (moyen et haut standing….);56;Logements;0
2- Dakhla-Oued Ed Dahab;App, en Immeubles (moyen et haut standing….);56;Unites de restructuration;98
2- Dakhla-Oued Ed Dahab;Villas;442;Lots;0
2- Dakhla-Oued Ed Dahab;Villas;442;Logements;0
2- Dakhla-Oued Ed Dahab;Villas;442;Unites de restructuration;442
2- Dakhla-Oued Ed Dahab;Total;498;Lots;357
2- Dakhla-Oued Ed Dahab;Total;498;Logements;0
2- Dakhla-Oued Ed Dahab;Total;498;Unites de restructuration;855
