Régions;Catégories;Année;typologie;nombre d’unités
4- Drâa-Tafilalet;Opérations  à faible valeur immobilière;0;Lots;0
4- Drâa-Tafilalet;Opérations  à faible valeur immobilière;0;Logements;0
4- Drâa-Tafilalet;Opérations  à faible valeur immobilière;0;Unites de restructuration;0
4- Drâa-Tafilalet;Opérations économiques et sociales ;2878;Lots;561
4- Drâa-Tafilalet;Opérations économiques et sociales ;2878;Logements;4800
4- Drâa-Tafilalet;Opérations économiques et sociales ;2878;Unites de restructuration;8239
4- Drâa-Tafilalet;App, en Immeubles (moyen et haut standing….);482;Lots;0
4- Drâa-Tafilalet;App, en Immeubles (moyen et haut standing….);482;Logements;0
4- Drâa-Tafilalet;App, en Immeubles (moyen et haut standing….);482;Unites de restructuration;482
4- Drâa-Tafilalet;Villas;128;Lots;0
4- Drâa-Tafilalet;Villas;128;Logements;0
4- Drâa-Tafilalet;Villas;128;Unites de restructuration;128
4- Drâa-Tafilalet;Total;3488;Lots;561
4- Drâa-Tafilalet;Total;3488;Logements;0
4- Drâa-Tafilalet;Total;3488;Unites de restructuration;4049
