Régions;Catégories;Année;typologie;nombre d’unités
5- Béni Mellal-Khénifra;Opérations à faible valeur immobilière;0;Lots;0
5- Béni Mellal-Khénifra;Opérations à faible valeur immobilière;0;Logements;0
5- Béni Mellal-Khénifra;Opérations à faible valeur immobilière;0;Unites de restructuration;0
5- Béni Mellal-Khénifra;Opérations économiques et sociales  à faible valeur immobilière;1772;Lots;6656
5- Béni Mellal-Khénifra;Opérations économiques et sociales  à faible valeur immobilière;1772;Logements;7170
5- Béni Mellal-Khénifra;Opérations économiques et sociales  à faible valeur immobilière;1772;Unites de restructuration;15598
5- Béni Mellal-Khénifra;App, en Immeubles (moyen et haut standing….);1041;Lots;242
5- Béni Mellal-Khénifra;App, en Immeubles (moyen et haut standing….);1041;Logements;0
5- Béni Mellal-Khénifra;App, en Immeubles (moyen et haut standing….);1041;Unites de restructuration;1283
5- Béni Mellal-Khénifra;Villas;138;Lots;0
5- Béni Mellal-Khénifra;Villas;138;Logements;0
5- Béni Mellal-Khénifra;Villas;138;Unites de restructuration;138
5- Béni Mellal-Khénifra;Total;2951;Lots;6898
5- Béni Mellal-Khénifra;Total;2951;Logements;0
5- Béni Mellal-Khénifra;Total;2951;Unites de restructuration;9849
