Régions;Catégories;Année;typologie;nombre d’unités
6- l'Oriental;Opérations à faible valeur immobilière;442;Lots;32
6- l'Oriental;Opérations à faible valeur immobilière;442;Logements;0
6- l'Oriental;Opérations à faible valeur immobilière;442;Unites de restructuration;474
6- l'Oriental;Opérations économiques et sociales  ;386;Lots;4894
6- l'Oriental;Opérations économiques et sociales  ;386;Logements;1114
6- l'Oriental;Opérations économiques et sociales  ;386;Unites de restructuration;6394
6- l'Oriental;App, en Immeubles (moyen et haut standing….);534;Lots;168
6- l'Oriental;App, en Immeubles (moyen et haut standing….);534;Logements;0
6- l'Oriental;App, en Immeubles (moyen et haut standing….);534;Unites de restructuration;702
6- l'Oriental;Villas;104;Lots;0
6- l'Oriental;Villas;104;Logements;0
6- l'Oriental;Villas;104;Unites de restructuration;104
6- l'Oriental;Total;1466;Lots;5094
6- l'Oriental;Total;1466;Logements;0
6- l'Oriental;Total;1466;Unites de restructuration;6560
