Régions;Catégories;Année;typologie;nombre d’unités
8- Fès-Meknès;Opérations à faible valeur immobilière;111;Lots;1284
8- Fès-Meknès;Opérations à faible valeur immobilière;111;Logements;0
8- Fès-Meknès;Opérations à faible valeur immobilière;111;Unites de restructuration;1395
8- Fès-Meknès;Opérations économiques et sociales  ;2710;Lots;19266
8- Fès-Meknès;Opérations économiques et sociales  ;2710;Logements;18365
8- Fès-Meknès;Opérations économiques et sociales  ;2710;Unites de restructuration;40341
8- Fès-Meknès;App, en Immeubles (moyen et haut standing….);1680;Lots;530
8- Fès-Meknès;App, en Immeubles (moyen et haut standing….);1680;Logements;0
8- Fès-Meknès;App, en Immeubles (moyen et haut standing….);1680;Unites de restructuration;2210
8- Fès-Meknès;Villas;61;Lots;5
8- Fès-Meknès;Villas;61;Logements;0
8- Fès-Meknès;Villas;61;Unites de restructuration;66
8- Fès-Meknès;Total;4562;Lots;21085
8- Fès-Meknès;Total;4562;Logements;0
8- Fès-Meknès;Total;4562;Unites de restructuration;25647
