Régions;Catégories;Année;typologie;nombre d’unités
9- Souss-Massa;Opérations à faible valeur immobilière;568;Lots;684
9- Souss-Massa;Opérations à faible valeur immobilière;568;Logements;0
9- Souss-Massa;Opérations à faible valeur immobilière;568;Unites de restructuration;1252
9- Souss-Massa;Opérations économiques et sociales;158;Lots;14730
9- Souss-Massa;Opérations économiques et sociales;158;Logements;11742
9- Souss-Massa;Opérations économiques et sociales;158;Unites de restructuration;26630
9- Souss-Massa;App, en Immeubles (moyen et haut standing….);1457;Lots;483
9- Souss-Massa;App, en Immeubles (moyen et haut standing….);1457;Logements;0
9- Souss-Massa;App, en Immeubles (moyen et haut standing….);1457;Unites de restructuration;1940
9- Souss-Massa;Villas;0;Lots;0
9- Souss-Massa;Villas;0;Logements;0
9- Souss-Massa;Villas;0;Unites de restructuration;0
9- Souss-Massa;Total;2183;Lots;15897
9- Souss-Massa;Total;2183;Logements;0
9- Souss-Massa;Total;2183;Unites de restructuration;18080
