Régions;Catégories;Année;typologie;nombre d’unités
10- Casablanca-Settat;Opérations à faible valeur immobilière;1800;Lots;0
10- Casablanca-Settat;Opérations à faible valeur immobilière;1800;Logements;0
10- Casablanca-Settat;Opérations à faible valeur immobilière;1800;Unites de restructuration;1800
10- Casablanca-Settat;Opérations économiques et sociales ;280;Lots;17300
10- Casablanca-Settat;Opérations économiques et sociales ;280;Logements;17715
10- Casablanca-Settat;Opérations économiques et sociales ;280;Unites de restructuration;35295
10- Casablanca-Settat;App, en Immeubles (moyen et haut standing….);1064;Lots;3095
10- Casablanca-Settat;App, en Immeubles (moyen et haut standing….);1064;Logements;0
10- Casablanca-Settat;App, en Immeubles (moyen et haut standing….);1064;Unites de restructuration;4159
10- Casablanca-Settat;Villas;552;Lots;80
10- Casablanca-Settat;Villas;552;Logements;0
10- Casablanca-Settat;Villas;552;Unites de restructuration;632
10- Casablanca-Settat;Total;3696;Lots;20475
10- Casablanca-Settat;Total;3696;Logements;0
10- Casablanca-Settat;Total;3696;Unites de restructuration;24171
