Régions;Catégories;Année;typologie;nombre d’unités
11- Rabat-Salé-Kénitra;Opérations à faible valeur immobilière;2643;Lots;47
11- Rabat-Salé-Kénitra;Opérations à faible valeur immobilière;2643;Logements;0
11- Rabat-Salé-Kénitra;Opérations à faible valeur immobilière;2643;Unites de restructuration;2690
11- Rabat-Salé-Kénitra;Opérations économiques et sociales  ;4225;Lots;27167
11- Rabat-Salé-Kénitra;Opérations économiques et sociales  ;4225;Logements;7923
11- Rabat-Salé-Kénitra;Opérations économiques et sociales  ;4225;Unites de restructuration;39315
11- Rabat-Salé-Kénitra;App, en Immeubles (moyen et haut standing….);97;Lots;3639
11- Rabat-Salé-Kénitra;App, en Immeubles (moyen et haut standing….);97;Logements;0
11- Rabat-Salé-Kénitra;App, en Immeubles (moyen et haut standing….);97;Unites de restructuration;3736
11- Rabat-Salé-Kénitra;Villas;100;Lots;134
11- Rabat-Salé-Kénitra;Villas;100;Logements;0
11- Rabat-Salé-Kénitra;Villas;100;Unites de restructuration;234
11- Rabat-Salé-Kénitra;Total;7065;Lots;30987
11- Rabat-Salé-Kénitra;Total;7065;Logements;0
11- Rabat-Salé-Kénitra;Total;7065;Unites de restructuration;38052
