Régions;Catégories;Année;typologie;nombre d’unités
12- Marrakech-Safi;Opérations à faible valeur immobilière;1199;Lots;334
12- Marrakech-Safi;Opérations à faible valeur immobilière;1199;Logements;0
12- Marrakech-Safi;Opérations à faible valeur immobilière;1199;Unites de restructuration;1533
12- Marrakech-Safi;Opérations économiques et sociales  ;828;Lots;8656
12- Marrakech-Safi;Opérations économiques et sociales  ;828;Logements;13410
12- Marrakech-Safi;Opérations économiques et sociales  ;828;Unites de restructuration;22894
12- Marrakech-Safi;App, en Immeubles (moyen et haut standing….);3121;Lots;1422
12- Marrakech-Safi;App, en Immeubles (moyen et haut standing….);3121;Logements;0
12- Marrakech-Safi;App, en Immeubles (moyen et haut standing….);3121;Unites de restructuration;4543
12- Marrakech-Safi;Villas;303;Lots;0
12- Marrakech-Safi;Villas;303;Logements;0
12- Marrakech-Safi;Villas;303;Unites de restructuration;303
12- Marrakech-Safi;Total;5451;Lots;10412
12- Marrakech-Safi;Total;5451;Logements;0
12- Marrakech-Safi;Total;5451;Unites de restructuration;15863
