Régions;Catégories;Année;typologie;nombre d’unités
1- Tanger-Tétouan-Al Hoceïma;Opérations à faible valeur immobilière;196;Lots;0
1- Tanger-Tétouan-Al Hoceïma;Opérations à faible valeur immobilière;196;Logements;0
1- Tanger-Tétouan-Al Hoceïma;Opérations à faible valeur immobilière;196;Unites de restructuration;196
1- Tanger-Tétouan-Al Hoceïma;Opérations économiques et sociales  ;53;Lots;12323
1- Tanger-Tétouan-Al Hoceïma;Opérations économiques et sociales  ;53;Logements;0
1- Tanger-Tétouan-Al Hoceïma;Opérations économiques et sociales  ;53;Unites de restructuration;12376
1- Tanger-Tétouan-Al Hoceïma;App, en Immeubles (moyen et haut standing….);51;Lots;3924
1- Tanger-Tétouan-Al Hoceïma;App, en Immeubles (moyen et haut standing….);51;Logements;0
1- Tanger-Tétouan-Al Hoceïma;App, en Immeubles (moyen et haut standing….);51;Unites de restructuration;3975
1- Tanger-Tétouan-Al Hoceïma;Villas;0;Lots;118
1- Tanger-Tétouan-Al Hoceïma;Villas;0;Logements;0
1- Tanger-Tétouan-Al Hoceïma;Villas;0;Unites de restructuration;118
1- Tanger-Tétouan-Al Hoceïma;Total;300;Lots;16365
1- Tanger-Tétouan-Al Hoceïma;Total;300;Logements;0
1- Tanger-Tétouan-Al Hoceïma;Total;300;Unites de restructuration;16665
