Régions;Catégories;Année;typologie;nombre d’unités
2- Dakhla-Oued Ed Dahab;Opérations à faible valeur immobilière;0;Lots;0
2- Dakhla-Oued Ed Dahab;Opérations à faible valeur immobilière;0;Logements;0
2- Dakhla-Oued Ed Dahab;Opérations à faible valeur immobilière;0;Unites de restructuration;0
2- Dakhla-Oued Ed Dahab;Opérations économiques et sociales  ;0;Lots;838
2- Dakhla-Oued Ed Dahab;Opérations économiques et sociales  ;0;Logements;0
2- Dakhla-Oued Ed Dahab;Opérations économiques et sociales  ;0;Unites de restructuration;838
2- Dakhla-Oued Ed Dahab;App, en Immeubles (moyen et haut standing….);0;Lots;24
2- Dakhla-Oued Ed Dahab;App, en Immeubles (moyen et haut standing….);0;Logements;0
2- Dakhla-Oued Ed Dahab;App, en Immeubles (moyen et haut standing….);0;Unites de restructuration;24
2- Dakhla-Oued Ed Dahab;Villas;0;Lots;0
2- Dakhla-Oued Ed Dahab;Villas;0;Logements;0
2- Dakhla-Oued Ed Dahab;Villas;0;Unites de restructuration;0
2- Dakhla-Oued Ed Dahab;Total;0;Lots;862
2- Dakhla-Oued Ed Dahab;Total;0;Logements;0
2- Dakhla-Oued Ed Dahab;Total;0;Unites de restructuration;862
