Régions;Catégories;Année;typologie;nombre d’unités
3- Guelmim-Oued Noun;Opérations à faible valeur immobilière;0;Lots;0
3- Guelmim-Oued Noun;Opérations à faible valeur immobilière;0;Logements;0
3- Guelmim-Oued Noun;Opérations à faible valeur immobilière;0;Unites de restructuration;0
3- Guelmim-Oued Noun;Opérations économiques et sociales  ;300;Lots;1539
3- Guelmim-Oued Noun;Opérations économiques et sociales  ;300;Logements;0
3- Guelmim-Oued Noun;Opérations économiques et sociales  ;300;Unites de restructuration;1839
3- Guelmim-Oued Noun;App, en Immeubles (moyen et haut standing….);100;Lots;0
3- Guelmim-Oued Noun;App, en Immeubles (moyen et haut standing….);100;Logements;0
3- Guelmim-Oued Noun;App, en Immeubles (moyen et haut standing….);100;Unites de restructuration;100
3- Guelmim-Oued Noun;Villas;0;Lots;0
3- Guelmim-Oued Noun;Villas;0;Logements;0
3- Guelmim-Oued Noun;Villas;0;Unites de restructuration;0
3- Guelmim-Oued Noun;Total;400;Lots;1539
3- Guelmim-Oued Noun;Total;400;Logements;0
3- Guelmim-Oued Noun;Total;400;Unites de restructuration;1939
