Régions;Catégories;Année;typologie;nombre d’unités
4- Drâa-Tafilalet;Opérations  à faible valeur immobilière;74;Lots;0
4- Drâa-Tafilalet;Opérations  à faible valeur immobilière;74;Logements;0
4- Drâa-Tafilalet;Opérations  à faible valeur immobilière;74;Unites de restructuration;74
4- Drâa-Tafilalet;Opérations économiques et sociales ;350;Lots;95
4- Drâa-Tafilalet;Opérations économiques et sociales ;350;Logements;3980
4- Drâa-Tafilalet;Opérations économiques et sociales ;350;Unites de restructuration;4425
4- Drâa-Tafilalet;App, en Immeubles (moyen et haut standing….);0;Lots;0
4- Drâa-Tafilalet;App, en Immeubles (moyen et haut standing….);0;Logements;0
4- Drâa-Tafilalet;App, en Immeubles (moyen et haut standing….);0;Unites de restructuration;0
4- Drâa-Tafilalet;Villas;0;Lots;0
4- Drâa-Tafilalet;Villas;0;Logements;0
4- Drâa-Tafilalet;Villas;0;Unites de restructuration;0
4- Drâa-Tafilalet;Total;424;Lots;95
4- Drâa-Tafilalet;Total;424;Logements;0
4- Drâa-Tafilalet;Total;424;Unites de restructuration;519
