Régions;Catégories;Année;typologie;nombre d’unités
5- Béni Mellal-Khénifra;Opérations à faible valeur immobilière;0;Lots;200
5- Béni Mellal-Khénifra;Opérations à faible valeur immobilière;0;Logements;0
5- Béni Mellal-Khénifra;Opérations à faible valeur immobilière;0;Unites de restructuration;200
5- Béni Mellal-Khénifra;Opérations économiques et sociales  à faible valeur immobilière;1823;Lots;8375
5- Béni Mellal-Khénifra;Opérations économiques et sociales  à faible valeur immobilière;1823;Logements;17195
5- Béni Mellal-Khénifra;Opérations économiques et sociales  à faible valeur immobilière;1823;Unites de restructuration;27393
5- Béni Mellal-Khénifra;App, en Immeubles (moyen et haut standing….);1236;Lots;342
5- Béni Mellal-Khénifra;App, en Immeubles (moyen et haut standing….);1236;Logements;0
5- Béni Mellal-Khénifra;App, en Immeubles (moyen et haut standing….);1236;Unites de restructuration;1578
5- Béni Mellal-Khénifra;Villas;158;Lots;0
5- Béni Mellal-Khénifra;Villas;158;Logements;0
5- Béni Mellal-Khénifra;Villas;158;Unites de restructuration;158
5- Béni Mellal-Khénifra;Total;3217;Lots;8917
5- Béni Mellal-Khénifra;Total;3217;Logements;0
5- Béni Mellal-Khénifra;Total;3217;Unites de restructuration;12134
