Régions;Catégories;Année;typologie;nombre d’unités
7- Laâyoune-Sakia El Hamra;Opérations à faible valeur immobilière;0;Lots;0
7- Laâyoune-Sakia El Hamra;Opérations à faible valeur immobilière;0;Logements;0
7- Laâyoune-Sakia El Hamra;Opérations à faible valeur immobilière;0;Unites de restructuration;0
7- Laâyoune-Sakia El Hamra;Opérations économiques et sociales  ;367;Lots;1142
7- Laâyoune-Sakia El Hamra;Opérations économiques et sociales  ;367;Logements;51118
7- Laâyoune-Sakia El Hamra;Opérations économiques et sociales  ;367;Unites de restructuration;52627
7- Laâyoune-Sakia El Hamra;App, en Immeubles (moyen et haut standing….);0;Lots;0
7- Laâyoune-Sakia El Hamra;App, en Immeubles (moyen et haut standing….);0;Logements;0
7- Laâyoune-Sakia El Hamra;App, en Immeubles (moyen et haut standing….);0;Unites de restructuration;0
7- Laâyoune-Sakia El Hamra;Villas;264;Lots;0
7- Laâyoune-Sakia El Hamra;Villas;264;Logements;0
7- Laâyoune-Sakia El Hamra;Villas;264;Unites de restructuration;264
7- Laâyoune-Sakia El Hamra;Total;631;Lots;1142
7- Laâyoune-Sakia El Hamra;Total;631;Logements;0
7- Laâyoune-Sakia El Hamra;Total;631;Unites de restructuration;1773
