Régions;Catégories;Année;typologie;nombre d’unités
8- Fès-Meknès;Opérations à faible valeur immobilière;1430;Lots;0
8- Fès-Meknès;Opérations à faible valeur immobilière;1430;Logements;0
8- Fès-Meknès;Opérations à faible valeur immobilière;1430;Unites de restructuration;1430
8- Fès-Meknès;Opérations économiques et sociales  ;3786;Lots;18042
8- Fès-Meknès;Opérations économiques et sociales  ;3786;Logements;16329
8- Fès-Meknès;Opérations économiques et sociales  ;3786;Unites de restructuration;38157
8- Fès-Meknès;App, en Immeubles (moyen et haut standing….);1309;Lots;840
8- Fès-Meknès;App, en Immeubles (moyen et haut standing….);1309;Logements;0
8- Fès-Meknès;App, en Immeubles (moyen et haut standing….);1309;Unites de restructuration;2149
8- Fès-Meknès;Villas;618;Lots;15
8- Fès-Meknès;Villas;618;Logements;0
8- Fès-Meknès;Villas;618;Unites de restructuration;633
8- Fès-Meknès;Total;7143;Lots;18897
8- Fès-Meknès;Total;7143;Logements;0
8- Fès-Meknès;Total;7143;Unites de restructuration;26040
