Régions;Catégories;Année;typologie;nombre d’unités
9- Souss-Massa;Opérations à faible valeur immobilière;170;Lots;0
9- Souss-Massa;Opérations à faible valeur immobilière;170;Logements;0
9- Souss-Massa;Opérations à faible valeur immobilière;170;Unites de restructuration;170
9- Souss-Massa;Opérations économiques et sociales;968;Lots;15789
9- Souss-Massa;Opérations économiques et sociales;968;Logements;16676
9- Souss-Massa;Opérations économiques et sociales;968;Unites de restructuration;33433
9- Souss-Massa;App, en Immeubles (moyen et haut standing….);458;Lots;2159
9- Souss-Massa;App, en Immeubles (moyen et haut standing….);458;Logements;0
9- Souss-Massa;App, en Immeubles (moyen et haut standing….);458;Unites de restructuration;2617
9- Souss-Massa;Villas;0;Lots;0
9- Souss-Massa;Villas;0;Logements;0
9- Souss-Massa;Villas;0;Unites de restructuration;0
9- Souss-Massa;Total;1596;Lots;17948
9- Souss-Massa;Total;1596;Logements;0
9- Souss-Massa;Total;1596;Unites de restructuration;19544
