Ville;Corps;Activité;Produit;Année;Indice
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2005;100.0
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2006;102.8
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2007;106.0
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2008;107.7
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2009;104.1
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2010;106.2
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2011;107.8
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2012;110.5
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2013;109.7
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2014;110.2
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2015;110.5
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2016;112.4
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2017;111.6
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2018;115.7
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2019;117.5
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2020;115.2
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2021;120.1
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2022;127.5
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2005;100.0
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2006;102.3
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2007;104.8
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2008;107.2
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2009;106.2
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2010;108.5
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2011;111.4
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2012;116.0
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2013;117.1
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2014;119.0
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2015;121.3
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2016;122.5
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2017;122.7
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2018;127.5
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2019;133.2
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2020;130.7
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2021;137.5
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2022;145.2
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2005;100.0
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2006;101.7
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2007;104.1
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2008;105.9
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2009;105.6
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2010;107.2
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2011;107.7
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2012;108.4
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2013;107.9
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2014;109.7
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2015;109.3
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2016;110.5
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2017;110.6
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2018;119.8
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2019;118.8
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2020;116.6
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2021;122.7
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2022;126.4
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2005;100.0
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2006;100.9
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2007;101.3
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2008;102.1
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2009;101.3
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2010;104.2
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2011;106.4
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2012;107.6
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2013;110.0
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2014;112.5
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2015;116.0
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2016;117.1
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2017;116.9
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2018;127.6
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2019;127.6
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2020;127.6
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2021;132.9
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2022;139.5
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2005;100.0
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2006;100.6
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2007;102.5
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2008;104.9
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2009;103.2
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2010;104.0
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2011;106.1
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2012;108.7
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2013;110.6
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2014;111.0
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2015;111.1
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2016;113.1
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2017;111.5
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2018;111.5
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2019;119.5
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2020;118.5
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2021;126.4
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2022;135.6
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2005;100.0
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2006;100.1
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2007;100.4
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2008;100.5
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2009;100.1
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2010;100.7
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2011;100.8
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2012;100.5
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2013;100.4
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2014;100.4
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2015;100.6
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2016;101.0
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2017;101.3
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2018;101.3
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2019;105.9
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2020;102.5
MIDELT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2021;108.2
