Ville;Corps;Activité;Produit;Variété;Année;Montant;Indice
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2005;4.38;200.0
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2006;4.5;203.7
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2007;4.62;209.7
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2008;4.68;213.9
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2009;4.55;205.9
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2010;4.63;211.0
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2011;4.68;215.9
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2012;4.78;222.4
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2013;4.75;221.0
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2014;4.76;222.7
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2015;4.77;223.5
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2016;4.86;227.0
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2017;4.95;230.1
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2018;5.05;235.3
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2019;5.2;235.8
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2020;4.94;227.4
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2021;5.2;241.0
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2022;5.61;256.6
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2005;3.42;200.0
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2006;3.45;203.7
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2007;3.56;209.7
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2008;3.66;213.9
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2009;3.48;205.9
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2010;3.6;211.0
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2011;3.73;215.9
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2012;3.87;222.4
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2013;3.85;221.0
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2014;3.89;222.7
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2015;3.92;223.5
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2016;3.96;227.0
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2017;4.0;230.1
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2018;4.1;235.3
ZAGORA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2019;4.0;235.8
