Ville;Corps;Activité;Produit;Année;Indice
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2005;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2006;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2007;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2008;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2009;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2010;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2011;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2012;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2013;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2014;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2015;100.3
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2016;101.4
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2017;101.9
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2018;102.1
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2019;103.6
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2005;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2006;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2007;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2008;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2009;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2010;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2011;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2012;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2013;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2014;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2015;100.6
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2016;100.7
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2017;100.6
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2018;100.7
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2019;101.9
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2005;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2006;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2007;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2008;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2009;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2010;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2011;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2012;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2013;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2014;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2015;103.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2016;104.8
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2017;105.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2018;105.7
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2019;105.8
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2005;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2006;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2007;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2008;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2009;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2010;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2011;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2012;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2013;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2014;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2015;101.5
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2016;102.2
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2017;101.9
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2018;102.6
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2019;103.1
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2005;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2006;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2007;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2008;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2009;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2010;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2011;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2012;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2013;100.0
AINCHKEF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2014;100.0
