Ville;Corps;Activité;Produit;Année;Indice
AZROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2005;100.0
AZROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2006;104.0
AZROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2007;109.7
AZROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2008;111.0
AZROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2009;107.9
AZROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2010;111.4
AZROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2011;112.2
AZROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2012;117.0
AZROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2013;115.5
AZROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2014;116.1
AZROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2015;116.3
AZROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2016;118.0
AZROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2017;117.3
AZROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2018;118.1
AZROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2019;118.1
AZROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2005;100.0
AZROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2006;103.9
AZROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2007;119.3
AZROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2008;120.1
AZROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2009;119.5
AZROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2010;121.4
AZROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2011;125.2
