Ville;Corps;Activité;Produit;Année;Indice
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2005;100.0
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2006;103.8
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2007;108.8
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2008;108.2
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2009;105.8
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2010;109.3
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2011;110.8
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2012;117.1
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2013;115.0
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2014;115.8
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2015;115.9
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2016;117.2
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2017;116.9
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2018;117.6
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2019;115.0
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2005;100.0
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2006;104.0
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2007;116.5
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2008;115.0
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2009;115.1
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2010;115.4
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2011;118.8
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2012;129.3
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2013;129.4
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2014;131.7
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2015;135.1
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2016;136.3
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2017;137.0
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2018;138.7
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2019;137.8
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2005;100.0
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2006;103.7
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2007;108.6
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2008;99.9
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2009;98.4
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2010;98.4
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2011;98.1
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2012;100.2
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2013;99.3
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2014;101.4
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2015;103.2
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2016;105.1
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2017;104.8
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2018;105.8
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2019;105.5
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2005;100.0
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2006;103.5
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2007;111.0
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2008;109.3
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2009;111.1
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2010;116.1
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2011;119.2
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2012;131.0
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2013;125.7
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2014;130.0
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2015;133.7
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2016;135.6
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2017;136.4
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2018;137.8
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2019;139.4
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2005;100.0
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2006;107.2
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2007;109.0
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2008;117.6
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2009;125.4
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2010;125.5
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2011;128.5
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2012;127.1
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2013;133.7
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2014;131.7
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2015;132.7
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2016;135.7
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2017;134.9
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2018;136.6
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2019;135.7
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;BPE;2005;100.0
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;BPE;2006;100.8
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;BPE;2007;104.2
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;BPE;2008;100.8
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;BPE;2009;99.8
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;BPE;2010;99.4
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;BPE;2011;100.0
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;BPE;2012;97.1
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;BPE;2013;99.3
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;BPE;2014;96.3
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;BPE;2015;97.8
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;BPE;2016;98.4
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;BPE;2017;98.5
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;BPE;2018;100.1
ELHAJEB;Gros œuvre;Agglomérés et articles en ciment ou en PVC;BPE;2019;102.7
ELHAJEB;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2005;100.0
ELHAJEB;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2006;104.3
ELHAJEB;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2007;111.0
ELHAJEB;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2008;111.7
ELHAJEB;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2009;113.0
ELHAJEB;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2010;114.0
ELHAJEB;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2011;116.3
ELHAJEB;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2012;120.9
ELHAJEB;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2013;122.3
ELHAJEB;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2014;122.5
ELHAJEB;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2015;120.4
