Ville;Corps;Activité;Produit;Année;Indice
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2005;100.0
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2006;103.2
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2007;106.0
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2008;103.1
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2009;101.7
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2010;105.3
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2011;107.9
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2012;117.4
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2013;114.1
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2014;115.2
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2015;115.1
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2016;115.8
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2017;115.4
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2018;116.4
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2019;117.3
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2005;100.0
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2006;104.2
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2007;111.3
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2008;105.5
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2009;107.0
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2010;104.3
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2011;107.0
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2012;119.0
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2013;116.5
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2014;117.1
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2015;118.6
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2016;120.3
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2017;122.5
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2018;124.5
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2019;124.9
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2005;100.0
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2006;102.6
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2007;106.3
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2008;92.4
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2009;91.9
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2010;91.5
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2011;91.5
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2012;94.4
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2013;93.3
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2014;95.6
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2015;98.8
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2016;100.2
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2017;99.4
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2018;100.2
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2019;102.9
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2005;100.0
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2006;104.6
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2007;113.7
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2008;117.5
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2009;121.6
SEFROU;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2010;125.9
