Ville;Corps;Activité;Produit;Année;Indice
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2005;100.0
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2006;102.9
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2007;107.0
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2008;104.4
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2009;102.7
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2010;106.7
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2011;109.3
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2012;117.6
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2013;115.2
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2014;116.3
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2015;116.5
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2016;116.2
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2017;116.5
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2018;117.1
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2019;114.9
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2005;100.0
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2006;104.0
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2007;110.3
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2008;105.3
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2009;106.5
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2010;105.3
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2011;107.9
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2012;118.5
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2013;116.5
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2014;117.1
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2015;118.3
TAOUNATE;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2016;119.5
