Ville;Corps;Activité;Produit;Année;Indice
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2005;100.0
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2006;102.3
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2007;106.6
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2008;104.9
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2009;104.7
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2010;109.5
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2011;112.3
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2012;118.2
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2013;117.6
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2014;118.6
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2015;119.2
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2016;117.3
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2017;118.1
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2018;118.1
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2019;117.1
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2005;100.0
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2006;103.6
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2007;108.5
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2008;104.8
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2009;105.6
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2010;107.2
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2011;109.7
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2012;117.4
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2013;116.6
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2014;117.0
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2015;117.8
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2016;119.0
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2017;121.5
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2018;122.8
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2019;119.3
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2005;100.0
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2006;102.1
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2007;102.5
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2008;98.8
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2009;94.6
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2010;97.3
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2011;99.1
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2012;101.7
TAZA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2013;103.5
