Ville;Corps;Activité;Produit;Année;Indice
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2005;100.0
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2006;103.0
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2007;106.0
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2008;102.9
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2009;105.4
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2010;109.0
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2011;111.1
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2012;111.7
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2013;113.9
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2014;115.7
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2015;116.4
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2016;117.2
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2017;117.8
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2018;119.8
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2019;119.0
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2020;115.8
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2021;118.9
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2022;126.3
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2005;100.0
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2006;103.7
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2007;105.3
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2008;101.8
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2009;103.4
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2010;103.3
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2011;106.2
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2012;108.5
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2013;110.1
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2014;111.0
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2015;110.1
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2016;112.7
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2017;112.5
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2018;113.2
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2019;112.7
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2020;108.7
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2021;111.8
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2022;117.3
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2005;100.0
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2006;102.2
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2007;105.1
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2008;105.0
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2009;108.0
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2010;110.3
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2011;111.3
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2012;109.5
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2013;109.6
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2014;111.2
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2015;111.8
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2016;113.3
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2017;115.4
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2018;115.4
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2019;115.9
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2020;105.8
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2021;108.5
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2022;112.1
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2005;100.0
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2006;103.9
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2007;105.8
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2008;106.9
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2009;105.9
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2010;110.0
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2011;110.4
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2012;111.1
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2013;109.9
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2014;111.0
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2015;109.9
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2016;108.8
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2017;106.6
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2018;107.7
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2019;108.2
GUELMIM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2020;101.1
