Ville;Corps;Activité;Produit;Année;Indice
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2005;100.0
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2006;105.8
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2007;109.3
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2008;101.8
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2009;102.3
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2010;113.4
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2011;113.9
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2012;114.0
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2013;115.2
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2014;116.2
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2015;116.2
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2016;116.2
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2017;118.3
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2018;119.5
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2019;122.8
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2020;119.0
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2021;121.5
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2022;134.0
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2005;100.0
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2006;101.7
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2007;108.4
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2008;97.3
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2009;97.4
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2010;101.6
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2011;104.8
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2012;103.7
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2013;105.9
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2014;106.0
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2015;106.2
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2016;107.5
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2017;108.7
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2018;110.7
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2019;113.2
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2020;111.1
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2021;115.7
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2022;125.5
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2005;100.0
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2006;104.4
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2007;108.4
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2008;104.8
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2009;104.9
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2010;106.8
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2011;109.2
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2012;110.3
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2013;112.3
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2014;113.0
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2015;113.6
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2016;114.3
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2017;114.8
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2018;116.6
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2019;117.4
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2020;116.4
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2021;120.7
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2022;127.0
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2005;100.0
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2006;104.5
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2007;106.1
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2008;107.9
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2009;107.2
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2010;106.8
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2011;109.5
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2012;107.6
BOUJDOUR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2013;110.1
