Ville;Corps;Activité;Produit;Année;Indice
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2005;100.0
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2006;105.8
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2007;109.2
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2008;101.7
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2009;102.2
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2010;111.5
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2011;115.9
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2012;114.2
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2013;115.5
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2014;117.3
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2015;118.3
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2016;119.3
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2017;120.8
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2018;120.9
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2019;123.3
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2020;121.7
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2021;126.4
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2022;134.6
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2005;100.0
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2006;101.7
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2007;108.4
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2008;97.3
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2009;97.4
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2010;104.0
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2011;106.5
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2012;105.6
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2013;107.1
TARFAYA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2014;107.8
