Ville;Corps;Activité;Produit;Année;Indice
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2005;100.0
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2006;105.6
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2007;109.5
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2008;102.2
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2009;101.3
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2010;103.4
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2011;105.2
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2012;106.7
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2013;108.9
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2014;110.7
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2015;112.0
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2016;115.2
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2017;118.7
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2018;121.1
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2019;123.5
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2020;120.8
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2021;129.1
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2022;143.5
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2005;100.0
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2006;105.7
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2007;107.0
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2008;102.5
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2009;104.4
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2010;105.9
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2011;110.0
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2012;111.6
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2013;113.9
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2014;116.4
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2015;119.6
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2016;122.4
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2017;125.4
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2018;126.4
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2019;127.9
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2020;126.8
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2021;132.4
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2022;143.7
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2005;100.0
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2006;103.5
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2007;103.8
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2008;102.7
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2009;106.8
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2010;109.6
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2011;111.9
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2012;111.9
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2013;114.5
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2014;115.8
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2015;117.9
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2016;119.9
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2017;121.6
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2018;122.3
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2019;122.9
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2020;121.8
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2021;127.3
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2022;138.2
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2005;100.0
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2006;103.1
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2007;103.7
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2008;99.9
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2009;102.6
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2010;107.1
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2011;109.9
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2012;112.1
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2013;115.0
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2014;115.4
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2015;118.5
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2016;119.5
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2017;120.1
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2018;120.4
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2019;120.9
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2020;117.5
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2021;128.0
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2022;141.0
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2005;100.0
ALHAOUZ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2006;104.6
