Ville;Corps;Activité;Produit;Année;Indice
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2005;100.0
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2006;106.2
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2007;110.5
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2008;102.0
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2009;99.9
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2010;101.7
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2011;103.2
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2012;104.3
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2013;106.7
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2014;108.7
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2015;110.0
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2016;113.2
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2017;117.1
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2018;118.9
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2019;121.1
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2020;118.1
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2021;128.7
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2022;143.7
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2005;100.0
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2006;106.7
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2007;108.0
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2008;103.1
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2009;104.6
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2010;105.6
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2011;110.1
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2012;111.3
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2013;113.8
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2014;116.7
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2015;120.2
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2016;123.4
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2017;127.0
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2018;127.8
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2019;128.8
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2020;126.8
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2021;135.3
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2022;148.3
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2005;100.0
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2006;104.0
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2007;104.0
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2008;102.4
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2009;107.1
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2010;110.0
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2011;112.4
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2012;111.7
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2013;114.7
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2014;116.0
BENGUERIR;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2015;118.4
