Ville;Corps;Activité;Produit;Variété;Année;Montant;Indice
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2005;3.74;200.0
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2006;3.98;211.8
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2007;4.14;220.4
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2008;3.83;203.5
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2009;3.8;199.0
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2010;3.88;204.6
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2011;3.95;209.0
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2012;4.01;211.2
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2013;4.09;218.2
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2014;4.16;222.8
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2015;4.22;225.0
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2016;4.34;233.2
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2017;4.47;242.2
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2018;4.57;248.5
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2019;4.63;251.8
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2020;4.53;244.6
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2021;4.78;257.5
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2022;5.17;275.3
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2005;2.76;200.0
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2006;2.91;211.8
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2007;3.03;220.4
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2008;2.79;203.5
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2009;2.69;199.0
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2010;2.79;204.6
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2011;2.86;209.0
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2012;2.88;211.2
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2013;3.01;218.2
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2014;3.08;222.8
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2015;3.1;225.0
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2016;3.24;233.2
