Ville;Corps;Activité;Produit;Année;Indice
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2005;100.0
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2006;106.2
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2007;110.6
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2008;102.3
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2009;101.2
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2010;103.4
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2011;105.3
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2012;106.8
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2013;109.2
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2014;111.3
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2015;112.6
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2016;116.0
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2017;119.9
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2018;122.7
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2019;124.2
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2020;121.4
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2021;127.9
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2022;138.0
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2005;100.0
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2006;106.8
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2007;108.0
YOUSSOUFIA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2008;103.5
