Ville;Corps;Activité;Produit;Année;Indice
GUERCIF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2005;100.0
GUERCIF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2006;101.7
GUERCIF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2007;109.0
GUERCIF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2008;107.6
GUERCIF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2009;107.8
GUERCIF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2010;114.0
GUERCIF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2011;116.9
GUERCIF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2012;119.1
GUERCIF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2013;121.2
GUERCIF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2014;122.1
GUERCIF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2015;123.4
GUERCIF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2016;119.3
GUERCIF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2017;120.2
GUERCIF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2018;119.7
GUERCIF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2019;121.4
GUERCIF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2020;119.7
GUERCIF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2021;122.2
GUERCIF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2022;128.9
GUERCIF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2005;100.0
GUERCIF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2006;102.7
GUERCIF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2007;106.0
GUERCIF;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2008;104.2
