Ville;Corps;Activité;Produit;Variété;Année;Montant;Indice
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2005;4.3;200.0
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2006;4.3;216.7
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2007;4.6;233.7
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2008;4.65;211.4
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2009;4.65;212.9
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2010;4.91;226.3
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2011;5.04;231.1
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2012;5.13;236.3
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2013;5.23;238.4
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2014;5.27;239.4
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2015;5.32;243.8
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2016;5.17;232.3
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2017;5.22;233.6
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2018;5.2;236.3
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2019;5.25;238.6
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2020;4.97;222.1
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2021;5.2;231.9
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2022;5.77;256.1
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2005;3.03;200.0
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2006;3.54;216.7
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2007;3.84;233.7
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2008;3.13;211.4
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2009;3.18;212.9
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2010;3.4;226.3
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2011;3.46;231.1
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2012;3.55;236.3
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2013;3.54;238.4
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2014;3.54;239.4
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2015;3.64;243.8
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2016;3.4;232.3
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2017;3.4;233.6
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2018;3.5;236.3
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2019;3.53;238.6
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2020;3.23;222.1
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2021;3.37;231.9
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2022;3.7;256.1
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;12-16/20/52  (u);2005;3.42;200.0
JERADA;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;12-16/20/52  (u);2006;3.42;209.1
