Ville;Corps;Activité;Produit;Variété;Année;Indice
RABAT;Gros œuvre;Acier;Acier doux;Acier doux;2005;100.0
RABAT;Gros œuvre;Acier;Acier doux;Acier doux;2006;104.8
RABAT;Gros œuvre;Acier;Acier doux;Acier doux;2007;109.0
RABAT;Gros œuvre;Acier;Acier doux;Acier doux;2008;104.5
RABAT;Gros œuvre;Acier;Acier doux;Acier doux;2009;111.4
RABAT;Gros œuvre;Acier;Acier doux;Acier doux;2010;121.1
RABAT;Gros œuvre;Acier;Acier doux;Acier doux;2011;106.8
RABAT;Gros œuvre;Acier;Acier doux;Acier doux;2012;108.8
RABAT;Gros œuvre;Acier;Acier doux;Acier doux;2013;110.7
RABAT;Gros œuvre;Acier;Acier doux;Acier doux;2014;102.0
RABAT;Gros œuvre;Acier;Acier doux;Acier doux;2015;102.0
RABAT;Gros œuvre;Acier;Acier doux;Acier doux;2016;108.0
RABAT;Gros œuvre;Acier;Acier doux;Acier doux;2017;108.3
RABAT;Gros œuvre;Acier;Acier doux;Acier doux;2018;109.0
RABAT;Gros œuvre;Acier;Acier doux;Acier doux;2019;109.0
RABAT;Gros œuvre;Acier;Acier doux;Acier doux;2020;103.1
RABAT;Gros œuvre;Acier;Acier doux;Acier doux;2021;115.3
RABAT;Gros œuvre;Acier;Acier doux;Acier doux;2022;128.9
RABAT;Gros œuvre;Activité Acier;Acier doux;Acier doux;2005;100.0
RABAT;Gros œuvre;Activité Acier;Acier doux;Acier doux;2006;101.1
RABAT;Gros œuvre;Activité Acier;Acier doux;Acier doux;2007;105.2
RABAT;Gros œuvre;Activité Acier;Acier doux;Acier doux;2008;105.2
RABAT;Gros œuvre;Activité Acier;Acier doux;Acier doux;2009;109.6
RABAT;Gros œuvre;Activité Acier;Acier doux;Acier doux;2010;113.0
RABAT;Gros œuvre;Activité Acier;Acier doux;Acier doux;2011;105.5
RABAT;Gros œuvre;Activité Acier;Acier doux;Acier doux;2012;107.1
RABAT;Gros œuvre;Activité Acier;Acier doux;Acier doux;2013;108.1
RABAT;Gros œuvre;Activité Acier;Acier doux;Acier doux;2014;101.0
RABAT;Gros œuvre;Activité Acier;Acier doux;Acier doux;2015;101.5
RABAT;Gros œuvre;Activité Acier;Acier doux;Acier doux;2016;106.6
RABAT;Gros œuvre;Activité Acier;Acier doux;Acier doux;2017;106.7
RABAT;Gros œuvre;Activité Acier;Acier doux;Acier doux;2018;106.9
RABAT;Gros œuvre;Activité Acier;Acier doux;Acier doux;2019;107.2
RABAT;Gros œuvre;Activité Acier;Acier doux;Acier doux;2020;106.7
RABAT;Gros œuvre;Activité Acier;Acier doux;Acier doux;2021;117.1
RABAT;Gros œuvre;Activité Acier;Acier doux;Acier doux;2022;127.6
RABAT;Corps de métier Gros œuvre;Activité Acier;Acier doux;Acier doux;2005;100.0
RABAT;Corps de métier Gros œuvre;Activité Acier;Acier doux;Acier doux;2006;101.2
RABAT;Corps de métier Gros œuvre;Activité Acier;Acier doux;Acier doux;2007;105.3
RABAT;Corps de métier Gros œuvre;Activité Acier;Acier doux;Acier doux;2008;105.2
RABAT;Corps de métier Gros œuvre;Activité Acier;Acier doux;Acier doux;2009;107.7
RABAT;Corps de métier Gros œuvre;Activité Acier;Acier doux;Acier doux;2010;110.8
RABAT;Corps de métier Gros œuvre;Activité Acier;Acier doux;Acier doux;2011;107.6
RABAT;Corps de métier Gros œuvre;Activité Acier;Acier doux;Acier doux;2012;108.8
RABAT;Corps de métier Gros œuvre;Activité Acier;Acier doux;Acier doux;2013;109.6
RABAT;Corps de métier Gros œuvre;Activité Acier;Acier doux;Acier doux;2014;110.3
RABAT;Corps de métier Gros œuvre;Activité Acier;Acier doux;Acier doux;2015;111.3
