Ville;Corps;Activité;Produit;Année;Indice
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2005;100.0
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2006;102.8
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2007;103.9
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2008;103.0
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2009;102.7
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2010;103.5
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2011;102.9
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2012;105.4
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2013;106.7
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2014;111.0
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2015;112.8
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2016;112.8
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2017;113.0
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2018;115.1
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2019;116.9
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2020;109.2
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2021;115.1
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2022;124.2
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2005;100.0
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2006;102.5
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2007;103.9
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2008;100.2
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2009;103.3
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2010;104.2
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2011;103.6
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2012;106.0
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2013;107.2
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2014;111.0
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2015;112.9
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2016;112.8
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2017;112.9
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2018;114.7
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2019;116.8
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2020;109.0
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2021;115.3
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2022;123.9
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2005;100.0
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2006;99.9
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2007;102.6
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2008;101.2
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2009;102.4
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2010;104.6
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2011;109.6
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2012;110.5
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2013;112.0
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2014;115.0
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2015;122.2
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2016;122.0
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2017;122.4
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2018;122.9
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2019;122.9
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2020;120.3
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2021;128.2
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2022;139.2
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2005;100.0
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2006;100.0
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2007;100.1
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2008;96.4
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2009;98.5
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2010;100.3
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2011;103.4
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2012;104.6
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2013;104.9
RSK;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2014;109.0
