Ville;Corps;Activité;Produit;Variété;Année;Montant;Indice
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2005;4.78;200.0
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2006;4.96;206.7
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2007;5.12;211.5
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2008;5.21;214.0
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2009;5.09;216.1
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2010;5.15;220.9
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2011;5.12;218.8
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2012;5.2;223.6
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2013;5.25;226.0
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2014;5.39;233.7
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2015;5.45;234.9
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2016;5.48;237.0
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2017;5.48;236.5
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2018;5.54;240.6
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2019;5.6;240.6
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2020;5.37;231.4
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2021;5.58;241.9
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2022;5.86;254.9
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2005;3.1;200.0
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2006;3.19;206.7
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2007;3.23;211.5
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2008;3.25;214.0
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2009;3.39;216.1
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2010;3.51;220.9
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2011;3.46;218.8
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2012;3.55;223.6
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2013;3.6;226.0
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2014;3.75;233.7
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2015;3.74;234.9
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2016;3.79;237.0
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2017;3.78;236.5
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2018;3.87;240.6
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2019;3.83;240.6
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2020;3.69;231.4
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2021;3.88;241.9
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2022;4.1;254.9
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;12-16/20/52  (u);2005;4.18;200.0
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;12-16/20/52  (u);2006;4.47;213.0
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;12-16/20/52  (u);2007;4.73;223.3
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;12-16/20/52  (u);2008;4.69;224.4
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;12-16/20/52  (u);2009;4.76;226.7
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;12-16/20/52  (u);2010;4.89;230.9
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;12-16/20/52  (u);2011;4.94;232.4
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;12-16/20/52  (u);2012;5.1;238.7
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;12-16/20/52  (u);2013;5.23;243.2
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;12-16/20/52  (u);2014;5.45;251.6
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;12-16/20/52  (u);2015;5.59;256.8
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;12-16/20/52  (u);2016;5.61;256.1
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;12-16/20/52  (u);2017;5.59;255.8
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;12-16/20/52  (u);2018;5.66;259.1
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;12-16/20/52  (u);2019;5.74;259.7
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;12-16/20/52  (u);2020;5.5;250.7
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;12-16/20/52  (u);2021;5.66;259.3
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;12-16/20/52  (u);2022;5.9;269.7
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;20/20/52 (u);2005;5.44;200.0
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;20/20/52 (u);2006;5.77;213.0
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;20/20/52 (u);2007;5.99;223.3
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;20/20/52 (u);2008;6.11;224.4
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;20/20/52 (u);2009;6.14;226.7
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;20/20/52 (u);2010;6.2;230.9
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;20/20/52 (u);2011;6.22;232.4
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;20/20/52 (u);2012;6.34;238.7
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;20/20/52 (u);2013;6.42;243.2
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;20/20/52 (u);2014;6.6;251.6
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;20/20/52 (u);2015;6.7;256.8
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;20/20/52 (u);2016;6.62;256.1
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;20/20/52 (u);2017;6.63;255.8
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;20/20/52 (u);2018;6.72;259.1
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;20/20/52 (u);2019;6.66;259.7
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;20/20/52 (u);2020;6.48;250.7
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;20/20/52 (u);2021;6.74;259.3
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;20/20/52 (u);2022;6.99;269.7
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 100 à 150 mm (ml);2005;21.53;200.0
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 100 à 150 mm (ml);2006;21.89;204.1
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 100 à 150 mm (ml);2007;22.56;212.1
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 100 à 150 mm (ml);2008;22.64;214.8
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 100 à 150 mm (ml);2009;22.18;216.3
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 100 à 150 mm (ml);2010;22.92;219.6
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 100 à 150 mm (ml);2011;24.01;224.8
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 100 à 150 mm (ml);2012;24.54;227.1
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 100 à 150 mm (ml);2013;25.0;229.8
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 100 à 150 mm (ml);2014;25.58;234.1
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 100 à 150 mm (ml);2015;26.16;241.8
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 100 à 150 mm (ml);2016;26.18;240.4
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 100 à 150 mm (ml);2017;26.38;241.0
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 100 à 150 mm (ml);2018;26.57;242.6
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 100 à 150 mm (ml);2019;26.65;242.8
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 100 à 150 mm (ml);2020;26.57;239.0
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 100 à 150 mm (ml);2021;28.07;252.1
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 100 à 150 mm (ml);2022;29.64;264.6
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 200 à 300 mm (ml);2005;34.49;200.0
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 200 à 300 mm (ml);2006;35.32;204.1
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 200 à 300 mm (ml);2007;37.02;212.1
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 200 à 300 mm (ml);2008;37.82;214.8
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 200 à 300 mm (ml);2009;39.07;216.3
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 200 à 300 mm (ml);2010;39.01;219.6
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 200 à 300 mm (ml);2011;39.09;224.8
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 200 à 300 mm (ml);2012;39.04;227.1
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;D 200 à 300 mm (ml);2013;39.22;229.8
