Ville;Corps;Activité;Produit;Année;Indice
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2005;100.0
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2006;103.8
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2007;107.0
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2008;108.6
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2009;107.0
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2010;108.4
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2011;107.6
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2012;109.5
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2013;110.5
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2014;113.7
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2015;115.0
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2016;115.7
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2017;115.6
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2018;117.0
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2019;117.9
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2020;113.3
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2021;117.8
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2022;123.8
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2005;100.0
SIDIKACEM;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2006;106.7
