Ville;Corps;Activité;Produit;Année;Indice
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2005;100.0
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2006;111.2
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2007;117.7
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2008;122.6
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2009;123.1
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2010;128.1
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2011;128.1
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2012;129.8
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2013;132.0
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2014;137.6
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2015;135.0
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2016;134.8
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2017;134.2
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2018;134.9
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2019;133.8
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2020;135.5
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2021;136.0
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2022;160.6
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2005;100.0
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2006;104.5
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2007;107.5
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2008;111.6
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2009;111.6
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2010;120.4
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2011;120.4
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2012;121.3
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2013;123.1
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2014;128.3
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2015;126.5
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2016;126.2
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2017;126.2
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2018;127.0
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2019;125.6
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2020;115.1
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2021;123.2
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2022;141.2
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2005;100.0
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2006;101.3
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2007;103.2
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2008;102.0
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2009;98.9
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2010;104.3
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2011;104.3
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2012;110.2
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2013;111.3
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2014;117.0
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2015;117.5
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2016;118.0
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2017;118.0
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2018;117.5
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2019;114.9
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2020;112.1
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2021;109.5
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2022;121.7
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2005;100.0
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2006;102.7
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2007;106.8
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2008;100.9
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2009;103.8
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2010;106.5
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2011;106.5
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2012;111.4
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2013;113.0
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2014;112.4
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2015;111.5
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2016;111.3
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2017;111.3
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2018;112.3
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2019;112.8
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2020;122.3
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2021;132.7
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2022;141.9
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2005;100.0
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2006;100.0
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2007;101.6
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2008;91.1
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2009;95.2
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2010;98.9
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2011;98.9
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2012;96.0
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2013;97.8
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2014;104.1
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2015;105.4
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2016;106.0
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2017;104.7
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2018;105.8
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2019;103.3
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2020;111.7
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2021;126.2
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2022;136.1
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2005;100.0
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2006;105.7
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2007;102.9
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2008;106.7
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2009;110.9
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2010;114.2
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2011;114.2
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2012;114.2
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2013;115.7
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2014;118.1
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2015;115.6
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2016;115.1
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2017;116.1
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2018;117.5
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2019;118.3
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2020;113.8
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2021;107.0
AL;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2022;114.1
AL;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2005;100.0
AL;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2006;105.0
AL;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2007;107.7
AL;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2008;108.0
AL;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2009;109.6
AL;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2010;115.4
AL;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2011;115.4
AL;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2012;115.6
AL;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2013;117.4
AL;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2014;122.6
