Ville;Corps;Activité;Produit;Variété;Année;Montant;Indice
MDIQ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2005;4.62;200.0
MDIQ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2006;4.75;206.3
MDIQ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2007;4.8;209.4
MDIQ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2008;4.93;209.7
MDIQ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2009;4.83;206.7
MDIQ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2010;4.96;211.0
MDIQ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2011;5.08;213.8
MDIQ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2012;5.02;214.6
MDIQ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2013;5.05;217.9
MDIQ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2014;5.06;218.2
MDIQ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2015;5.17;220.5
MDIQ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2016;5.32;224.3
MDIQ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2017;5.41;226.1
MDIQ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2018;5.51;230.1
MDIQ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2019;5.63;234.1
MDIQ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2020;5.26;230.8
MDIQ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2021;5.38;239.5
MDIQ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;15-20/20/40-50 (u);2022;6.33;275.0
MDIQ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2005;3.69;200.0
MDIQ;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;7,5-10 /20/40-50 (u);2006;3.82;206.3
