Régions;Catégories;Année;Lots;Logements;Unites de restructuration;Total des Unités
10- Casablanca-Settat;Opérations à faible valeur immobilière;2016;403;725;0;1128
10- Casablanca-Settat;Opérations à faible valeur immobilière;2017;2379;961;0;3340
10- Casablanca-Settat;Opérations à faible valeur immobilière;2018;1688;1314;0;3002
10- Casablanca-Settat;Opérations à faible valeur immobilière;2019;839;279;0;1118
10- Casablanca-Settat;Opérations à faible valeur immobilière;2020;248;0;0;248
10- Casablanca-Settat;Opérations à faible valeur immobilière;2021;692;0;0;692
10- Casablanca-Settat;Opérations à faible valeur immobilière;2022;1347;0;0;1347
10- Casablanca-Settat;Opérations à faible valeur immobilière;2023;622;0;0;622
10- Casablanca-Settat;Opérations économiques et sociales ;2016;2500;26082;3040;31622
10- Casablanca-Settat;Opérations économiques et sociales ;2017;4678;20903;10677;36258
10- Casablanca-Settat;Opérations économiques et sociales ;2018;2005;26927;18165;47097
10- Casablanca-Settat;Opérations économiques et sociales ;2019;1072;29015;19358;49445
10- Casablanca-Settat;Opérations économiques et sociales ;2020;1414;29063;10069;40546
10- Casablanca-Settat;Opérations économiques et sociales ;2021;467;25424;17768;43659
10- Casablanca-Settat;Opérations économiques et sociales ;2022;996;24031;9923;34950
10- Casablanca-Settat;Opérations économiques et sociales ;2023;142;40364;3509;44015
10- Casablanca-Settat;App, en Immeubles (moyen et haut standing….);2016;498;4600;0;5098
10- Casablanca-Settat;App, en Immeubles (moyen et haut standing….);2017;993;2139;0;3132
10- Casablanca-Settat;App, en Immeubles (moyen et haut standing….);2018;421;5393;0;5814
10- Casablanca-Settat;App, en Immeubles (moyen et haut standing….);2019;998;3759;0;4757
10- Casablanca-Settat;App, en Immeubles (moyen et haut standing….);2020;821;5213;0;6034
10- Casablanca-Settat;App, en Immeubles (moyen et haut standing….);2021;1927;10457;0;12384
10- Casablanca-Settat;App, en Immeubles (moyen et haut standing….);2022;565;5172;0;5737
10- Casablanca-Settat;App, en Immeubles (moyen et haut standing….);2023;51;9760;0;9811
10- Casablanca-Settat;Villas;2016;691;204;0;895
10- Casablanca-Settat;Villas;2017;690;203;0;893
10- Casablanca-Settat;Villas;2018;1081;370;0;1451
10- Casablanca-Settat;Villas;2019;496;182;0;678
10- Casablanca-Settat;Villas;2020;673;169;0;842
10- Casablanca-Settat;Villas;2021;391;254;0;645
10- Casablanca-Settat;Villas;2022;108;192;0;300
10- Casablanca-Settat;Villas;2023;47;206;0;253
10- Casablanca-Settat;Total;2016;4092;31611;0;35703
10- Casablanca-Settat;Total;2017;8740;24206;0;32946
10- Casablanca-Settat;Total;2018;5195;34004;0;39199
10- Casablanca-Settat;Total;2019;3405;33235;0;36640
10- Casablanca-Settat;Total;2020;3156;34445;0;37601
10- Casablanca-Settat;Total;2021;3477;36135;17768;57380
10- Casablanca-Settat;Total;2022;3016;29395;9923;42334
10- Casablanca-Settat;Total;2023;862;50330;3509;54701
