Régions;Catégories;Année;Lots;Logements;Unites de restructuration;Total des Unités
11- Rabat-Salé-Kénitra;Opérations à faible valeur immobilière;2016;1650;882;0;2532
11- Rabat-Salé-Kénitra;Opérations à faible valeur immobilière;2017;924;0;0;924
11- Rabat-Salé-Kénitra;Opérations à faible valeur immobilière;2018;1045;251;0;1296
11- Rabat-Salé-Kénitra;Opérations à faible valeur immobilière;2019;1284;160;0;1444
11- Rabat-Salé-Kénitra;Opérations à faible valeur immobilière;2020;919;0;0;919
11- Rabat-Salé-Kénitra;Opérations à faible valeur immobilière;2021;2357;173;0;2530
11- Rabat-Salé-Kénitra;Opérations à faible valeur immobilière;2022;2299;826;0;3125
11- Rabat-Salé-Kénitra;Opérations à faible valeur immobilière;2023;1605;1357;0;2962
11- Rabat-Salé-Kénitra;Opérations économiques et sociales  ;2016;1739;16064;8780;26583
11- Rabat-Salé-Kénitra;Opérations économiques et sociales  ;2017;38;19440;4463;23941
11- Rabat-Salé-Kénitra;Opérations économiques et sociales  ;2018;733;20475;4054;25262
11- Rabat-Salé-Kénitra;Opérations économiques et sociales  ;2019;1537;17426;3199;22162
11- Rabat-Salé-Kénitra;Opérations économiques et sociales  ;2020;907;16308;6001;23216
11- Rabat-Salé-Kénitra;Opérations économiques et sociales  ;2021;369;16314;1250;17933
11- Rabat-Salé-Kénitra;Opérations économiques et sociales  ;2022;749;19498;80;20327
11- Rabat-Salé-Kénitra;Opérations économiques et sociales  ;2023;243;34520;2197;36960
11- Rabat-Salé-Kénitra;App, en Immeubles (moyen et haut standing….);2016;1100;2183;0;3283
11- Rabat-Salé-Kénitra;App, en Immeubles (moyen et haut standing….);2017;410;1215;0;1625
11- Rabat-Salé-Kénitra;App, en Immeubles (moyen et haut standing….);2018;289;4160;0;4449
11- Rabat-Salé-Kénitra;App, en Immeubles (moyen et haut standing….);2019;929;2899;0;3828
11- Rabat-Salé-Kénitra;App, en Immeubles (moyen et haut standing….);2020;1673;4915;0;6588
11- Rabat-Salé-Kénitra;App, en Immeubles (moyen et haut standing….);2021;63;2573;0;2636
11- Rabat-Salé-Kénitra;App, en Immeubles (moyen et haut standing….);2022;1107;3372;0;4479
11- Rabat-Salé-Kénitra;App, en Immeubles (moyen et haut standing….);2023;1085;3393;0;4478
11- Rabat-Salé-Kénitra;Villas;2016;284;111;0;395
11- Rabat-Salé-Kénitra;Villas;2017;0;55;0;55
11- Rabat-Salé-Kénitra;Villas;2018;60;94;0;154
11- Rabat-Salé-Kénitra;Villas;2019;165;191;0;356
11- Rabat-Salé-Kénitra;Villas;2020;451;139;0;590
11- Rabat-Salé-Kénitra;Villas;2021;51;352;0;403
11- Rabat-Salé-Kénitra;Villas;2022;74;866;0;940
11- Rabat-Salé-Kénitra;Villas;2023;44;653;0;697
11- Rabat-Salé-Kénitra;Total;2016;4773;19240;0;24013
11- Rabat-Salé-Kénitra;Total;2017;1372;20710;0;22082
11- Rabat-Salé-Kénitra;Total;2018;2127;24980;0;27107
11- Rabat-Salé-Kénitra;Total;2019;3915;20676;0;24591
11- Rabat-Salé-Kénitra;Total;2020;3950;21362;0;25312
11- Rabat-Salé-Kénitra;Total;2021;2840;19412;1250;23502
11- Rabat-Salé-Kénitra;Total;2022;4229;24562;80;28871
11- Rabat-Salé-Kénitra;Total;2023;2977;39923;2197;45097
