Régions;Catégories;Année;Lots;Logements;Unites de restructuration;Total des Unités
12- Marrakech-Safi;Opérations à faible valeur immobilière;2016;134;0;0;134
12- Marrakech-Safi;Opérations à faible valeur immobilière;2017;1272;346;0;1618
12- Marrakech-Safi;Opérations à faible valeur immobilière;2018;92;345;0;437
12- Marrakech-Safi;Opérations à faible valeur immobilière;2019;100;129;0;229
12- Marrakech-Safi;Opérations à faible valeur immobilière;2020;0;0;0;0
12- Marrakech-Safi;Opérations à faible valeur immobilière;2021;2371;0;0;2371
12- Marrakech-Safi;Opérations à faible valeur immobilière;2022;1281;0;0;1281
12- Marrakech-Safi;Opérations à faible valeur immobilière;2023;10;15;0;25
12- Marrakech-Safi;Opérations économiques et sociales  ;2016;1159;9700;12301;23160
12- Marrakech-Safi;Opérations économiques et sociales  ;2017;2536;6006;17466;26008
12- Marrakech-Safi;Opérations économiques et sociales  ;2018;1246;10098;18555;29899
12- Marrakech-Safi;Opérations économiques et sociales  ;2019;640;10420;11763;22823
12- Marrakech-Safi;Opérations économiques et sociales  ;2020;225;8402;5681;14308
12- Marrakech-Safi;Opérations économiques et sociales  ;2021;786;14144;13378;28308
12- Marrakech-Safi;Opérations économiques et sociales  ;2022;556;12043;14322;26921
12- Marrakech-Safi;Opérations économiques et sociales  ;2023;0;16347;1379;17726
12- Marrakech-Safi;App, en Immeubles (moyen et haut standing….);2016;553;1573;0;2126
12- Marrakech-Safi;App, en Immeubles (moyen et haut standing….);2017;689;1972;0;2661
12- Marrakech-Safi;App, en Immeubles (moyen et haut standing….);2018;1748;2465;0;4213
12- Marrakech-Safi;App, en Immeubles (moyen et haut standing….);2019;345;1130;0;1475
12- Marrakech-Safi;App, en Immeubles (moyen et haut standing….);2020;101;292;0;393
12- Marrakech-Safi;App, en Immeubles (moyen et haut standing….);2021;305;175;0;480
12- Marrakech-Safi;App, en Immeubles (moyen et haut standing….);2022;1451;75;0;1526
12- Marrakech-Safi;App, en Immeubles (moyen et haut standing….);2023;241;1055;0;1296
12- Marrakech-Safi;Villas;2016;112;0;0;112
12- Marrakech-Safi;Villas;2017;243;368;0;611
12- Marrakech-Safi;Villas;2018;107;277;0;384
12- Marrakech-Safi;Villas;2019;88;200;0;288
12- Marrakech-Safi;Villas;2020;38;33;0;71
12- Marrakech-Safi;Villas;2021;23;158;0;181
12- Marrakech-Safi;Villas;2022;25;60;0;85
12- Marrakech-Safi;Villas;2023;0;51;0;51
12- Marrakech-Safi;Total;2016;1958;11273;0;13231
12- Marrakech-Safi;Total;2017;4740;8692;0;13432
12- Marrakech-Safi;Total;2018;3193;13185;0;16378
12- Marrakech-Safi;Total;2019;1173;11879;0;13052
12- Marrakech-Safi;Total;2020;364;8727;0;9091
12- Marrakech-Safi;Total;2021;3485;14477;13378;31340
12- Marrakech-Safi;Total;2022;3313;12178;14322;29813
12- Marrakech-Safi;Total;2023;251;17468;1379;19098
