Régions;Catégories;Année;Lots;Logements;Unites de restructuration;Total des Unités
1- Tanger-Tétouan-Al Hoceïma;Opérations à faible valeur immobilière;2016;493;52;0;545
1- Tanger-Tétouan-Al Hoceïma;Opérations à faible valeur immobilière;2017;687;0;0;687
1- Tanger-Tétouan-Al Hoceïma;Opérations à faible valeur immobilière;2018;196;27;0;223
1- Tanger-Tétouan-Al Hoceïma;Opérations à faible valeur immobilière;2019;1215;0;0;1215
1- Tanger-Tétouan-Al Hoceïma;Opérations à faible valeur immobilière;2020;313;192;0;505
1- Tanger-Tétouan-Al Hoceïma;Opérations à faible valeur immobilière;2021;352;298;0;650
1- Tanger-Tétouan-Al Hoceïma;Opérations à faible valeur immobilière;2022;980;108;0;1088
1- Tanger-Tétouan-Al Hoceïma;Opérations à faible valeur immobilière;2023;309;0;0;309
1- Tanger-Tétouan-Al Hoceïma;Opérations économiques et sociales  ;2016;0;6925;7950;14875
1- Tanger-Tétouan-Al Hoceïma;Opérations économiques et sociales  ;2017;232;10918;8600;19750
1- Tanger-Tétouan-Al Hoceïma;Opérations économiques et sociales  ;2018;0;10189;327;10516
1- Tanger-Tétouan-Al Hoceïma;Opérations économiques et sociales  ;2019;0;15568;1785;17353
1- Tanger-Tétouan-Al Hoceïma;Opérations économiques et sociales  ;2020;516;8523;4298;13337
1- Tanger-Tétouan-Al Hoceïma;Opérations économiques et sociales  ;2021;61;6743;9819;16623
1- Tanger-Tétouan-Al Hoceïma;Opérations économiques et sociales  ;2022;21;6978;7642;14641
1- Tanger-Tétouan-Al Hoceïma;Opérations économiques et sociales  ;2023;0;10963;5018;15981
1- Tanger-Tétouan-Al Hoceïma;App, en Immeubles (moyen et haut standing….);2016;231;2109;0;2340
1- Tanger-Tétouan-Al Hoceïma;App, en Immeubles (moyen et haut standing….);2017;1280;2282;0;3562
1- Tanger-Tétouan-Al Hoceïma;App, en Immeubles (moyen et haut standing….);2018;372;1866;0;2238
1- Tanger-Tétouan-Al Hoceïma;App, en Immeubles (moyen et haut standing….);2019;821;2097;0;2918
1- Tanger-Tétouan-Al Hoceïma;App, en Immeubles (moyen et haut standing….);2020;63;1557;0;1620
1- Tanger-Tétouan-Al Hoceïma;App, en Immeubles (moyen et haut standing….);2021;19;272;0;291
1- Tanger-Tétouan-Al Hoceïma;App, en Immeubles (moyen et haut standing….);2022;394;581;0;975
1- Tanger-Tétouan-Al Hoceïma;App, en Immeubles (moyen et haut standing….);2023;176;4828;0;5004
1- Tanger-Tétouan-Al Hoceïma;Villas;2016;0;92;0;92
1- Tanger-Tétouan-Al Hoceïma;Villas;2017;177;60;0;237
1- Tanger-Tétouan-Al Hoceïma;Villas;2018;68;69;0;137
1- Tanger-Tétouan-Al Hoceïma;Villas;2019;24;164;0;188
1- Tanger-Tétouan-Al Hoceïma;Villas;2020;0;54;0;54
1- Tanger-Tétouan-Al Hoceïma;Villas;2021;113;33;0;146
1- Tanger-Tétouan-Al Hoceïma;Villas;2022;49;188;0;237
1- Tanger-Tétouan-Al Hoceïma;Villas;2023;14;92;0;106
1- Tanger-Tétouan-Al Hoceïma;Total;2016;724;9178;0;9902
1- Tanger-Tétouan-Al Hoceïma;Total;2017;2376;13260;0;15636
1- Tanger-Tétouan-Al Hoceïma;Total;2018;636;12151;0;12787
1- Tanger-Tétouan-Al Hoceïma;Total;2019;2060;17829;0;19889
1- Tanger-Tétouan-Al Hoceïma;Total;2020;892;10326;0;11218
1- Tanger-Tétouan-Al Hoceïma;Total;2021;545;7346;9819;17710
1- Tanger-Tétouan-Al Hoceïma;Total;2022;1444;7855;7642;16941
1- Tanger-Tétouan-Al Hoceïma;Total;2023;499;15883;5018;21400
