Régions;Catégories;Année;Lots;Logements;Unites de restructuration;Total des Unités
2- Dakhla-Oued Ed Dahab;Opérations à faible valeur immobilière;2016;0;0;0;0
2- Dakhla-Oued Ed Dahab;Opérations à faible valeur immobilière;2017;0;0;0;0
2- Dakhla-Oued Ed Dahab;Opérations à faible valeur immobilière;2018;0;0;0;0
2- Dakhla-Oued Ed Dahab;Opérations à faible valeur immobilière;2019;0;0;0;0
2- Dakhla-Oued Ed Dahab;Opérations à faible valeur immobilière;2020;0;0;0;0
2- Dakhla-Oued Ed Dahab;Opérations à faible valeur immobilière;2021;0;0;0;0
2- Dakhla-Oued Ed Dahab;Opérations à faible valeur immobilière;2022;0;0;0;0
2- Dakhla-Oued Ed Dahab;Opérations à faible valeur immobilière;2023;0;0;0;0
2- Dakhla-Oued Ed Dahab;Opérations économiques et sociales  ;2016;0;315;0;315
2- Dakhla-Oued Ed Dahab;Opérations économiques et sociales  ;2017;0;339;0;339
2- Dakhla-Oued Ed Dahab;Opérations économiques et sociales  ;2018;0;352;0;352
2- Dakhla-Oued Ed Dahab;Opérations économiques et sociales  ;2019;0;204;0;204
2- Dakhla-Oued Ed Dahab;Opérations économiques et sociales  ;2020;0;305;0;305
2- Dakhla-Oued Ed Dahab;Opérations économiques et sociales  ;2021;0;350;5000;5350
2- Dakhla-Oued Ed Dahab;Opérations économiques et sociales  ;2022;0;1310;0;1310
2- Dakhla-Oued Ed Dahab;Opérations économiques et sociales  ;2023;332;134;0;466
2- Dakhla-Oued Ed Dahab;App, en Immeubles (moyen et haut standing….);2016;56;42;0;98
2- Dakhla-Oued Ed Dahab;App, en Immeubles (moyen et haut standing….);2017;0;69;0;69
2- Dakhla-Oued Ed Dahab;App, en Immeubles (moyen et haut standing….);2018;0;58;0;58
2- Dakhla-Oued Ed Dahab;App, en Immeubles (moyen et haut standing….);2019;0;59;0;59
2- Dakhla-Oued Ed Dahab;App, en Immeubles (moyen et haut standing….);2020;0;104;0;104
2- Dakhla-Oued Ed Dahab;App, en Immeubles (moyen et haut standing….);2021;0;123;0;123
2- Dakhla-Oued Ed Dahab;App, en Immeubles (moyen et haut standing….);2022;0;75;0;75
2- Dakhla-Oued Ed Dahab;App, en Immeubles (moyen et haut standing….);2023;0;77;0;77
2- Dakhla-Oued Ed Dahab;Villas;2016;442;0;0;442
2- Dakhla-Oued Ed Dahab;Villas;2017;18;0;0;18
2- Dakhla-Oued Ed Dahab;Villas;2018;0;0;0;0
2- Dakhla-Oued Ed Dahab;Villas;2019;0;0;0;0
2- Dakhla-Oued Ed Dahab;Villas;2020;0;0;0;0
2- Dakhla-Oued Ed Dahab;Villas;2021;63;0;0;63
2- Dakhla-Oued Ed Dahab;Villas;2022;0;610;0;610
2- Dakhla-Oued Ed Dahab;Villas;2023;0;0;0;0
2- Dakhla-Oued Ed Dahab;Total;2016;498;357;0;855
2- Dakhla-Oued Ed Dahab;Total;2017;18;408;0;426
2- Dakhla-Oued Ed Dahab;Total;2018;0;410;0;410
2- Dakhla-Oued Ed Dahab;Total;2019;0;263;0;263
2- Dakhla-Oued Ed Dahab;Total;2020;0;409;0;409
2- Dakhla-Oued Ed Dahab;Total;2021;63;473;5000;5536
2- Dakhla-Oued Ed Dahab;Total;2022;0;1995;0;1995
2- Dakhla-Oued Ed Dahab;Total;2023;332;211;0;543
