Régions;Catégories;Année;Lots;Logements;Unites de restructuration;Total des Unités
3- Guelmim-Oued Noun;Opérations à faible valeur immobilière;2016;0;0;0;0
3- Guelmim-Oued Noun;Opérations à faible valeur immobilière;2017;0;0;0;0
3- Guelmim-Oued Noun;Opérations à faible valeur immobilière;2018;0;96;0;96
3- Guelmim-Oued Noun;Opérations à faible valeur immobilière;2019;0;0;0;0
3- Guelmim-Oued Noun;Opérations à faible valeur immobilière;2020;0;0;0;0
3- Guelmim-Oued Noun;Opérations à faible valeur immobilière;2021;0;0;0;0
3- Guelmim-Oued Noun;Opérations à faible valeur immobilière;2022;0;0;0;0
3- Guelmim-Oued Noun;Opérations à faible valeur immobilière;2023;0;0;0;0
3- Guelmim-Oued Noun;Opérations économiques et sociales  ;2016;0;220;0;220
3- Guelmim-Oued Noun;Opérations économiques et sociales  ;2017;0;154;0;154
3- Guelmim-Oued Noun;Opérations économiques et sociales  ;2018;0;440;4980;5420
3- Guelmim-Oued Noun;Opérations économiques et sociales  ;2019;0;94;0;94
3- Guelmim-Oued Noun;Opérations économiques et sociales  ;2020;0;208;0;208
3- Guelmim-Oued Noun;Opérations économiques et sociales  ;2021;0;109;6146;6255
3- Guelmim-Oued Noun;Opérations économiques et sociales  ;2022;0;155;10000;10155
3- Guelmim-Oued Noun;Opérations économiques et sociales  ;2023;0;630;1121;1751
3- Guelmim-Oued Noun;App, en Immeubles (moyen et haut standing….);2016;0;0;0;0
3- Guelmim-Oued Noun;App, en Immeubles (moyen et haut standing….);2017;876;0;0;876
3- Guelmim-Oued Noun;App, en Immeubles (moyen et haut standing….);2018;527;0;0;527
3- Guelmim-Oued Noun;App, en Immeubles (moyen et haut standing….);2019;0;0;0;0
3- Guelmim-Oued Noun;App, en Immeubles (moyen et haut standing….);2020;0;0;0;0
3- Guelmim-Oued Noun;App, en Immeubles (moyen et haut standing….);2021;0;0;0;0
3- Guelmim-Oued Noun;App, en Immeubles (moyen et haut standing….);2022;0;0;0;0
3- Guelmim-Oued Noun;App, en Immeubles (moyen et haut standing….);2023;0;0;0;0
3- Guelmim-Oued Noun;Villas;2016;0;0;0;0
3- Guelmim-Oued Noun;Villas;2017;0;0;0;0
3- Guelmim-Oued Noun;Villas;2018;0;0;0;0
3- Guelmim-Oued Noun;Villas;2019;0;0;0;0
3- Guelmim-Oued Noun;Villas;2020;0;0;0;0
3- Guelmim-Oued Noun;Villas;2021;0;0;0;0
3- Guelmim-Oued Noun;Villas;2022;0;0;0;0
3- Guelmim-Oued Noun;Villas;2023;0;0;0;0
3- Guelmim-Oued Noun;Total;2016;0;220;0;220
3- Guelmim-Oued Noun;Total;2017;876;154;0;1030
3- Guelmim-Oued Noun;Total;2018;527;536;0;1063
3- Guelmim-Oued Noun;Total;2019;0;94;0;94
3- Guelmim-Oued Noun;Total;2020;0;208;0;208
3- Guelmim-Oued Noun;Total;2021;0;109;6146;6255
3- Guelmim-Oued Noun;Total;2022;0;155;10000;10155
3- Guelmim-Oued Noun;Total;2023;0;630;1121;1751
